第8屆區域立法委員選舉彰化縣第4選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
蕭景田
中國國民黨","2
魏明谷
民主進步黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"91,207","92,085","183,292","5,273","188,565",3,"188,568","68,583","257,151",73.33
　大村鄉,,,"10,181","10,262","20,443",499,"20,942",0,"20,942","7,644","28,586",73.26
　　,大村村,613,447,415,862,37,899,0,899,339,"1,238",72.62
　　,大村村,614,490,525,"1,015",24,"1,039",0,"1,039",320,"1,359",76.45
　　,茄苳村,615,487,572,"1,059",33,"1,092",0,"1,092",402,"1,494",73.09
　　,田洋村,616,379,339,718,12,730,0,730,294,"1,024",71.29
　　,貢旗村,617,511,504,"1,015",12,"1,027",0,"1,027",368,"1,395",73.62
　　,南勢村,618,495,450,945,22,967,0,967,291,"1,258",76.87
　　,大橋村,619,355,227,582,11,593,0,593,224,817,72.58
　　,大橋村,620,429,362,791,15,806,0,806,303,"1,109",72.68
　　,加錫村,621,531,454,985,24,"1,009",0,"1,009",352,"1,361",74.14
　　,大崙村,622,516,538,"1,054",14,"1,068",0,"1,068",412,"1,480",72.16
　　,新興村,623,327,431,758,21,779,0,779,325,"1,104",70.56
　　,擺塘村,624,342,365,707,15,722,0,722,241,963,74.97
　　,擺塘村,625,431,548,979,27,"1,006",0,"1,006",398,"1,404",71.65
　　,過溝村,626,470,481,951,24,975,0,975,339,"1,314",74.20
　　,過溝村,627,472,299,771,18,789,0,789,266,"1,055",74.79
　　,村上村,628,513,475,988,29,"1,017",0,"1,017",303,"1,320",77.05
　　,美港村,629,541,596,"1,137",21,"1,158",0,"1,158",409,"1,567",73.90
　　,美港村,630,454,486,940,18,958,0,958,332,"1,290",74.26
　　,黃厝村,631,683,628,"1,311",37,"1,348",0,"1,348",593,"1,941",69.45
　　,福興村,632,585,696,"1,281",35,"1,316",0,"1,316",502,"1,818",72.39
　　,平和村,633,381,538,919,25,944,0,944,336,"1,280",73.75
　　,平和村,634,342,333,675,25,700,0,700,295,995,70.35
　員林鎮,,,"34,087","33,668","67,755","1,909","69,664",2,"69,666","24,763","94,429",73.77
　　,崙雅里,635,494,282,776,17,793,0,793,270,"1,063",74.60
　　,崙雅里,636,508,433,941,19,960,0,960,298,"1,258",76.31
　　,振興里,637,454,425,879,23,902,0,902,331,"1,233",73.15
　　,振興里,638,445,383,828,29,857,0,857,349,"1,206",71.06
　　,林厝里,639,417,465,882,23,905,0,905,386,"1,291",70.10
　　,林厝里,640,444,490,934,23,957,0,957,354,"1,311",73.00
　　,出水里,641,520,665,"1,185",29,"1,214",1,"1,215",453,"1,668",72.78
　　,湖水里,642,363,484,847,14,861,0,861,335,"1,196",71.99
　　,大里,643,313,200,513,13,526,0,526,208,734,71.66
　　,鎮興里,644,359,378,737,30,767,0,767,299,"1,066",71.95
　　,鎮興里,645,334,294,628,20,648,0,648,224,872,74.31
　　,浮圳里,646,413,448,861,21,882,0,882,318,"1,200",73.50
　　,浮圳里,647,295,305,600,21,621,0,621,273,894,69.46
　　,西東里,648,527,740,"1,267",29,"1,296",0,"1,296",539,"1,835",70.63
　　,南東里,649,335,322,657,15,672,0,672,242,914,73.52
　　,南東里,650,268,297,565,21,586,0,586,223,809,72.44
　　,中東里,651,524,539,"1,063",38,"1,101",0,"1,101",492,"1,593",69.11
　　,東北里,652,355,395,750,25,775,0,775,252,"1,027",75.46
　　,東北里,653,406,421,827,20,847,0,847,314,"1,161",72.95
　　,東和里,654,429,330,759,21,780,0,780,300,"1,080",72.22
　　,民生里,655,359,477,836,29,865,0,865,313,"1,178",73.43
　　,民生里,656,548,490,"1,038",35,"1,073",0,"1,073",363,"1,436",74.72
　　,黎明里,657,293,290,583,18,601,0,601,219,820,73.29
　　,黎明里,658,313,354,667,23,690,1,691,222,913,75.58
　　,惠來里,659,508,641,"1,149",37,"1,186",0,"1,186",415,"1,601",74.08
　　,惠來里,660,597,607,"1,204",33,"1,237",0,"1,237",435,"1,672",73.98
　　,惠來里,661,654,686,"1,340",28,"1,368",0,"1,368",453,"1,821",75.12
　　,中央里,662,600,677,"1,277",36,"1,313",0,"1,313",478,"1,791",73.31
　　,溝皂里,663,407,408,815,20,835,0,835,253,"1,088",76.75
　　,溝皂里,664,312,443,755,17,772,0,772,243,"1,015",76.06
　　,大饒里,665,456,583,"1,039",24,"1,063",0,"1,063",364,"1,427",74.49
　　,大饒里,666,471,430,901,25,926,0,926,340,"1,266",73.14
　　,大明里,667,391,504,895,21,916,0,916,314,"1,230",74.47
　　,大明里,668,374,340,714,25,739,0,739,288,"1,027",71.96
　　,萬年里,669,208,275,483,15,498,0,498,230,728,68.41
　　,萬年里,670,390,312,702,15,717,0,717,272,989,72.50
　　,萬年里,671,669,511,"1,180",38,"1,218",0,"1,218",328,"1,546",78.78
　　,中正里,672,462,418,880,25,905,0,905,287,"1,192",75.92
　　,中正里,673,713,612,"1,325",40,"1,365",0,"1,365",450,"1,815",75.21
　　,仁美里,674,454,426,880,15,895,0,895,350,"1,245",71.89
　　,仁美里,675,495,480,975,22,997,0,997,320,"1,317",75.70
　　,新興里,676,284,270,554,11,565,0,565,182,747,75.64
　　,和平里,677,523,488,"1,011",23,"1,034",0,"1,034",380,"1,414",73.13
　　,和平里,678,529,467,996,29,"1,025",0,"1,025",375,"1,400",73.21
　　,光明里,679,316,346,662,16,678,0,678,212,890,76.18
　　,中山里,680,250,263,513,7,520,0,520,116,636,81.76
　　,三條里,681,424,429,853,27,880,0,880,324,"1,204",73.09
　　,三條里,682,437,387,824,30,854,0,854,264,"1,118",76.39
　　,忠孝里,683,417,413,830,32,862,0,862,272,"1,134",76.01
　　,忠孝里,684,379,267,646,19,665,0,665,218,883,75.31
　　,仁愛里,685,514,474,988,39,"1,027",0,"1,027",290,"1,317",77.98
　　,三和里,686,665,598,"1,263",50,"1,313",0,"1,313",576,"1,889",69.51
　　,三和里,687,617,543,"1,160",33,"1,193",0,"1,193",522,"1,715",69.56
　　,三和里,688,794,674,"1,468",39,"1,507",0,"1,507",547,"2,054",73.37
　　,三橋里,689,460,422,882,17,899,0,899,307,"1,206",74.54
　　,三橋里,690,550,499,"1,049",32,"1,081",0,"1,081",390,"1,471",73.49
　　,三愛里,691,570,490,"1,060",33,"1,093",0,"1,093",346,"1,439",75.96
　　,三愛里,692,498,397,895,30,925,0,925,321,"1,246",74.24
　　,三信里,693,416,353,769,27,796,0,796,219,"1,015",78.42
　　,三信里,694,370,369,739,27,766,0,766,229,995,76.98
　　,三多里,695,492,401,893,20,913,0,913,351,"1,264",72.23
　　,三多里,696,312,399,711,21,732,0,732,205,937,78.12
　　,三義里,697,360,347,707,39,746,0,746,260,"1,006",74.16
　　,三義里,698,474,468,942,24,966,0,966,354,"1,320",73.18
　　,新生里,699,407,451,858,33,891,0,891,282,"1,173",75.96
　　,新生里,700,361,410,771,25,796,0,796,249,"1,045",76.17
　　,新生里,701,291,329,620,14,634,0,634,171,805,78.76
　　,新生里,702,321,282,603,22,625,0,625,222,847,73.79
　　,南平里,703,451,438,889,33,922,0,922,339,"1,261",73.12
　　,南平里,704,423,498,921,26,947,0,947,328,"1,275",74.27
　　,南平里,705,483,606,"1,089",25,"1,114",0,"1,114",359,"1,473",75.63
　　,南興里,706,478,548,"1,026",16,"1,042",0,"1,042",371,"1,413",73.74
　　,南興里,707,631,406,"1,037",22,"1,059",0,"1,059",393,"1,452",72.93
　　,南興里,708,539,379,918,31,949,0,949,376,"1,325",71.62
　　,源潭里,709,482,629,"1,111",20,"1,131",0,"1,131",457,"1,588",71.22
　　,大埔里,710,357,337,694,13,707,0,707,266,973,72.66
　　,大埔里,711,335,331,666,12,678,0,678,293,971,69.82
　永靖鄉,,,"10,399","11,249","21,648",514,"22,162",0,"22,162","8,020","30,182",73.43
　　,浮圳村,712,437,382,819,19,838,0,838,323,"1,161",72.18
　　,東寧村,713,558,679,"1,237",33,"1,270",0,"1,270",505,"1,775",71.55
　　,光雲村,714,484,621,"1,105",26,"1,131",0,"1,131",453,"1,584",71.40
　　,五汴村,715,396,635,"1,031",19,"1,050",0,"1,050",350,"1,400",75.00
　　,永興村,716,590,553,"1,143",23,"1,166",0,"1,166",387,"1,553",75.08
　　,崙子村,717,363,570,933,22,955,0,955,374,"1,329",71.86
　　,永東村,718,266,317,583,11,594,0,594,172,766,77.55
　　,永西村,719,496,596,"1,092",36,"1,128",0,"1,128",373,"1,501",75.15
　　,永南村,720,658,647,"1,305",35,"1,340",0,"1,340",505,"1,845",72.63
　　,永北村,721,348,397,745,9,754,0,754,273,"1,027",73.42
　　,永北村,722,326,391,717,12,729,0,729,257,986,73.94
　　,港西村,723,592,643,"1,235",21,"1,256",0,"1,256",446,"1,702",73.80
　　,五福村,724,482,483,965,31,996,0,996,433,"1,429",69.70
　　,湳港村,725,274,443,717,13,730,0,730,250,980,74.49
　　,新莊村,726,389,274,663,18,681,0,681,230,911,74.75
　　,瑚璉村,727,453,417,870,23,893,0,893,300,"1,193",74.85
　　,瑚璉村,728,397,428,825,18,843,0,843,323,"1,166",72.30
　　,獨鰲村,729,285,352,637,12,649,0,649,232,881,73.67
　　,敦厚村,730,235,225,460,22,482,0,482,197,679,70.99
　　,崙美村,731,255,305,560,7,567,0,567,179,746,76.01
　　,同安村,732,270,257,527,5,532,0,532,163,695,76.55
　　,同仁村,733,315,297,612,16,628,0,628,240,868,72.35
　　,湳墘村,734,331,281,612,22,634,0,634,209,843,75.21
　　,四芳村,735,278,215,493,8,501,0,501,164,665,75.34
