第8屆區域立法委員選舉嘉義市候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳建豪
台灣國民會議","2
江義雄
中國國民黨","3
李俊俋
民主進步黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"3,922","71,906","72,343","148,171","2,040","150,211",2,"150,213","53,733","203,946",73.65
　東區,,,"1,793","35,230","31,604","68,627",913,"69,540",1,"69,541","24,504","94,045",73.94
　　,短竹里,1,19,350,275,644,10,654,0,654,197,851,76.85
　　,短竹里,2,20,471,372,863,10,873,0,873,346,"1,219",71.62
　　,蘭潭里,3,14,304,262,580,9,589,0,589,270,859,68.57
　　,蘭潭里,4,17,449,330,796,9,805,0,805,250,"1,055",76.30
　　,東川里,5,15,337,213,565,9,574,0,574,140,714,80.39
　　,東川里,6,23,426,280,729,15,744,0,744,239,983,75.69
　　,鹿寮里,7,21,311,345,677,17,694,0,694,250,944,73.52
　　,盧厝里,8,30,580,500,"1,110",13,"1,123",0,"1,123",366,"1,489",75.42
　　,文雅里,9,36,642,552,"1,230",17,"1,247",0,"1,247",382,"1,629",76.55
　　,文雅里,10,18,618,425,"1,061",20,"1,081",0,"1,081",295,"1,376",78.56
　　,王田里,11,23,514,370,907,7,914,0,914,268,"1,182",77.33
　　,王田里,12,23,464,338,825,13,838,0,838,251,"1,089",76.95
　　,長竹里,13,28,542,445,"1,015",8,"1,023",0,"1,023",302,"1,325",77.21
　　,長竹里,14,19,459,417,895,14,909,0,909,283,"1,192",76.26
　　,後庄里,15,35,489,454,978,14,992,0,992,403,"1,395",71.11
　　,後庄里,16,20,450,354,824,13,837,0,837,259,"1,096",76.37
　　,後庄里,17,24,564,313,901,13,914,0,914,297,"1,211",75.47
　　,新店里,18,28,658,496,"1,182",13,"1,195",0,"1,195",433,"1,628",73.40
　　,新店里,19,23,487,346,856,7,863,0,863,297,"1,160",74.40
　　,新店里,20,30,421,320,771,8,779,0,779,277,"1,056",73.77
　　,圳頭里,21,24,593,205,822,11,833,0,833,280,"1,113",74.84
　　,圳頭里,22,24,545,255,824,18,842,0,842,280,"1,122",75.04
　　,圳頭里,23,13,344,267,624,6,630,0,630,225,855,73.68
　　,圳頭里,24,13,322,288,623,3,626,0,626,194,820,76.34
　　,中山里,25,16,462,318,796,24,820,0,820,263,"1,083",75.72
　　,中山里,26,7,276,241,524,11,535,0,535,146,681,78.56
　　,太平里,27,38,750,465,"1,253",16,"1,269",0,"1,269",420,"1,689",75.13
