第8屆區域立法委員選舉嘉義縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳明文
民主進步黨","2
陳以真
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"86,828","70,477","157,305","2,242","159,547",3,"159,550","63,419","222,969",71.56
　溪口鄉,,,"6,118","3,209","9,327",113,"9,440",0,"9,440","3,710","13,150",71.79
　　,溪東村,234,560,438,998,20,"1,018",0,"1,018",359,"1,377",73.93
　　,溪西村,235,298,224,522,10,532,0,532,190,722,73.68
　　,溪北村,236,156,95,251,1,252,0,252,105,357,70.59
　　,溪北村,237,136,60,196,1,197,0,197,87,284,69.37
　　,柴林村,238,394,178,572,5,577,0,577,243,820,70.37
　　,林腳村,239,442,119,561,7,568,0,568,270,838,67.78
　　,美南村,240,571,245,816,5,821,0,821,348,"1,169",70.23
　　,美北村,241,447,230,677,6,683,0,683,271,954,71.59
　　,本厝村,242,274,126,400,2,402,0,402,181,583,68.95
　　,本厝村,243,171,98,269,10,279,0,279,121,400,69.75
　　,游東村,244,525,218,743,11,754,0,754,276,"1,030",73.20
　　,游西村,245,375,124,499,8,507,0,507,258,765,66.27
　　,柳溝村,246,379,282,661,7,668,0,668,220,888,75.23
　　,柳溝村,247,181,97,278,1,279,0,279,102,381,73.23
　　,疊溪村,248,468,280,748,4,752,0,752,266,"1,018",73.87
　　,妙崙村,249,312,192,504,9,513,0,513,214,727,70.56
　　,坪頂村,250,429,203,632,6,638,0,638,199,837,76.22
　大林鎮,,,"10,178","8,770","18,948",282,"19,230",0,"19,230","7,145","26,375",72.91
　　,東林里,251,202,192,394,8,402,0,402,106,508,79.13
　　,西林里,252,699,705,"1,404",23,"1,427",0,"1,427",448,"1,875",76.11
　　,吉林里,253,335,390,725,9,734,0,734,267,"1,001",73.33
　　,平林里,254,706,801,"1,507",19,"1,526",0,"1,526",535,"2,061",74.04
　　,平林里,255,442,524,966,11,977,0,977,348,"1,325",73.74
　　,平林里,256,679,663,"1,342",10,"1,352",0,"1,352",519,"1,871",72.26
　　,明華里,257,514,311,825,12,837,0,837,307,"1,144",73.16
　　,明和里,258,618,495,"1,113",13,"1,126",0,"1,126",411,"1,537",73.26
　　,排路里,259,343,133,476,3,479,0,479,175,654,73.24
　　,西結里,260,365,126,491,12,503,0,503,240,743,67.70
　　,湖北里,261,275,191,466,11,477,0,477,195,672,70.98
　　,大糖里,262,65,91,156,2,158,0,158,57,215,73.49
　　,大美里,263,567,609,"1,176",17,"1,193",0,"1,193",484,"1,677",71.14
　　,過溪里,264,557,444,"1,001",22,"1,023",0,"1,023",403,"1,426",71.74
　　,中坑里,265,392,330,722,15,737,0,737,280,"1,017",72.47
　　,中坑里,266,150,111,261,2,263,0,263,112,375,70.13
　　,上林里,267,315,276,591,7,598,0,598,213,811,73.74
　　,中林里,268,728,355,"1,083",22,"1,105",0,"1,105",406,"1,511",73.13
　　,三和里,269,687,684,"1,371",15,"1,386",0,"1,386",599,"1,985",69.82
　　,溝背里,270,413,272,685,15,700,0,700,250,950,73.68
　　,義和里,271,240,261,501,10,511,0,511,179,690,74.06
　　,內林里,272,268,268,536,5,541,0,541,165,706,76.63
　　,三角里,273,278,299,577,5,582,0,582,239,821,70.89
　　,三村里,274,340,239,579,14,593,0,593,207,800,74.13
　梅山鄉,,,"6,369","5,641","12,010",158,"12,168",0,"12,168","5,015","17,183",70.81
　　,梅東村,275,393,375,768,15,783,0,783,314,"1,097",71.38
　　,梅東村,276,500,357,857,10,867,0,867,373,"1,240",69.92
　　,梅南村,277,320,352,672,10,682,0,682,283,965,70.67
　　,梅北村,278,482,413,895,7,902,0,902,316,"1,218",74.06
　　,梅北村,279,570,427,997,12,"1,009",0,"1,009",344,"1,353",74.58
　　,梅北村,280,605,562,"1,167",14,"1,181",0,"1,181",434,"1,615",73.13
　　,過山村,281,197,204,401,7,408,0,408,168,576,70.83
　　,圳南村,282,189,132,321,0,321,0,321,124,445,72.13
　　,圳北村,283,223,222,445,3,448,0,448,191,639,70.11
　　,雙溪村,284,210,226,436,7,443,0,443,152,595,74.45
　　,大南村,285,655,550,"1,205",15,"1,220",0,"1,220",493,"1,713",71.22
　　,安靖村,286,314,285,599,9,608,0,608,301,909,66.89
　　,永興村,287,219,147,366,6,372,0,372,138,510,72.94
　　,半天村,288,169,105,274,5,279,0,279,142,421,66.27
　　,太平村,289,182,141,323,4,327,0,327,170,497,65.79
　　,太興村,290,111,176,287,4,291,0,291,140,431,67.52
　　,龍眼村,291,189,95,284,8,292,0,292,142,434,67.28
　　,碧湖村,292,93,94,187,3,190,0,190,95,285,66.67
　　,瑞峰村,293,239,243,482,2,484,0,484,244,728,66.48
　　,瑞里村,294,163,281,444,9,453,0,453,160,613,73.90
　　,太和村,295,190,128,318,7,325,0,325,171,496,65.52
　　,太和村,296,156,126,282,1,283,0,283,120,403,70.22
　新港鄉,,,"12,111","6,955","19,066",286,"19,352",1,"19,353","7,219","26,572",72.83
　　,宮前村,297,359,364,723,13,736,0,736,254,990,74.34
　　,宮前村,298,341,370,711,2,713,0,713,203,916,77.84
　　,宮後村,299,309,228,537,7,544,0,544,181,725,75.03
