第8屆區域立法委員選舉新竹縣候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
傅家賢
中華民國臺灣基本法連線","2
彭紹瑾
民主進步黨","3
徐欣瑩
中國國民黨","4
戴國樑
台灣主義黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"1,984","102,953","171,466","1,500","277,903","4,346","282,249",2,"282,251","86,589","368,840",76.52
　竹北市,,,544,"28,962","47,012",328,"76,846","1,192","78,038",0,"78,038","22,781","100,819",77.40
　　,鹿場里,1,3,255,552,3,813,16,829,0,829,166,995,83.32
　　,鹿場里,2,1,219,575,3,798,8,806,0,806,241,"1,047",76.98
　　,鹿場里,3,8,257,681,1,947,13,960,0,960,198,"1,158",82.90
　　,鹿場里,4,6,374,600,4,984,18,"1,002",0,"1,002",257,"1,259",79.59
　　,東平里,5,3,203,405,2,613,8,621,0,621,167,788,78.81
　　,東平里,6,10,410,901,6,"1,327",14,"1,341",0,"1,341",347,"1,688",79.44
　　,東平里,7,8,375,709,3,"1,095",21,"1,116",0,"1,116",279,"1,395",80.00
　　,東平里,8,10,390,673,3,"1,076",10,"1,086",0,"1,086",292,"1,378",78.81
　　,中興里,9,4,415,727,4,"1,150",19,"1,169",0,"1,169",256,"1,425",82.04
　　,中興里,10,8,433,742,7,"1,190",12,"1,202",0,"1,202",341,"1,543",77.90
　　,中興里,11,5,272,539,4,820,11,831,0,831,270,"1,101",75.48
　　,隘口里,12,10,367,605,5,987,15,"1,002",0,"1,002",237,"1,239",80.87
　　,東海里,13,7,371,775,9,"1,162",25,"1,187",0,"1,187",345,"1,532",77.48
　　,東海里,14,4,398,678,2,"1,082",27,"1,109",0,"1,109",364,"1,473",75.29
　　,十興里,15,9,412,573,7,"1,001",19,"1,020",0,"1,020",348,"1,368",74.56
　　,十興里,16,3,356,708,2,"1,069",17,"1,086",0,"1,086",319,"1,405",77.30
　　,十興里,17,10,754,"1,503",10,"2,277",28,"2,305",0,"2,305",689,"2,994",76.99
　　,十興里,18,9,382,592,4,987,14,"1,001",0,"1,001",260,"1,261",79.38
　　,十興里,19,1,287,471,1,760,11,771,0,771,212,983,78.43
　　,十興里,20,3,397,853,5,"1,258",16,"1,274",0,"1,274",358,"1,632",78.06
　　,十興里,21,13,386,749,1,"1,149",15,"1,164",0,"1,164",294,"1,458",79.84
　　,十興里,22,10,302,580,0,892,9,901,0,901,245,"1,146",78.62
　　,十興里,23,2,313,566,6,887,14,901,0,901,231,"1,132",79.59
　　,十興里,24,9,362,695,3,"1,069",15,"1,084",0,"1,084",268,"1,352",80.18
　　,斗崙里,25,3,366,694,2,"1,065",26,"1,091",0,"1,091",335,"1,426",76.51
　　,斗崙里,26,8,317,546,1,872,12,884,0,884,266,"1,150",76.87
　　,斗崙里,27,4,262,584,2,852,14,866,0,866,216,"1,082",80.04
　　,斗崙里,28,6,362,636,5,"1,009",21,"1,030",0,"1,030",219,"1,249",82.47
　　,斗崙里,29,7,344,604,1,956,9,965,0,965,255,"1,220",79.10
　　,斗崙里,30,4,320,641,3,968,12,980,0,980,213,"1,193",82.15
　　,北崙里,31,4,270,521,4,799,15,814,0,814,236,"1,050",77.52
　　,北崙里,32,6,319,559,1,885,15,900,0,900,197,"1,097",82.04
　　,北崙里,33,12,327,530,8,877,10,887,0,887,219,"1,106",80.20
　　,新崙里,34,6,369,658,5,"1,038",20,"1,058",0,"1,058",293,"1,351",78.31
　　,新崙里,35,11,535,712,4,"1,262",23,"1,285",0,"1,285",328,"1,613",79.67
　　,新崙里,36,13,517,705,7,"1,242",11,"1,253",0,"1,253",344,"1,597",78.46
　　,竹北里,37,10,301,608,5,924,12,936,0,936,316,"1,252",74.76
　　,竹北里,38,8,311,547,7,873,7,880,0,880,285,"1,165",75.54
　　,竹北里,39,4,305,556,4,869,16,885,0,885,244,"1,129",78.39
　　,竹北里,40,5,303,636,5,949,15,964,0,964,363,"1,327",72.65
　　,竹仁里,41,6,365,555,7,933,22,955,0,955,344,"1,299",73.52
　　,竹仁里,42,6,319,563,3,891,13,904,0,904,282,"1,186",76.22
　　,竹仁里,43,7,305,664,7,983,9,992,0,992,311,"1,303",76.13
　　,竹仁里,44,3,353,624,0,980,10,990,0,990,303,"1,293",76.57
　　,竹仁里,45,6,337,680,3,"1,026",14,"1,040",0,"1,040",307,"1,347",77.21
　　,竹仁里,46,7,415,587,3,"1,012",19,"1,031",0,"1,031",301,"1,332",77.40
　　,福德里,47,5,280,447,2,734,13,747,0,747,180,927,80.58
　　,福德里,48,4,343,476,3,826,22,848,0,848,230,"1,078",78.66
　　,福德里,49,9,330,410,5,754,12,766,0,766,277,"1,043",73.44
　　,竹義里,50,4,236,377,2,619,14,633,0,633,200,833,75.99
　　,竹義里,51,2,268,432,1,703,10,713,0,713,243,956,74.58
　　,竹義里,52,7,415,664,4,"1,090",11,"1,101",0,"1,101",307,"1,408",78.20
　　,竹義里,53,8,370,564,4,946,18,964,0,964,477,"1,441",66.90
　　,泰和里,54,12,439,867,5,"1,323",23,"1,346",0,"1,346",424,"1,770",76.05
　　,泰和里,55,14,395,618,3,"1,030",12,"1,042",0,"1,042",357,"1,399",74.48
　　,泰和里,56,6,385,748,7,"1,146",18,"1,164",0,"1,164",400,"1,564",74.42
　　,新社里,57,7,295,582,4,888,11,899,0,899,278,"1,177",76.38
　　,新社里,58,13,352,525,5,895,19,914,0,914,314,"1,228",74.43
　　,新社里,59,11,349,541,7,908,6,914,0,914,272,"1,186",77.07
　　,新社里,60,5,312,552,4,873,18,891,0,891,311,"1,202",74.13
　　,新社里,61,4,321,466,1,792,14,806,0,806,323,"1,129",71.39
　　,新國里,62,6,415,684,4,"1,109",12,"1,121",0,"1,121",349,"1,470",76.26
　　,新國里,63,8,415,576,3,"1,002",19,"1,021",0,"1,021",372,"1,393",73.30
　　,新國里,64,9,375,517,6,907,19,926,0,926,278,"1,204",76.91
　　,聯興里,65,7,373,600,2,982,23,"1,005",0,"1,005",313,"1,318",76.25
　　,聯興里,66,7,421,563,2,993,14,"1,007",0,"1,007",268,"1,275",78.98
　　,聯興里,67,7,355,649,3,"1,014",13,"1,027",0,"1,027",273,"1,300",79.00
　　,麻園里,68,7,617,618,7,"1,249",18,"1,267",0,"1,267",339,"1,606",78.89
　　,溪州里,69,6,347,429,1,783,15,798,0,798,181,979,81.51
　　,溪州里,70,6,388,457,2,853,17,870,0,870,258,"1,128",77.13
　　,新庄里,71,9,307,422,7,745,13,758,0,758,237,995,76.18
　　,白地里,72,6,272,319,4,601,6,607,0,607,203,810,74.94
　　,白地里,73,3,431,344,2,780,11,791,0,791,264,"1,055",74.98
　　,新港里,74,9,507,334,28,878,17,895,0,895,231,"1,126",79.48
　　,大眉里,75,7,420,750,3,"1,180",18,"1,198",0,"1,198",357,"1,555",77.04
　　,大義里,76,3,357,298,2,660,12,672,0,672,216,888,75.68
　　,大義里,77,4,259,211,1,475,9,484,0,484,145,629,76.95
　　,尚義里,78,4,334,243,3,584,5,589,0,589,178,767,76.79
　　,尚義里,79,10,270,219,0,499,10,509,0,509,166,675,75.41
　　,崇義里,80,7,363,360,5,735,13,748,0,748,189,937,79.83
　　,崇義里,81,6,334,288,4,632,7,639,0,639,210,849,75.27
　竹東鎮,,,407,"16,622","34,246",169,"51,444",862,"52,306",1,"52,307","16,217","68,524",76.33
　　,上坪里,82,3,90,126,0,219,6,225,0,225,94,319,70.53
　　,瑞峰里,83,6,114,163,1,284,4,288,0,288,102,390,73.85
　　,軟橋里,84,4,95,167,0,266,7,273,0,273,89,362,75.41
　　,員崠里,85,4,207,382,3,596,4,600,0,600,222,822,72.99
　　,員崠里,86,5,252,621,2,880,19,899,0,899,279,"1,178",76.32
　　,上里,87,8,310,737,2,"1,057",20,"1,077",0,"1,077",367,"1,444",74.58
　　,上里,88,6,239,547,3,795,13,808,0,808,312,"1,120",72.14
　　,上里,89,4,156,365,4,529,7,536,0,536,245,781,68.63
　　,上里,90,3,258,564,1,826,11,837,0,837,287,"1,124",74.47
　　,上里,91,5,390,723,5,"1,123",18,"1,141",0,"1,141",340,"1,481",77.04
　　,上里,92,11,352,756,4,"1,123",16,"1,139",0,"1,139",304,"1,443",78.93
　　,東寧里,93,10,190,539,4,743,17,760,0,760,246,"1,006",75.55
　　,東寧里,94,5,197,451,3,656,10,666,0,666,181,847,78.63
　　,東寧里,95,6,283,504,3,796,12,808,0,808,249,"1,057",76.44
　　,中正里,96,4,205,330,1,540,13,553,0,553,138,691,80.03
　　,中正里,97,12,289,460,3,764,15,779,0,779,201,980,79.49
　　,大鄉里,98,7,286,596,3,892,17,909,0,909,353,"1,262",72.03
　　,大鄉里,99,5,317,608,2,932,13,945,0,945,380,"1,325",71.32
　　,大鄉里,100,6,334,791,6,"1,137",12,"1,149",0,"1,149",331,"1,480",77.64
　　,中山里,101,4,194,412,1,611,7,618,0,618,194,812,76.11
　　,中山里,102,9,239,424,1,673,8,681,0,681,179,860,79.19
　　,南華里,103,13,307,521,3,844,18,862,0,862,228,"1,090",79.08
　　,東華里,104,2,214,367,0,583,7,590,0,590,168,758,77.84
　　,商華里,105,6,272,632,2,912,14,926,0,926,480,"1,406",65.86
　　,商華里,106,5,277,580,2,864,12,876,0,876,287,"1,163",75.32
　　,林里,107,9,237,516,3,765,13,778,0,778,248,"1,026",75.83
　　,林里,108,12,280,730,3,"1,025",23,"1,048",0,"1,048",333,"1,381",75.89
　　,林里,109,12,238,525,3,778,13,791,0,791,217,"1,008",78.47
　　,仁愛里,110,15,302,695,3,"1,015",21,"1,036",0,"1,036",365,"1,401",73.95
　　,仁愛里,111,10,431,777,5,"1,223",44,"1,267",0,"1,267",314,"1,581",80.14
　　,竹東里,112,4,186,320,2,512,7,519,0,519,91,610,85.08
　　,竹東里,113,5,206,334,3,548,10,558,0,558,173,731,76.33
　　,忠孝里,114,8,340,755,1,"1,104",17,"1,121",0,"1,121",335,"1,456",76.99
　　,榮樂里,115,6,187,361,2,556,6,562,0,562,141,703,79.94
　　,榮樂里,116,2,151,352,0,505,11,516,0,516,161,677,76.22
　　,榮華里,117,2,232,609,1,844,13,857,0,857,235,"1,092",78.48
　　,榮華里,118,9,284,609,3,905,17,922,0,922,215,"1,137",81.09
　　,榮華里,119,10,278,565,4,857,13,870,0,870,229,"1,099",79.16
　　,榮華里,120,4,344,692,4,"1,044",23,"1,067",0,"1,067",292,"1,359",78.51
　　,榮華里,121,8,319,747,2,"1,076",20,"1,096",0,"1,096",324,"1,420",77.18
　　,五豐里,122,7,280,625,4,916,16,932,0,932,333,"1,265",73.68
　　,五豐里,123,4,220,521,2,747,8,755,0,755,339,"1,094",69.01
　　,五豐里,124,6,268,542,2,818,16,834,0,834,294,"1,128",73.94
　　,五豐里,125,3,155,308,0,466,8,474,0,474,170,644,73.60
　　,五豐里,126,11,244,643,2,900,16,916,0,916,252,"1,168",78.42
　　,五豐里,127,5,168,544,4,721,20,741,0,741,279,"1,020",72.65
　　,陸豐里,128,4,130,310,0,444,11,455,0,455,99,554,82.13
　　,三重里,129,5,312,643,4,964,11,975,0,975,271,"1,246",78.25
　　,三重里,130,7,265,587,6,865,17,882,0,882,261,"1,143",77.17
