第8屆區域立法委員選舉新竹市候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
王瑄
無黨籍及未經政黨推薦","2
鄧秀寶
中華民國臺灣基本法連線","3
呂學樟
中國國民黨","4
王榮德
無黨籍及未經政黨推薦","5
張學舜
民主進步黨","6
趙福龍
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
總　計,,,"7,387","1,911","121,848","1,350","95,715",506,"228,717","4,822","233,539",7,"233,546","74,305","307,851",75.86
　東區,,,"3,771",967,"60,846",545,"40,356",203,"106,688","2,187","108,875",3,"108,878","33,166","142,044",76.65
　　,育賢里、三民里,1,26,5,385,2,328,2,748,9,757,0,757,789,"1,546",48.97
　　,親仁里,2,31,6,483,1,222,0,743,16,759,0,759,229,988,76.82
　　,親仁里,3,7,7,262,2,96,2,376,9,385,0,385,145,530,72.64
　　,東門里,4,12,3,196,6,261,0,478,3,481,0,481,158,639,75.27
　　,成功里,5,23,3,224,5,249,0,504,7,511,0,511,173,684,74.71
　　,榮光里,6,5,1,116,4,118,0,244,9,253,0,253,108,361,70.08
　　,中正里,7,4,4,173,1,187,2,371,10,381,0,381,109,490,77.76
　　,錦華里,8,30,4,548,1,325,3,911,18,929,0,929,338,"1,267",73.32
　　,錦華里,9,4,7,391,4,89,1,496,15,511,0,511,156,667,76.61
　　,文華里,10,45,12,706,9,448,4,"1,224",24,"1,248",0,"1,248",327,"1,575",79.24
　　,文華里,11,25,5,463,7,294,2,796,16,812,0,812,205,"1,017",79.84
　　,文華里,12,43,10,634,1,459,3,"1,150",25,"1,175",0,"1,175",383,"1,558",75.42
　　,復中里,13,35,4,545,5,346,2,937,12,949,0,949,279,"1,228",77.28
　　,復中里,14,33,7,521,5,432,0,998,19,"1,017",0,"1,017",314,"1,331",76.41
　　,復中里,15,39,8,626,7,496,1,"1,177",22,"1,199",0,"1,199",335,"1,534",78.16
　　,復興里,16,26,4,486,2,350,2,870,24,894,0,894,264,"1,158",77.20
　　,復興里,17,29,11,605,5,406,2,"1,058",24,"1,082",0,"1,082",327,"1,409",76.79
　　,復興里,18,39,8,714,10,524,1,"1,296",28,"1,324",0,"1,324",374,"1,698",77.97
　　,三民里,19,34,5,485,9,498,2,"1,033",17,"1,050",0,"1,050",308,"1,358",77.32
　　,三民里,20,23,7,578,8,452,0,"1,068",15,"1,083",0,"1,083",291,"1,374",78.82
　　,三民里,21,29,5,566,4,384,5,993,13,"1,006",0,"1,006",271,"1,277",78.78
　　,東園里,22,21,6,468,11,334,1,841,20,861,0,861,261,"1,122",76.74
　　,東園里,23,28,6,465,7,330,1,837,8,845,0,845,238,"1,083",78.02
　　,東園里,24,10,3,243,9,212,0,477,12,489,0,489,160,649,75.35
　　,公園里,25,32,8,572,1,360,4,977,21,998,0,998,341,"1,339",74.53
　　,公園里,26,23,7,609,6,480,3,"1,128",20,"1,148",0,"1,148",299,"1,447",79.34
　　,建華里,27,28,12,494,8,383,2,927,19,946,0,946,287,"1,233",76.72
　　,建華里,28,23,9,367,3,339,3,744,16,760,0,760,237,997,76.23
　　,東山里,29,22,6,416,3,229,0,676,17,693,0,693,198,891,77.78
　　,東山里,30,29,6,471,6,298,2,812,12,824,0,824,206,"1,030",80.00
　　,東山里,31,29,8,506,5,357,1,906,11,917,1,918,244,"1,162",78.92
　　,綠水里,32,35,6,536,2,309,1,889,23,912,0,912,335,"1,247",73.14
　　,綠水里,33,28,4,379,2,253,1,667,22,689,0,689,196,885,77.85
　　,綠水里,34,24,13,495,3,235,1,771,18,789,0,789,251,"1,040",75.87
　　,綠水里,35,39,7,580,3,334,2,965,32,997,0,997,238,"1,235",80.73
　　,綠水里,36,44,8,482,1,301,0,836,21,857,0,857,247,"1,104",77.63
　　,東勢里,37,53,19,779,11,662,4,"1,528",29,"1,557",0,"1,557",446,"2,003",77.73
　　,光復里,38,21,6,335,5,385,0,752,27,779,0,779,209,988,78.85
　　,光復里,39,21,9,439,7,326,0,802,15,817,0,817,215,"1,032",79.17
　　,前溪里,40,35,12,524,6,504,5,"1,086",18,"1,104",0,"1,104",380,"1,484",74.39
　　,前溪里,41,22,8,376,5,443,2,856,17,873,0,873,250,"1,123",77.74
　　,水源里,42,29,10,342,5,477,0,863,23,886,0,886,264,"1,150",77.04
　　,水源里,43,17,4,447,4,363,4,839,13,852,0,852,275,"1,127",75.60
　　,水源里,44,21,7,260,6,404,2,700,19,719,0,719,202,921,78.07
　　,千甲里,45,27,7,481,5,344,0,864,23,887,1,888,224,"1,112",79.77
　　,千甲里,46,22,4,392,1,159,0,578,13,591,0,591,182,773,76.46
　　,豐功里,47,34,2,511,5,327,0,879,26,905,0,905,243,"1,148",78.83
　　,豐功里,48,48,13,798,9,336,1,"1,205",23,"1,228",0,"1,228",347,"1,575",77.97
　　,豐功里,49,45,19,660,5,315,2,"1,046",26,"1,072",0,"1,072",251,"1,323",81.03
　　,武功里,50,21,1,726,3,107,3,861,19,880,0,880,221,"1,101",79.93
　　,武功里,51,28,5,891,4,171,2,"1,101",27,"1,128",0,"1,128",271,"1,399",80.63
　　,武功里,52,26,8,720,3,194,3,954,20,974,0,974,246,"1,220",79.84
　　,軍功里,53,22,3,716,2,146,2,891,21,912,0,912,262,"1,174",77.68
　　,軍功里,54,47,5,619,5,244,1,921,23,944,0,944,278,"1,222",77.25
　　,軍功里,55,23,10,534,0,171,0,738,13,751,0,751,200,951,78.97
　　,立功里,56,27,4,492,2,129,3,657,21,678,0,678,203,881,76.96
　　,建功里,57,15,6,349,0,67,0,437,8,445,0,445,131,576,77.26
　　,建功里,58,20,6,434,3,175,2,640,16,656,0,656,161,817,80.29
　　,建功里,59,16,4,431,6,71,2,530,9,539,0,539,117,656,82.16
　　,光明里,60,38,8,617,3,173,0,839,31,870,0,870,317,"1,187",73.29
　　,光明里,61,17,2,175,0,104,0,298,6,304,0,304,81,385,78.96
　　,光明里,62,40,11,724,10,325,2,"1,112",24,"1,136",0,"1,136",305,"1,441",78.83
　　,龍山里,63,33,8,501,4,243,1,790,11,801,0,801,229,"1,030",77.77
　　,龍山里,64,28,8,379,9,250,2,676,17,693,0,693,187,880,78.75
　　,龍山里,65,33,12,549,2,290,3,889,5,894,0,894,230,"1,124",79.54
　　,科園里,66,49,7,839,6,423,1,"1,325",20,"1,345",0,"1,345",270,"1,615",83.28
　　,科園里,67,58,10,686,1,365,1,"1,121",35,"1,156",0,"1,156",311,"1,467",78.80
　　,科園里,68,44,6,800,3,371,0,"1,224",17,"1,241",0,"1,241",287,"1,528",81.22
　　,科園里,69,65,10,598,3,290,3,969,15,984,0,984,228,"1,212",81.19
　　,埔頂里,70,61,17,551,6,448,1,"1,084",33,"1,117",0,"1,117",321,"1,438",77.68
　　,埔頂里,71,41,16,454,3,417,3,934,15,949,0,949,260,"1,209",78.49
　　,新莊里,72,54,7,777,6,487,2,"1,333",21,"1,354",0,"1,354",415,"1,769",76.54
　　,新莊里,73,32,7,478,1,269,2,789,15,804,0,804,239,"1,043",77.09
　　,新莊里,74,106,22,872,15,710,5,"1,730",50,"1,780",0,"1,780",430,"2,210",80.54
　　,新莊里,75,62,12,840,6,411,1,"1,332",24,"1,356",0,"1,356",419,"1,775",76.39
　　,關東里,76,37,16,674,9,312,2,"1,050",22,"1,072",0,"1,072",346,"1,418",75.60
　　,關東里,77,29,9,575,4,277,2,896,26,922,0,922,297,"1,219",75.64
　　,關東里,78,50,8,588,4,333,2,985,21,"1,006",0,"1,006",300,"1,306",77.03
　　,金山里,79,46,5,610,1,338,0,"1,000",13,"1,013",0,"1,013",317,"1,330",76.17
　　,金山里,80,19,5,423,1,151,1,600,19,619,0,619,238,857,72.23
　　,金山里,81,31,6,573,3,322,2,937,26,963,0,963,322,"1,285",74.94
　　,金山里,82,35,6,543,5,263,3,855,22,877,0,877,276,"1,153",76.06
　　,仙水里,83,40,14,681,4,377,1,"1,117",20,"1,137",0,"1,137",234,"1,371",82.93
　　,仙水里,84,47,13,663,7,390,2,"1,122",24,"1,146",0,"1,146",321,"1,467",78.12
　　,仙水里,85,38,14,467,3,240,3,765,17,782,0,782,280,"1,062",73.63
　　,仙宮里,86,35,6,455,7,316,0,819,18,837,0,837,273,"1,110",75.41
　　,關帝里,87,9,1,144,6,236,4,400,7,407,0,407,141,548,74.27
　　,南門里,88,19,3,240,3,259,1,525,4,529,0,529,196,725,72.97
　　,南市里,89,20,4,282,3,369,2,680,11,691,0,691,228,919,75.19
　　,福德里,90,37,7,488,12,429,2,975,21,996,0,996,338,"1,334",74.66
　　,振興里,91,31,10,410,3,400,3,857,14,871,0,871,293,"1,164",74.83
　　,振興里,92,37,9,438,6,391,3,884,11,895,0,895,313,"1,208",74.09
　　,振興里,93,22,5,566,4,371,3,971,18,989,0,989,378,"1,367",72.35
　　,振興里,94,34,13,486,3,420,2,958,24,982,0,982,356,"1,338",73.39
　　,新興里,95,13,4,320,3,341,0,681,10,691,0,691,214,905,76.35
　　,新興里,96,35,4,420,3,338,1,801,10,811,0,811,238,"1,049",77.31
　　,新興里,97,17,4,369,3,373,1,767,9,776,0,776,229,"1,005",77.21
　　,寺前里,98,12,5,257,2,275,1,552,4,556,0,556,183,739,75.24
　　,竹蓮里,99,12,7,229,2,358,2,610,14,624,0,624,157,781,79.90
　　,下竹里,100,22,0,246,4,169,3,444,17,461,0,461,114,575,80.17
　　,頂竹里,101,19,7,350,2,302,4,684,10,694,0,694,257,951,72.98
　　,頂竹里,102,30,6,341,2,330,1,710,12,722,0,722,235,957,75.44
　　,頂竹里,103,32,5,381,6,373,3,800,19,819,0,819,225,"1,044",78.45
　　,南大里,104,16,4,187,3,241,0,451,6,457,0,457,179,636,71.86
　　,南大里,105,17,2,280,2,277,2,580,15,595,0,595,189,784,75.89
　　,新光里,106,19,10,400,6,225,1,661,13,674,0,674,172,846,79.67
　　,新光里,107,19,11,451,5,455,1,942,16,958,0,958,373,"1,331",71.98
　　,新光里,108,25,9,413,4,396,1,848,14,862,0,862,259,"1,121",76.90
　　,光鎮里,109,15,17,387,1,310,0,730,14,744,0,744,272,"1,016",73.23
　　,光鎮里,110,24,7,413,0,358,2,804,14,818,0,818,223,"1,041",78.58
　　,光鎮里,111,35,11,466,4,357,1,874,16,890,0,890,293,"1,183",75.23
　　,高峰里,112,31,10,525,5,444,3,"1,018",19,"1,037",0,"1,037",318,"1,355",76.53
　　,高峰里,113,33,5,536,4,376,2,956,25,981,0,981,339,"1,320",74.32
　　,高峰里,114,27,13,516,4,397,2,959,21,980,0,980,360,"1,340",73.13
　　,高峰里,115,49,7,562,6,408,2,"1,034",23,"1,057",0,"1,057",289,"1,346",78.53
　　,湖濱里,116,40,6,469,6,401,1,923,8,931,0,931,275,"1,206",77.20
　　,湖濱里,117,36,16,449,4,422,0,927,24,951,1,952,298,"1,250",76.08
　　,湖濱里,118,28,6,352,3,239,0,628,13,641,0,641,160,801,80.02
　　,柴橋里,119,27,14,598,6,460,1,"1,106",29,"1,135",0,"1,135",396,"1,531",74.13
　　,柴橋里,120,44,9,555,5,320,1,934,17,951,0,951,310,"1,261",75.42
　　,柴橋里,121,34,5,598,2,497,1,"1,137",17,"1,154",0,"1,154",299,"1,453",79.42
　　,明湖里,122,18,5,534,4,317,2,880,15,895,0,895,387,"1,282",69.81
　　,明湖里,123,30,21,601,5,319,5,981,20,"1,001",0,"1,001",349,"1,350",74.15
　　,明湖里,124,38,13,449,3,270,0,773,10,783,0,783,399,"1,182",66.24
　北區,,,"2,409",603,"41,581",553,"35,857",214,"81,217","1,770","82,987",2,"82,989","27,100","110,089",75.38
　　,西門里、中央里,125,10,2,254,7,408,2,683,11,694,0,694,239,933,74.38
　　,潛園里,126,14,2,235,6,308,3,568,9,577,0,577,182,759,76.02
　　,石坊里,127,9,1,174,1,191,1,377,8,385,0,385,127,512,75.20
　　,仁德里,128,9,1,204,10,302,1,527,11,538,0,538,177,715,75.24
　　,崇禮里,129,26,7,321,14,500,2,870,22,892,0,892,251,"1,143",78.04
　　,興南里,130,25,7,475,11,504,1,"1,023",28,"1,051",0,"1,051",356,"1,407",74.70
　　,育英里,131,29,4,392,5,411,1,842,21,863,0,863,288,"1,151",74.98
　　,育英里,132,24,9,385,1,392,1,812,17,829,0,829,258,"1,087",76.26
　　,育英里,133,30,7,327,13,364,5,746,15,761,0,761,252,"1,013",75.12
　　,台溪里,134,34,11,535,4,367,5,956,25,981,0,981,430,"1,411",69.53
　　,曲溪里,135,17,5,398,1,203,2,626,16,642,0,642,247,889,72.22
　　,曲溪里,136,19,4,440,2,321,3,789,16,805,0,805,295,"1,100",73.18
　　,曲溪里,137,24,10,517,5,384,1,941,18,959,0,959,383,"1,342",71.46
　　,曲溪里,138,5,8,200,2,14,2,231,8,239,0,239,98,337,70.92
　　,曲溪里,139,35,5,412,3,455,2,912,19,931,0,931,278,"1,209",77.01
　　,西雅里,140,27,4,447,7,516,3,"1,004",18,"1,022",0,"1,022",355,"1,377",74.22
　　,西雅里,141,35,7,453,3,489,2,989,25,"1,014",0,"1,014",296,"1,310",77.40
　　,客雅里,142,22,9,374,9,397,1,812,20,832,0,832,308,"1,140",72.98
　　,客雅里,143,32,8,385,8,301,3,737,14,751,0,751,282,"1,033",72.70
　　,客雅里,144,23,1,380,3,418,2,827,21,848,0,848,220,"1,068",79.40
　　,客雅里,145,21,6,823,0,49,5,904,30,934,0,934,177,"1,111",84.07
　　,南勢里,146,15,7,316,6,406,2,752,18,770,0,770,241,"1,011",76.16
　　,南勢里,147,12,5,321,5,552,1,896,25,921,0,921,281,"1,202",76.62
　　,南勢里,148,28,9,422,8,533,2,"1,002",23,"1,025",0,"1,025",354,"1,379",74.33
　　,大鵬里,149,11,3,113,0,41,0,168,7,175,0,175,132,307,57.00
　　,大同里,150,12,4,283,2,235,7,543,10,553,0,553,191,744,74.33
　　,中山里,151,14,4,183,6,281,1,489,11,500,0,500,133,633,78.99
　　,中興里,152,11,2,159,3,217,0,392,9,401,0,401,150,551,72.78
　　,新民里,153,31,5,432,15,471,5,959,31,990,0,990,384,"1,374",72.05
　　,長和里,154,28,5,415,14,504,3,969,12,981,0,981,331,"1,312",74.77
　　,北門里,155,15,1,278,5,386,0,685,19,704,0,704,210,914,77.02
　　,民富里,156,24,3,369,9,364,6,775,12,787,0,787,269,"1,056",74.53
　　,民富里,157,22,3,387,5,435,2,854,23,877,0,877,311,"1,188",73.82
　　,民富里,158,20,3,328,5,363,2,721,15,736,0,736,262,998,73.75
　　,民富里,159,17,8,334,11,341,0,711,20,731,0,731,293,"1,024",71.39
　　,磐石里,160,15,8,353,5,445,3,829,14,843,0,843,282,"1,125",74.93
　　,磐石里,161,27,7,444,5,407,3,893,25,918,0,918,340,"1,258",72.97
　　,磐石里,162,26,9,474,5,402,1,917,19,936,0,936,240,"1,176",79.59
　　,磐石里,163,38,8,452,5,506,3,"1,012",23,"1,035",0,"1,035",278,"1,313",78.83
　　,新雅里,164,40,9,538,10,476,4,"1,077",17,"1,094",0,"1,094",386,"1,480",73.92
　　,新雅里,165,29,8,400,4,591,2,"1,034",17,"1,051",0,"1,051",359,"1,410",74.54
　　,新雅里,166,18,7,474,6,428,0,933,10,943,0,943,279,"1,222",77.17
　　,文雅里,167,13,6,417,4,465,0,905,23,928,0,928,241,"1,169",79.38
　　,文雅里,168,28,6,443,8,356,4,845,18,863,0,863,261,"1,124",76.78
　　,文雅里,169,27,12,468,5,439,3,954,12,966,0,966,245,"1,211",79.77
　　,水田里,170,41,10,495,11,416,6,979,22,"1,001",0,"1,001",309,"1,310",76.41
　　,水田里,171,28,9,502,12,474,3,"1,028",21,"1,049",0,"1,049",315,"1,364",76.91
　　,光田里,172,18,5,432,5,370,5,835,13,848,0,848,237,"1,085",78.16
　　,光田里,173,14,3,376,4,300,1,698,17,715,0,715,236,951,75.18
　　,光華里,174,21,5,354,8,304,7,699,13,712,0,712,767,"1,479",48.14
　　,光華里,175,27,9,484,4,339,4,867,15,882,0,882,295,"1,177",74.94
　　,光華里,176,19,8,472,3,298,1,801,21,822,0,822,250,"1,072",76.68
　　,金華里,177,25,2,432,6,402,0,867,15,882,0,882,275,"1,157",76.23
　　,金華里,178,27,8,393,5,342,3,778,18,796,0,796,219,"1,015",78.42
　　,金華里,179,33,8,495,10,329,1,876,19,895,0,895,247,"1,142",78.37
　　,金華里,180,29,2,448,4,312,0,795,11,806,0,806,265,"1,071",75.26
　　,湳雅里,181,35,9,523,10,365,1,943,18,961,0,961,287,"1,248",77.00
　　,湳雅里,182,35,12,453,4,328,1,833,21,854,0,854,260,"1,114",76.66
　　,金雅里,183,29,4,400,6,448,2,889,20,909,0,909,219,"1,128",80.59
　　,金雅里,184,19,6,391,11,306,4,737,19,756,1,757,180,937,80.68
　　,湳中里,185,22,5,565,7,541,2,"1,142",27,"1,169",0,"1,169",278,"1,447",80.79
　　,湳中里,186,47,6,607,3,373,1,"1,037",22,"1,059",0,"1,059",307,"1,366",77.53
　　,湳中里,187,50,9,642,7,337,5,"1,050",31,"1,081",0,"1,081",276,"1,357",79.66
　　,湳中里,188,45,4,613,11,303,1,977,27,"1,004",0,"1,004",322,"1,326",75.72
　　,舊社里,189,47,3,536,5,421,0,"1,012",21,"1,033",0,"1,033",340,"1,373",75.24
　　,舊社里,190,37,8,533,6,428,5,"1,017",24,"1,041",0,"1,041",372,"1,413",73.67
　　,舊社里,191,30,10,474,3,501,1,"1,019",19,"1,038",1,"1,039",305,"1,344",77.23
　　,舊社里,192,25,10,475,10,320,3,843,20,863,0,863,295,"1,158",74.53
　　,金竹里,193,33,10,513,4,356,2,918,25,943,0,943,291,"1,234",76.42
　　,金竹里,194,27,6,482,3,369,3,890,20,910,0,910,322,"1,232",73.86
　　,金竹里,195,35,8,497,3,428,2,973,18,991,0,991,274,"1,265",78.34
　　,金竹里,196,38,15,532,2,328,0,915,20,935,0,935,277,"1,212",77.15
　　,武陵里,197,13,5,651,5,110,3,787,16,803,0,803,238,"1,041",77.14
　　,武陵里,198,23,7,735,5,72,4,846,28,874,0,874,220,"1,094",79.89
　　,武陵里,199,32,3,673,2,152,0,862,15,877,0,877,231,"1,108",79.15
　　,武陵里,200,19,6,724,6,104,3,862,19,881,0,881,279,"1,160",75.95
　　,福林里,201,26,8,582,3,486,1,"1,106",20,"1,126",0,"1,126",286,"1,412",79.75
　　,福林里,202,38,7,546,4,330,2,927,21,948,0,948,245,"1,193",79.46
　　,福林里,203,12,4,311,4,279,2,612,22,634,0,634,182,816,77.70
　　,境福里,204,38,10,552,6,505,4,"1,115",18,"1,133",0,"1,133",333,"1,466",77.29
　　,境福里,205,27,12,457,5,466,5,972,19,991,0,991,305,"1,296",76.47
　　,境福里,206,38,4,649,5,566,1,"1,263",23,"1,286",0,"1,286",337,"1,623",79.24
　　,士林里,207,13,1,187,1,282,0,484,10,494,0,494,152,646,76.47
　　,士林里,208,18,4,242,5,396,0,665,14,679,0,679,185,864,78.59
　　,古賢里,209,12,3,269,5,356,1,646,14,660,0,660,209,869,75.95
　　,南寮里,210,28,6,435,10,425,3,907,18,925,0,925,367,"1,292",71.59
　　,南寮里,211,27,11,582,6,485,2,"1,113",30,"1,143",0,"1,143",417,"1,560",73.27
　　,南寮里,212,13,1,286,1,269,1,571,16,587,0,587,271,858,68.41
