第8屆區域立法委員選舉宜蘭縣候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
林建榮
中國國民黨","2
陳歐珀
民主進步黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"118,971","127,303","246,274","5,930","252,204",4,"252,208","94,636","346,844",72.71
　宜蘭市,,,"27,030","23,965","50,995","1,460","52,455",0,"52,455","18,544","70,999",73.88
　　,南門里,1,226,156,382,9,391,0,391,137,528,74.05
　　,負郭里,2,487,357,844,33,877,0,877,303,"1,180",74.32
　　,負郭里,3,547,479,"1,026",37,"1,063",0,"1,063",362,"1,425",74.60
　　,民族里,4,508,338,846,22,868,0,868,288,"1,156",75.09
　　,民族里,5,494,360,854,32,886,0,886,232,"1,118",79.25
　　,建軍里,6,530,397,927,38,965,0,965,344,"1,309",73.72
　　,建軍里,7,517,340,857,17,874,0,874,353,"1,227",71.23
　　,復興里,8,506,205,711,11,722,0,722,246,968,74.59
　　,復興里,9,322,248,570,14,584,0,584,155,739,79.03
　　,復興里,10,421,311,732,16,748,0,748,263,"1,011",73.99
　　,思源里,11,813,557,"1,370",40,"1,410",0,"1,410",439,"1,849",76.26
　　,思源里,12,745,554,"1,299",46,"1,345",0,"1,345",400,"1,745",77.08
　　,思源里,13,632,423,"1,055",24,"1,079",0,"1,079",345,"1,424",75.77
　　,思源里,14,539,341,880,30,910,0,910,288,"1,198",75.96
　　,文化里,15,318,265,583,25,608,0,608,204,812,74.88
　　,文化里,16,417,301,718,32,750,0,750,263,"1,013",74.04
　　,文化里,17,452,370,822,28,850,0,850,242,"1,092",77.84
　　,神農里,18,220,177,397,14,411,0,411,151,562,73.13
　　,民生里,19,114,193,307,7,314,0,314,108,422,74.41
　　,昇平里,20,201,263,464,11,475,0,475,125,600,79.17
　　,大東里,21,188,187,375,10,385,0,385,130,515,74.76
　　,新興里,22,221,184,405,8,413,0,413,128,541,76.34
　　,和睦里,23,424,343,767,36,803,0,803,256,"1,059",75.83
　　,和睦里,24,378,293,671,27,698,0,698,220,918,76.03
　　,民權里,25,237,151,388,12,400,0,400,138,538,74.35
　　,民權里,26,439,287,726,27,753,0,753,423,"1,176",64.03
　　,進士里,27,589,396,985,28,"1,013",0,"1,013",325,"1,338",75.71
　　,進士里,28,575,451,"1,026",28,"1,054",0,"1,054",379,"1,433",73.55
　　,進士里,29,255,251,506,18,524,0,524,196,720,72.78
　　,進士里,30,579,442,"1,021",27,"1,048",0,"1,048",317,"1,365",76.78
　　,南橋里,31,254,270,524,15,539,0,539,149,688,78.34
　　,建業里,32,451,475,926,40,966,0,966,321,"1,287",75.06
　　,南津里,33,363,351,714,17,731,0,731,257,988,73.99
　　,凱旋里,34,410,451,861,21,882,0,882,297,"1,179",74.81
　　,黎明里,35,540,540,"1,080",26,"1,106",0,"1,106",354,"1,460",75.75
　　,東村里,36,457,411,868,15,883,0,883,313,"1,196",73.83
　　,東村里,37,589,500,"1,089",42,"1,131",0,"1,131",450,"1,581",71.54
　　,東村里,38,614,505,"1,119",16,"1,135",0,"1,135",457,"1,592",71.29
　　,延平里,39,381,365,746,20,766,0,766,277,"1,043",73.44
　　,延平里,40,526,425,951,21,972,0,972,303,"1,275",76.24
　　,延平里,41,558,470,"1,028",22,"1,050",0,"1,050",381,"1,431",73.38
