第8屆區域立法委員選舉金門縣候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳福海
親民黨","2
吳成典
新黨","3
許乃權
無黨籍及未經政黨推薦","4
高絃騰
健保免費連線","5
楊應雄
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"12,128","10,678","2,260",228,"12,435","37,729","1,027","38,756",0,"38,756","43,027","81,783",47.39
　金城鎮,,,"3,502","3,848","1,193",80,"4,020","12,643",366,"13,009",0,"13,009","13,802","26,811",48.52
　　,東門里,1,291,263,48,5,223,830,28,858,0,858,884,"1,742",49.25
　　,東門里,2,258,332,91,6,290,977,22,999,0,999,960,"1,959",51.00
　　,南門里,3,211,216,184,9,232,852,18,870,0,870,873,"1,743",49.91
　　,南門里,4,111,132,70,2,160,475,10,485,0,485,546,"1,031",47.04
　　,南門里,5,177,170,113,2,182,644,13,657,0,657,593,"1,250",52.56
　　,西門里,6,225,281,107,3,251,867,35,902,0,902,953,"1,855",48.63
　　,西門里,7,241,336,93,9,352,"1,031",32,"1,063",0,"1,063","1,163","2,226",47.75
　　,西門里,8,156,248,53,3,288,748,15,763,0,763,752,"1,515",50.36
　　,西門里,9,208,302,70,2,272,854,25,879,0,879,761,"1,640",53.60
　　,北門里,10,149,257,43,5,228,682,24,706,0,706,683,"1,389",50.83
　　,北門里,11,199,302,48,3,283,835,31,866,0,866,918,"1,784",48.54
　　,賢庵里,12,235,204,69,9,220,737,19,756,0,756,872,"1,628",46.44
　　,賢庵里,13,264,124,63,3,137,591,17,608,0,608,670,"1,278",47.57
　　,金水里,14,197,176,37,1,207,618,23,641,0,641,804,"1,445",44.36
　　,古城里,15,120,99,32,5,219,475,13,488,0,488,499,987,49.44
　　,古城里,16,294,137,23,5,208,667,15,682,0,682,792,"1,474",46.27
　　,珠沙里,17,166,269,49,8,268,760,26,786,0,786,"1,079","1,865",42.14
　金寧鄉,,,"1,702","2,101",517,56,"2,874","7,250",217,"7,467",0,"7,467","8,436","15,903",46.95
　　,古寧村,18,62,175,11,2,247,497,16,513,0,513,628,"1,141",44.96
　　,古寧村,19,78,174,18,1,185,456,17,473,0,473,609,"1,082",43.72
　　,安美村,20,209,195,44,5,224,677,19,696,0,696,887,"1,583",43.97
　　,安美村,21,163,136,27,0,233,559,12,571,0,571,596,"1,167",48.93
