第8屆區域立法委員選舉基隆市候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
林右昌
民主進步黨","2
黃小陵
人民民主陣線","3
謝國樑
中國國民黨","4
張耿輝
無黨籍及未經政黨推薦","5
周一成
台灣主義黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"84,487","2,599","110,196","12,332",707,"210,321","3,020","213,341",7,"213,348","81,428","294,776",72.37
　中正區,,,"11,702",353,"15,478",958,104,"28,595",485,"29,080",2,"29,082","12,308","41,390",70.26
　　,長潭里,1,253,11,164,10,0,438,7,445,0,445,108,553,80.47
　　,砂子里,2,402,15,344,50,4,815,13,828,0,828,393,"1,221",67.81
　　,砂子里,3,194,4,191,13,3,405,8,413,0,413,207,620,66.61
　　,砂子里,4,420,9,739,41,3,"1,212",17,"1,229",0,"1,229",678,"1,907",64.45
　　,八斗里,5,648,17,335,22,1,"1,023",24,"1,047",0,"1,047",436,"1,483",70.60
　　,碧砂里,6,479,7,320,22,1,829,17,846,0,846,393,"1,239",68.28
　　,新富里,7,508,10,737,60,2,"1,317",13,"1,330",0,"1,330",615,"1,945",68.38
　　,新富里,8,358,11,494,28,5,896,20,916,0,916,400,"1,316",69.60
　　,新富里,9,148,2,165,8,1,324,6,330,0,330,200,530,62.26
　　,新豐里,10,209,6,313,17,2,547,7,554,0,554,302,856,64.72
　　,新豐里,11,270,8,428,27,0,733,10,743,0,743,394,"1,137",65.35
　　,新豐里,12,487,19,927,41,1,"1,475",15,"1,490",0,"1,490",646,"2,136",69.76
　　,平寮里,13,417,15,486,17,4,939,19,958,0,958,386,"1,344",71.28
　　,社寮里,14,565,24,561,29,6,"1,185",27,"1,212",0,"1,212",518,"1,730",70.06
　　,和憲里,15,180,7,345,11,3,546,9,555,0,555,264,819,67.77
　　,海濱里,16,234,8,342,16,2,602,8,610,0,610,251,861,70.85
　　,正濱里,17,268,9,433,19,4,733,12,745,0,745,299,"1,044",71.36
　　,中正里,18,511,18,676,47,6,"1,258",21,"1,279",0,"1,279",761,"2,040",62.70
　　,中濱里,19,321,13,484,24,5,847,17,864,0,864,350,"1,214",71.17
　　,建國里,20,254,11,453,42,2,762,15,777,0,777,305,"1,082",71.81
　　,建國里,21,208,6,320,36,3,573,12,585,0,585,212,797,73.40
　　,砂灣里,22,272,11,478,25,4,790,11,801,0,801,305,"1,106",72.42
　　,砂灣里,23,156,9,389,19,9,582,14,596,0,596,267,863,69.06
　　,真砂里,24,354,9,584,30,2,979,23,"1,002",0,"1,002",335,"1,337",74.94
　　,正砂里,25,298,3,390,23,6,720,7,727,1,728,246,974,74.64
　　,正砂里,26,284,10,601,30,1,926,17,943,0,943,331,"1,274",74.02
　　,中砂里,27,321,10,489,32,5,857,9,866,0,866,273,"1,139",76.03
　　,入船里,28,264,7,377,31,3,682,7,689,0,689,273,962,71.62
　　,正船里,29,346,10,533,27,0,916,9,925,0,925,399,"1,324",69.86
　　,中船里,30,310,12,488,31,5,846,18,864,0,864,353,"1,217",70.99
　　,港通里,31,446,14,409,24,2,895,16,911,0,911,296,"1,207",75.48
　　,義重里,32,319,13,394,25,2,753,16,769,0,769,318,"1,087",70.75
　　,正義里,33,414,9,496,35,3,957,14,971,1,972,338,"1,310",74.12
　　,信義里,34,309,1,334,25,2,671,14,685,0,685,270,955,71.73
　　,德義里,35,275,5,259,21,2,562,13,575,0,575,186,761,75.56
　信義區,,,"11,217",378,"16,548","1,035",88,"29,266",456,"29,722",2,"29,724","11,063","40,787",72.87
　　,仁壽里,36,317,7,443,28,2,797,17,814,0,814,262,"1,076",75.65
　　,仁義里,37,346,14,598,29,3,990,20,"1,010",0,"1,010",273,"1,283",78.72
　　,義昭里,38,205,12,416,23,3,659,16,675,0,675,232,907,74.42
　　,義幸里,39,331,8,515,22,3,879,14,893,0,893,261,"1,154",77.38
　　,義幸里,40,329,11,502,26,4,872,9,881,0,881,256,"1,137",77.48
　　,義民里,41,263,4,313,16,4,600,9,609,0,609,182,791,76.99
　　,義和里,42,323,13,548,32,1,917,11,928,0,928,492,"1,420",65.35
　　,智慧里,43,205,13,244,19,0,481,6,487,0,487,144,631,77.18
　　,智誠里,44,210,6,202,17,1,436,4,440,0,440,201,641,68.64
　　,智誠里,45,290,12,298,28,6,634,9,643,0,643,297,940,68.40
　　,禮儀里,46,437,20,640,36,2,"1,135",19,"1,154",0,"1,154",388,"1,542",74.84
　　,禮東里,47,408,15,687,56,6,"1,172",31,"1,203",0,"1,203",339,"1,542",78.02
　　,信綠里,48,284,10,450,24,2,770,13,783,1,784,284,"1,068",73.31
　　,信綠里,49,313,7,438,28,1,787,15,802,0,802,320,"1,122",71.48
　　,東信里,50,265,7,350,28,3,653,16,669,0,669,242,911,73.44
　　,東信里,51,360,16,696,34,3,"1,109",18,"1,127",0,"1,127",373,"1,500",75.13
　　,東信里,52,336,8,427,26,1,798,14,812,0,812,295,"1,107",73.35
　　,東光里,53,285,9,446,20,2,762,9,771,0,771,303,"1,074",71.79
　　,東光里,54,239,4,253,21,0,517,8,525,0,525,211,736,71.33
　　,東明里,55,353,22,557,41,7,980,9,989,0,989,397,"1,386",71.36
　　,東明里,56,475,17,860,49,4,"1,405",26,"1,431",0,"1,431",480,"1,911",74.88
　　,東安里,57,343,9,543,43,0,938,13,951,0,951,359,"1,310",72.60
　　,東安里,58,428,26,570,33,2,"1,059",18,"1,077",0,"1,077",368,"1,445",74.53
　　,孝賢里,59,475,11,638,38,0,"1,162",14,"1,176",0,"1,176",436,"1,612",72.95
　　,孝賢里,60,353,19,603,26,1,"1,002",14,"1,016",1,"1,017",310,"1,327",76.56
　　,孝忠里,61,565,13,872,68,4,"1,522",22,"1,544",0,"1,544",457,"2,001",77.16
　　,孝忠里,62,467,14,632,43,2,"1,158",11,"1,169",0,"1,169",544,"1,713",68.24
　　,孝忠里,63,385,5,508,39,2,939,19,958,0,958,364,"1,322",72.47
　　,孝德里,64,605,17,819,46,4,"1,491",16,"1,507",0,"1,507",728,"2,235",67.43
