第8屆區域立法委員選舉高雄市第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
邱議瑩
民主進步黨","2
鍾紹和
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"89,913","75,627","165,540","2,251","167,791",2,"167,793","56,004","223,797",74.97
　桃源區,,,56,122,178,2,180,0,180,114,294,61.22
　　,寶山里,1,5,12,17,0,17,0,17,19,36,47.22
　　,建山里,2,6,32,38,0,38,0,38,18,56,67.86
　　,高中里,3,16,22,38,2,40,0,40,19,59,67.80
　　,桃源里,4,20,33,53,0,53,0,53,33,86,61.63
　　,勤和里,5,0,7,7,0,7,0,7,11,18,38.89
　　,復興里,6,3,6,9,0,9,0,9,4,13,69.23
　　,拉芙蘭里,7,4,5,9,0,9,0,9,5,14,64.29
　　,梅山里,8,2,5,7,0,7,0,7,5,12,58.33
　那瑪夏區,,,138,89,227,5,232,0,232,107,339,68.44
　　,達卡努瓦里,9,9,14,23,0,23,0,23,20,43,53.49
　　,達卡努瓦里,10,10,34,44,0,44,0,44,25,69,63.77
　　,瑪雅里,11,8,10,18,3,21,0,21,13,34,61.76
　　,南沙魯里,12,111,31,142,2,144,0,144,49,193,74.61
　甲仙區,,,"1,805","1,942","3,747",56,"3,803",0,"3,803","1,897","5,700",66.72
　　,東安里,13,159,159,318,7,325,0,325,183,508,63.98
　　,西安里,14,265,447,712,8,720,0,720,227,947,76.03
　　,和安里,15,211,259,470,9,479,0,479,233,712,67.28
　　,大田里,16,479,497,976,20,996,0,996,523,"1,519",65.57
　　,寶隆里,17,272,208,480,3,483,0,483,214,697,69.30
　　,關山里,18,217,214,431,6,437,0,437,203,640,68.28
　　,小林里,19,202,158,360,3,363,0,363,314,677,53.62
　六龜區,,,"3,889","3,747","7,636",125,"7,761",0,"7,761","3,770","11,531",67.31
　　,新威里,20,233,314,547,6,553,0,553,204,757,73.05
　　,新興里,21,200,255,455,11,466,0,466,217,683,68.23
