第8屆區域立法委員選舉高雄市第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
邱志偉
民主進步黨","2
謝長利
無黨籍及未經政黨推薦","3
林益世
中國國民黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"96,818","2,301","92,902","192,021","2,494","194,515",4,"194,519","55,016","249,535",77.95
　茄萣區,,,"8,499",154,"9,635","18,288",220,"18,508",0,"18,508","6,445","24,953",74.17
　　,福德里,244,398,7,368,773,7,780,0,780,216,996,78.31
　　,萬福里,245,281,3,384,668,9,677,0,677,227,904,74.89
　　,白雲里,246,500,10,743,"1,253",18,"1,271",0,"1,271",383,"1,654",76.84
　　,嘉賜里,247,515,10,526,"1,051",21,"1,072",0,"1,072",452,"1,524",70.34
　　,嘉賜里,248,576,7,614,"1,197",10,"1,207",0,"1,207",354,"1,561",77.32
　　,嘉安里,249,472,17,585,"1,074",16,"1,090",0,"1,090",449,"1,539",70.83
　　,嘉樂里,250,296,5,327,628,7,635,0,635,239,874,72.65
　　,嘉樂里,251,362,4,417,783,12,795,0,795,248,"1,043",76.22
　　,嘉泰里,252,424,4,423,851,12,863,0,863,318,"1,181",73.07
　　,嘉福里,253,335,8,371,714,7,721,0,721,280,"1,001",72.03
　　,和協里,254,409,8,396,813,17,830,0,830,308,"1,138",72.93
　　,嘉定里,255,434,9,432,875,11,886,0,886,312,"1,198",73.96
　　,保定里,256,526,9,519,"1,054",13,"1,067",0,"1,067",367,"1,434",74.41
　　,保定里,257,537,10,600,"1,147",16,"1,163",0,"1,163",347,"1,510",77.02
　　,大定里,258,329,11,533,873,10,883,0,883,285,"1,168",75.60
　　,光定里,259,265,1,445,711,9,720,0,720,274,994,72.43
　　,吉定里,260,466,5,418,889,9,898,0,898,270,"1,168",76.88
　　,崎漏里,261,373,10,498,881,5,886,0,886,297,"1,183",74.89
　　,崎漏里,262,438,6,496,940,7,947,0,947,313,"1,260",75.16
　　,崎漏里,263,563,10,540,"1,113",4,"1,117",0,"1,117",506,"1,623",68.82
　湖內區,,,"9,143",239,"8,087","17,469",253,"17,722",0,"17,722","5,504","23,226",76.30
　　,海山里,264,479,10,396,885,12,897,0,897,239,"1,136",78.96
　　,劉家里,265,453,7,291,751,11,762,0,762,249,"1,011",75.37
　　,太爺里,266,338,8,279,625,11,636,0,636,177,813,78.23
　　,公里,267,429,13,446,888,10,898,0,898,266,"1,164",77.15
　　,公里,268,316,5,279,600,5,605,0,605,187,792,76.39
　　,葉厝里,269,473,8,283,764,14,778,0,778,225,"1,003",77.57
　　,葉厝里,270,557,13,357,927,10,937,0,937,295,"1,232",76.06
　　,大湖里,271,359,15,405,779,10,789,0,789,198,987,79.94
　　,大湖里,272,309,14,313,636,9,645,0,645,173,818,78.85
　　,大湖里,273,448,11,454,913,16,929,0,929,311,"1,240",74.92
　　,田尾里,274,345,16,416,777,10,787,0,787,252,"1,039",75.75
　　,湖內里,275,268,3,276,547,12,559,0,559,176,735,76.05
　　,湖內里,276,311,10,301,622,13,635,0,635,170,805,78.88
　　,湖內里,277,526,11,635,"1,172",17,"1,189",0,"1,189",402,"1,591",74.73
　　,海埔里,278,411,12,221,644,5,649,0,649,183,832,78.00
　　,海埔里,279,381,12,304,697,8,705,0,705,264,969,72.76
　　,文賢里,280,509,15,350,874,13,887,0,887,245,"1,132",78.36
　　,中賢里,281,361,7,272,640,8,648,0,648,254,902,71.84
　　,中賢里,282,501,13,327,841,14,855,0,855,272,"1,127",75.87
　　,逸賢里,283,414,9,281,704,14,718,0,718,275,993,72.31
　　,忠興里,284,309,5,251,565,16,581,0,581,139,720,80.69
　　,湖東里,285,293,10,488,791,9,800,0,800,242,"1,042",76.78
　　,湖東里,286,353,12,462,827,6,833,0,833,310,"1,143",72.88
　路竹區,,,"15,699",395,"15,265","31,359",455,"31,814",1,"31,815","9,330","41,145",77.32
　　,竹滬里,287,416,6,317,739,2,741,0,741,220,961,77.11
　　,竹滬里,288,483,12,319,814,10,824,0,824,216,"1,040",79.23
　　,竹滬里,289,299,8,306,613,6,619,0,619,242,861,71.89
　　,頂寮里,290,450,15,381,846,12,858,0,858,280,"1,138",75.40
　　,新達里,291,421,13,451,885,19,904,0,904,246,"1,150",78.61
　　,後鄉里,292,448,11,345,804,18,822,0,822,199,"1,021",80.51
　　,北嶺里,293,483,17,450,950,18,968,0,968,222,"1,190",81.34
　　,社西里,294,413,11,372,796,13,809,0,809,241,"1,050",77.05
　　,社西里,295,442,4,373,819,14,833,0,833,239,"1,072",77.71
　　,甲北里,296,380,8,341,729,7,736,0,736,222,958,76.83
　　,甲北里,297,404,15,356,775,15,790,0,790,255,"1,045",75.60
　　,甲南里,298,364,9,355,728,13,741,0,741,254,995,74.47
　　,甲南里,299,325,10,408,743,21,764,0,764,218,982,77.80
　　,甲南里,300,350,17,477,844,34,878,0,878,284,"1,162",75.56
　　,下坑里,301,312,8,332,652,10,662,0,662,198,860,76.98
　　,下坑里,302,249,14,355,618,5,623,0,623,207,830,75.06
　　,下坑里,303,320,8,341,669,10,679,0,679,232,911,74.53
　　,竹園里,304,248,9,321,578,9,587,0,587,187,774,75.84
　　,竹園里,305,456,11,276,743,8,751,0,751,246,997,75.33
　　,竹東里,306,528,11,680,"1,219",9,"1,228",0,"1,228",371,"1,599",76.80
　　,竹東里,307,606,13,545,"1,164",14,"1,178",0,"1,178",335,"1,513",77.86
　　,竹西里,308,379,6,407,792,9,801,1,802,221,"1,023",78.30
　　,竹西里,309,384,8,516,908,12,920,0,920,245,"1,165",78.97
　　,文北里,310,369,9,380,758,6,764,0,764,256,"1,020",74.90
　　,文北里,311,385,14,377,776,9,785,0,785,210,995,78.89
　　,文北里,312,344,9,351,704,13,717,0,717,202,919,78.02
　　,文南里,313,428,9,446,883,17,900,0,900,251,"1,151",78.19
　　,文南里,314,420,14,409,843,9,852,0,852,234,"1,086",78.45
　　,三爺里,315,378,6,298,682,12,694,0,694,177,871,79.68
　　,鴨寮里,316,399,5,373,777,14,791,0,791,204,995,79.50
　　,鴨寮里,317,307,4,282,593,6,599,0,599,178,777,77.09
　　,社東里,318,337,8,293,638,4,642,0,642,165,807,79.55
　　,社東里,319,366,7,309,682,8,690,0,690,172,862,80.05
　　,社中里,320,351,13,318,682,12,694,0,694,207,901,77.03
　　,竹南里,321,345,4,338,687,15,702,0,702,202,904,77.65
　　,竹南里,322,285,8,359,652,10,662,0,662,190,852,77.70
　　,竹南里,323,325,8,325,658,10,668,0,668,216,884,75.57
　　,社南里,324,354,7,345,706,7,713,0,713,213,926,77.00
　　,社南里,325,311,8,304,623,2,625,0,625,200,825,75.76
　　,社南里,326,415,6,346,767,7,774,0,774,244,"1,018",76.03
　　,社南里,327,420,12,388,820,6,826,0,826,229,"1,055",78.29
　永安區,,,"4,026",86,"4,360","8,472",99,"8,571",0,"8,571","2,597","11,168",76.75
　　,永安里,328,220,2,323,545,1,546,0,546,174,720,75.83
　　,永安里,329,253,2,343,598,13,611,0,611,187,798,76.57
　　,永華里,330,261,7,368,636,7,643,0,643,197,840,76.55
　　,永華里,331,328,7,342,677,10,687,0,687,227,914,75.16
　　,新港里,332,327,12,391,730,4,734,0,734,227,961,76.38
　　,新港里,333,312,7,192,511,6,517,0,517,186,703,73.54
　　,新港里,334,260,8,246,514,3,517,0,517,166,683,75.70
　　,鹽田里,335,169,4,109,282,4,286,0,286,100,386,74.09
　　,保寧里,336,310,8,503,821,11,832,0,832,177,"1,009",82.46
　　,保寧里,337,390,8,479,877,12,889,0,889,253,"1,142",77.85
　　,維新里,338,541,11,495,"1,047",15,"1,062",0,"1,062",288,"1,350",78.67
　　,維新里,339,655,10,569,"1,234",13,"1,247",0,"1,247",415,"1,662",75.03
　岡山區,,,"27,665",732,"29,037","57,434",729,"58,163",2,"58,165","16,093","74,258",78.33
　　,平安里,340,468,11,459,938,12,950,0,950,272,"1,222",77.74
