第8屆區域立法委員選舉高雄市第9選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳致中
無黨籍及未經政黨推薦","2
蔡媽福
無黨籍及未經政黨推薦","3
郭玟成
民主進步黨","4
林國正
中國國民黨","5
林杰正
台灣國民會議",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"48,941","2,779","59,258","70,600","2,142","183,720","2,849","186,569",5,"186,574","59,269","245,843",75.89
　前鎮區,,,"25,971","1,839","31,270","36,898",965,"96,943","1,555","98,498",4,"98,502","29,643","128,145",76.86
　　,草衙里,"1,690",339,8,367,302,14,"1,030",14,"1,044",1,"1,045",289,"1,334",78.26
　　,草衙里,"1,691",359,14,531,452,12,"1,368",21,"1,389",0,"1,389",416,"1,805",76.95
　　,草衙里,"1,692",359,11,503,372,13,"1,258",21,"1,279",2,"1,281",465,"1,746",73.25
　　,草衙里,"1,693",342,12,555,391,7,"1,307",23,"1,330",0,"1,330",491,"1,821",73.04
　　,草衙里,"1,694",343,25,510,351,10,"1,239",13,"1,252",0,"1,252",452,"1,704",73.47
　　,明孝里,"1,695",410,11,454,405,9,"1,289",22,"1,311",0,"1,311",389,"1,700",77.12
　　,明孝里,"1,696",177,7,233,195,2,614,9,623,0,623,201,824,75.61
　　,明正里,"1,697",376,15,451,442,10,"1,294",21,"1,315",0,"1,315",356,"1,671",78.70
　　,明正里,"1,698",341,10,402,399,8,"1,160",23,"1,183",0,"1,183",335,"1,518",77.93
　　,明正里,"1,699",265,16,409,362,11,"1,063",20,"1,083",0,"1,083",310,"1,393",77.75
　　,明義里,"1,700",175,7,288,318,11,799,11,810,0,810,214,"1,024",79.10
　　,明義里,"1,701",229,11,405,236,15,896,17,913,0,913,229,"1,142",79.95
　　,仁愛里,"1,702",339,10,338,283,6,976,9,985,0,985,286,"1,271",77.50
　　,德昌里,"1,703",175,11,266,197,4,653,11,664,0,664,206,870,76.32
　　,德昌里,"1,704",132,6,207,318,11,674,10,684,0,684,238,922,74.19
　　,平等里,"1,705",299,15,706,339,16,"1,375",17,"1,392",0,"1,392","1,071","2,463",56.52
　　,平昌里,"1,706",211,11,193,91,1,507,9,516,0,516,162,678,76.11
　　,明禮里,"1,707",446,13,452,232,11,"1,154",25,"1,179",0,"1,179",378,"1,557",75.72
　　,信義里,"1,708",381,17,439,258,7,"1,102",16,"1,118",0,"1,118",289,"1,407",79.46
　　,信德里,"1,709",248,8,336,171,1,764,13,777,0,777,227,"1,004",77.39
　　,信德里,"1,710",233,15,341,332,10,931,19,950,0,950,332,"1,282",74.10
　　,明道里,"1,711",294,14,359,205,3,875,12,887,0,887,279,"1,166",76.07
　　,興化里,"1,712",245,6,212,130,7,600,5,605,0,605,164,769,78.67
　　,興仁里,"1,713",273,26,193,115,3,610,13,623,0,623,181,804,77.49
　　,前鎮里,"1,714",352,15,378,296,10,"1,051",25,"1,076",0,"1,076",280,"1,356",79.35
　　,鎮東里,"1,715",279,23,213,201,10,726,8,734,0,734,172,906,81.02
　　,鎮東里,"1,716",315,8,198,173,5,699,18,717,0,717,230,947,75.71
　　,鎮榮里,"1,717",286,11,391,214,7,909,11,920,0,920,254,"1,174",78.36
　　,鎮榮里,"1,718",195,8,330,217,5,755,9,764,0,764,265,"1,029",74.25
　　,鎮昌里,"1,719",203,13,218,195,12,641,11,652,0,652,197,849,76.80
　　,鎮昌里,"1,720",281,17,333,246,6,883,7,890,0,890,258,"1,148",77.53
　　,鎮海里,"1,721",249,12,431,318,5,"1,015",20,"1,035",0,"1,035",370,"1,405",73.67
　　,鎮海里,"1,722",204,8,461,343,9,"1,025",25,"1,050",0,"1,050",247,"1,297",80.96
　　,鎮海里,"1,723",174,7,378,366,11,936,15,951,0,951,303,"1,254",75.84
　　,鎮陽里,"1,724",242,14,285,259,3,803,10,813,0,813,232,"1,045",77.80
　　,興邦里,"1,725",149,13,250,300,14,726,9,735,0,735,172,907,81.04
　　,興邦里,"1,726",247,47,355,524,18,"1,191",18,"1,209",0,"1,209",311,"1,520",79.54
　　,鎮中里,"1,727",241,11,190,163,3,608,14,622,1,623,202,825,75.39
　　,鎮北里,"1,728",259,20,294,249,6,828,10,838,0,838,221,"1,059",79.13
　　,忠純里,"1,729",47,27,80,960,12,"1,126",17,"1,143",0,"1,143",299,"1,442",79.26
　　,忠純里,"1,730",94,40,106,964,11,"1,215",19,"1,234",0,"1,234",290,"1,524",80.97
　　,忠純里,"1,731",200,22,291,812,19,"1,344",19,"1,363",0,"1,363",418,"1,781",76.53
　　,忠誠里,"1,732",42,30,53,681,15,821,20,841,0,841,221,"1,062",79.19
　　,忠誠里,"1,733",38,25,57,649,5,774,13,787,0,787,205,992,79.33
　　,西山里,"1,734",270,11,398,580,13,"1,272",21,"1,293",0,"1,293",410,"1,703",75.92
　　,西山里,"1,735",295,18,311,644,12,"1,280",24,"1,304",0,"1,304",408,"1,712",76.17
　　,民權里,"1,736",165,14,252,508,17,956,8,964,0,964,212,"1,176",81.97
　　,民權里,"1,737",208,14,322,500,8,"1,052",17,"1,069",0,"1,069",243,"1,312",81.48
　　,民權里,"1,738",149,21,222,585,12,989,15,"1,004",0,"1,004",306,"1,310",76.64
　　,建隆里,"1,739",164,6,183,308,4,665,7,672,0,672,218,890,75.51
　　,振興里,"1,740",184,7,286,302,14,793,15,808,0,808,233,"1,041",77.62
　　,振興里,"1,741",167,10,228,404,9,818,20,838,0,838,264,"1,102",76.04
　　,良和里,"1,742",226,14,292,534,9,"1,075",16,"1,091",0,"1,091",320,"1,411",77.32
　　,良和里,"1,743",162,9,216,592,7,986,18,"1,004",0,"1,004",306,"1,310",76.64
　　,西甲里,"1,744",330,28,514,504,19,"1,395",20,"1,415",0,"1,415",459,"1,874",75.51
　　,盛興里,"1,745",171,14,229,492,8,914,13,927,0,927,337,"1,264",73.34
　　,盛興里,"1,746",217,10,244,431,10,912,14,926,0,926,318,"1,244",74.44
　　,盛豐里,"1,747",282,18,359,404,14,"1,077",11,"1,088",0,"1,088",353,"1,441",75.50
　　,盛豐里,"1,748",241,16,295,487,13,"1,052",21,"1,073",0,"1,073",365,"1,438",74.62
　　,興中里,"1,749",300,16,368,514,8,"1,206",17,"1,223",0,"1,223",346,"1,569",77.95
　　,興中里,"1,750",240,23,291,462,10,"1,026",24,"1,050",0,"1,050",404,"1,454",72.21
　　,忠孝里,"1,751",192,18,276,512,16,"1,014",19,"1,033",0,"1,033",327,"1,360",75.96
　　,忠孝里,"1,752",175,22,200,430,9,836,21,857,0,857,241,"1,098",78.05
　　,瑞竹里,"1,753",345,34,417,372,11,"1,179",24,"1,203",0,"1,203",364,"1,567",76.77
　　,瑞南里,"1,754",312,41,351,408,12,"1,124",16,"1,140",0,"1,140",336,"1,476",77.24
　　,瑞南里,"1,755",347,35,378,368,8,"1,136",17,"1,153",0,"1,153",282,"1,435",80.35
　　,瑞南里,"1,756",352,28,381,428,13,"1,202",19,"1,221",0,"1,221",340,"1,561",78.22
