第8屆區域立法委員選舉苗栗縣第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳超明
中國國民黨","2
李朝雄
台灣主義黨","3
杜文卿
民主進步黨","4
黃玉燕
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"82,902","2,095","56,179","4,730","145,906","4,542","150,448",5,"150,453","51,558","202,011",74.48
　竹南鎮,,,"28,467",725,"12,776","1,748","43,716","1,613","45,329",0,"45,329","13,251","58,580",77.38
　　,竹南里,1,495,7,252,34,788,32,820,0,820,239,"1,059",77.43
　　,竹南里,2,393,8,188,28,617,30,647,0,647,186,833,77.67
　　,照南里,3,467,10,192,34,703,25,728,0,728,189,917,79.39
　　,照南里,4,578,12,282,50,922,46,968,0,968,226,"1,194",81.07
　　,照南里,5,467,9,234,32,742,28,770,0,770,165,935,82.35
　　,正南里,6,617,17,339,33,"1,006",48,"1,054",0,"1,054",296,"1,350",78.07
　　,正南里,7,542,7,234,32,815,36,851,0,851,334,"1,185",71.81
　　,新南里,8,470,13,208,27,718,22,740,0,740,216,956,77.41
　　,新南里,9,641,34,289,29,993,33,"1,026",0,"1,026",262,"1,288",79.66
　　,新南里,10,619,28,287,43,977,34,"1,011",0,"1,011",269,"1,280",78.98
　　,大厝里,11,457,11,230,37,735,27,762,0,762,175,937,81.32
　　,大厝里,12,577,16,246,40,879,50,929,0,929,239,"1,168",79.54
　　,大厝里,13,437,9,226,22,694,29,723,0,723,171,894,80.87
　　,大厝里,14,464,17,189,26,696,23,719,0,719,206,925,77.73
　　,營盤里,15,432,9,227,30,698,28,726,0,726,201,927,78.32
　　,營盤里,16,497,6,216,28,747,28,775,0,775,206,981,79.00
　　,營盤里,17,507,10,216,33,766,26,792,0,792,226,"1,018",77.80
　　,聖福里,18,502,13,214,48,777,26,803,0,803,201,"1,004",79.98
　　,聖福里,19,560,13,158,40,771,28,799,0,799,253,"1,052",75.95
　　,聖福里,20,550,17,248,31,846,35,881,0,881,237,"1,118",78.80
　　,竹興里,21,443,9,165,28,645,28,673,0,673,237,910,73.96
　　,竹興里,22,469,12,225,16,722,23,745,0,745,242,987,75.48
　　,竹興里,23,409,9,200,19,637,14,651,0,651,254,905,71.93
　　,龍山里,24,449,11,161,20,641,28,669,0,669,180,849,78.80
　　,龍山里,25,464,11,195,18,688,22,710,0,710,207,917,77.43
　　,天文里,26,418,8,150,23,599,22,621,0,621,221,842,73.75
　　,天文里,27,554,13,147,26,740,27,767,0,767,202,969,79.15
　　,龍鳳里,28,505,9,170,21,705,19,724,0,724,199,923,78.44
　　,龍鳳里,29,574,11,200,37,822,25,847,0,847,227,"1,074",78.86
　　,山佳里,30,423,9,181,20,633,16,649,0,649,225,874,74.26
　　,山佳里,31,477,4,209,29,719,26,745,0,745,200,945,78.84
　　,山佳里,32,457,6,128,40,631,22,653,0,653,245,898,72.72
　　,山佳里,33,448,21,195,32,696,17,713,0,713,225,938,76.01
　　,佳興里,34,720,22,297,42,"1,081",53,"1,134",0,"1,134",293,"1,427",79.47
　　,佳興里,35,621,6,261,37,925,37,962,0,962,242,"1,204",79.90
　　,中港里,36,497,14,233,28,772,36,808,0,808,220,"1,028",78.60
　　,中華里,37,363,6,230,26,625,20,645,0,645,175,820,78.66
　　,中華里,38,397,5,139,20,561,18,579,0,579,165,744,77.82
　　,中華里,39,490,7,214,34,745,35,780,0,780,204,984,79.27
　　,中英里,40,361,16,162,17,556,15,571,0,571,201,772,73.96
　　,中英里,41,321,14,115,22,472,17,489,0,489,172,661,73.98
　　,中美里,42,383,10,163,14,570,23,593,0,593,144,737,80.46
　　,中美里,43,557,13,224,30,824,34,858,0,858,260,"1,118",76.74
　　,開元里,44,314,14,161,13,502,9,511,0,511,139,650,78.62
　　,海口里,45,449,11,226,40,726,30,756,0,756,221,977,77.38
　　,海口里,46,477,8,231,32,748,31,779,0,779,270,"1,049",74.26
　　,海口里,47,468,19,223,36,746,19,765,0,765,251,"1,016",75.30
　　,港墘里,48,616,18,324,26,984,47,"1,031",0,"1,031",220,"1,251",82.41
　　,港墘里,49,270,4,131,8,413,12,425,0,425,95,520,81.73
　　,公里,50,571,15,221,33,840,22,862,0,862,295,"1,157",74.50
　　,大埔里,51,288,9,184,33,514,21,535,0,535,146,681,78.56
　　,大埔里,52,536,12,317,38,903,32,935,0,935,393,"1,328",70.41
　　,大埔里,53,480,19,273,27,799,23,822,0,822,274,"1,096",75.00
　　,頂埔里,54,520,10,272,33,835,29,864,0,864,268,"1,132",76.33
　　,頂埔里,55,439,17,221,29,706,26,732,0,732,228,960,76.25
　　,崎頂里,56,351,10,114,23,498,20,518,0,518,164,682,75.95
　　,崎頂里,57,430,8,161,27,626,15,641,0,641,225,866,74.02
　　,崎頂里,58,321,13,240,21,595,26,621,0,621,233,854,72.72
　　,崎頂里,59,395,9,173,32,609,25,634,0,634,209,843,75.21
　　,公義里,60,470,17,265,21,773,15,788,0,788,183,971,81.15
　造橋鄉,,,"5,509",118,"2,068",254,"7,949",244,"8,193",0,"8,193","2,587","10,780",76.00
　　,造橋村,61,623,11,148,31,813,21,834,0,834,264,"1,098",75.96
　　,造橋村,62,441,11,141,26,619,23,642,0,642,223,865,74.22
　　,平興村,63,290,7,50,9,356,14,370,0,370,102,472,78.39
　　,豐湖村,64,506,13,180,19,718,23,741,0,741,261,"1,002",73.95
　　,大西村,65,696,20,260,40,"1,016",35,"1,051",0,"1,051",332,"1,383",75.99
　　,大西村,66,519,2,147,30,698,16,714,0,714,213,927,77.02
　　,大西村,67,508,8,175,24,715,22,737,0,737,258,995,74.07
　　,錦水村,68,303,1,99,9,412,7,419,0,419,87,506,82.81
　　,大龍村,69,283,3,97,3,386,14,400,0,400,91,491,81.47
　　,朝陽村,70,625,12,346,27,"1,010",25,"1,035",0,"1,035",307,"1,342",77.12
　　,談文村,71,326,18,182,16,542,17,559,0,559,176,735,76.05
　　,龍昇村,72,389,12,243,20,664,27,691,0,691,273,964,71.68
　後龍鎮,,,"11,276",349,"8,676",570,"20,871",695,"21,566",1,"21,567","8,788","30,355",71.05
　　,南龍里,73,241,4,163,13,421,15,436,0,436,190,626,69.65
　　,南龍里,74,293,7,181,22,503,16,519,0,519,255,774,67.05
　　,中龍里,75,290,11,281,13,595,38,633,0,633,211,844,75.00
　　,北龍里,76,294,8,269,16,587,29,616,0,616,179,795,77.48
　　,北龍里,77,241,8,187,14,450,18,468,0,468,144,612,76.47
　　,大庄里,78,424,9,238,16,687,22,709,0,709,285,994,71.33
　　,大庄里,79,372,12,296,21,701,28,729,0,729,303,"1,032",70.64
　　,大庄里,80,336,7,269,20,632,16,648,0,648,236,884,73.30
　　,大庄里,81,355,10,228,15,608,29,637,0,637,274,911,69.92
　　,溪洲里,82,409,7,297,25,738,14,752,0,752,336,"1,088",69.12
　　,溪洲里,83,426,16,311,26,779,25,804,0,804,360,"1,164",69.07
　　,豐富里,84,651,14,206,28,899,30,929,0,929,244,"1,173",79.20
　　,校椅里,85,383,10,225,21,639,29,668,0,668,277,945,70.69
　　,埔頂里,86,509,17,368,29,923,23,946,0,946,317,"1,263",74.90
　　,埔頂里,87,531,20,333,18,902,33,935,0,935,382,"1,317",70.99
　　,新民里,88,648,15,271,28,962,35,997,0,997,357,"1,354",73.63
　　,復興里,89,271,6,222,13,512,5,517,0,517,169,686,75.36
　　,東明里,90,451,22,415,38,926,41,967,0,967,419,"1,386",69.77
　　,大山里,91,297,10,199,18,524,14,538,0,538,205,743,72.41
　　,大山里,92,250,7,264,10,531,16,547,0,547,237,784,69.77
　　,灣寶里,93,361,23,454,26,864,31,895,0,895,386,"1,281",69.87
　　,海寶里,94,290,11,318,15,634,27,661,0,661,277,938,70.47
　　,外埔里,95,440,13,229,15,697,26,723,0,723,358,"1,081",66.88
　　,海埔里,96,304,8,282,15,609,15,624,0,624,349,973,64.13
　　,秀水里,97,236,7,219,13,475,13,488,0,488,204,692,70.52
　　,水尾里,98,385,22,299,15,721,24,745,1,746,297,"1,043",71.43
