第8屆區域立法委員選舉苗栗縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
楊長鎮
民主進步黨","2
徐耀昌
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"47,022","118,858","165,880","3,172","169,052",6,"169,058","55,865","224,923",75.16
　頭份鎮,,,"13,801","40,655","54,456","1,027","55,483",0,"55,483","17,290","72,773",76.24
　　,流東里,218,142,396,538,8,546,0,546,170,716,76.26
　　,流東里,219,238,779,"1,017",22,"1,039",0,"1,039",353,"1,392",74.64
　　,珊湖里,220,118,535,653,10,663,0,663,220,883,75.08
　　,珊湖里,221,181,425,606,11,617,0,617,182,799,77.22
　　,斗煥里,222,212,531,743,21,764,0,764,237,"1,001",76.32
　　,斗煥里,223,168,515,683,18,701,0,701,194,895,78.32
　　,斗煥里,224,193,518,711,23,734,0,734,247,981,74.82
　　,新華里,225,202,572,774,14,788,0,788,263,"1,051",74.98
　　,新華里,226,197,713,910,23,933,0,933,275,"1,208",77.24
　　,新華里,227,186,771,957,13,970,0,970,268,"1,238",78.35
　　,興隆里,228,222,660,882,16,898,0,898,282,"1,180",76.10
　　,興隆里,229,214,521,735,10,745,0,745,282,"1,027",72.54
　　,興隆里,230,238,738,976,20,996,0,996,315,"1,311",75.97
　　,上埔里,231,228,814,"1,042",22,"1,064",0,"1,064",290,"1,354",78.58
　　,上埔里,232,167,603,770,12,782,0,782,267,"1,049",74.55
　　,土牛里,233,160,431,591,6,597,0,597,191,788,75.76
　　,頭份里,234,163,502,665,14,679,0,679,175,854,79.51
　　,頭份里,235,191,609,800,17,817,0,817,226,"1,043",78.33
　　,頭份里,236,160,601,761,24,785,0,785,261,"1,046",75.05
　　,自強里,237,180,507,687,18,705,0,705,246,951,74.13
　　,自強里,238,179,510,689,10,699,0,699,249,948,73.73
　　,忠孝里,239,172,528,700,13,713,0,713,167,880,81.02
　　,忠孝里,240,137,546,683,13,696,0,696,187,883,78.82
　　,忠孝里,241,171,560,731,20,751,0,751,201,952,78.89
　　,仁愛里,242,169,481,650,8,658,0,658,228,886,74.27
　　,仁愛里,243,154,342,496,4,500,0,500,170,670,74.63
　　,信義里,244,144,420,564,6,570,0,570,333,903,63.12
　　,和平里,245,281,515,796,19,815,0,815,221,"1,036",78.67
　　,上興里,246,237,712,949,16,965,0,965,358,"1,323",72.94
　　,下興里,247,265,598,863,15,878,0,878,297,"1,175",74.72
　　,下興里,248,177,562,739,14,753,0,753,310,"1,063",70.84
　　,山下里,249,230,694,924,26,950,0,950,248,"1,198",79.30
