第8屆區域立法委員選舉南投縣第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
張國鑫
民主進步黨","2
馬文君
中國國民黨","3
何國隆
台灣主義黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"49,950","78,083","1,526","129,559","2,415","131,974",10,"131,984","54,590","186,574",70.74
　草屯鎮,,,"24,566","30,582",524,"55,672","1,004","56,676",1,"56,677","19,748","76,425",74.16
　　,玉峰里,1,288,408,12,708,10,718,0,718,256,974,73.72
　　,玉峰里,2,303,487,10,800,9,809,0,809,280,"1,089",74.29
　　,明正里,3,396,564,5,965,22,987,0,987,318,"1,305",75.63
　　,明正里,4,365,475,17,857,11,868,0,868,280,"1,148",75.61
　　,明正里,5,337,568,5,910,19,929,0,929,279,"1,208",76.90
　　,炎峰里,6,315,404,8,727,14,741,0,741,198,939,78.91
　　,炎峰里,7,350,458,4,812,14,826,0,826,291,"1,117",73.95
　　,中正里,8,222,293,8,523,7,530,0,530,164,694,76.37
　　,和平里,9,443,478,9,930,11,941,0,941,241,"1,182",79.61
　　,中山里,10,293,377,7,677,14,691,0,691,176,867,79.70
　　,中山里,11,514,497,15,"1,026",18,"1,044",0,"1,044",331,"1,375",75.93
　　,敦和里,12,433,507,8,948,13,961,0,961,332,"1,293",74.32
　　,敦和里,13,453,601,12,"1,066",32,"1,098",0,"1,098",410,"1,508",72.81
　　,敦和里,14,415,656,7,"1,078",18,"1,096",0,"1,096",414,"1,510",72.58
　　,敦和里,15,438,703,11,"1,152",28,"1,180",0,"1,180",404,"1,584",74.49
　　,山腳里,16,464,726,8,"1,198",15,"1,213",0,"1,213",409,"1,622",74.78
　　,山腳里,17,453,807,9,"1,269",21,"1,290",0,"1,290",430,"1,720",75.00
　　,山腳里,18,455,802,10,"1,267",15,"1,282",0,"1,282",440,"1,722",74.45
　　,山腳里,19,464,770,5,"1,239",23,"1,262",0,"1,262",403,"1,665",75.80
　　,新厝里,20,434,622,8,"1,064",20,"1,084",0,"1,084",291,"1,375",78.84
　　,新厝里,21,486,617,9,"1,112",18,"1,130",0,"1,130",323,"1,453",77.77
　　,上林里,22,405,618,8,"1,031",18,"1,049",0,"1,049",272,"1,321",79.41
　　,上林里,23,432,643,11,"1,086",19,"1,105",1,"1,106",376,"1,482",74.56
　　,碧峰里,24,400,522,6,928,12,940,0,940,369,"1,309",71.81
