第8屆區域立法委員選舉南投縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
賴燕雪
民主進步黨","2
林明溱
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"66,447","79,008","145,455","2,094","147,549",6,"147,555","56,858","204,413",72.18
　南投市,,,"26,132","32,289","58,421",826,"59,247",1,"59,248","20,013","79,261",74.75
　　,龍泉里,215,384,339,723,6,729,0,729,227,956,76.26
　　,康壽里,216,485,564,"1,049",11,"1,060",0,"1,060",314,"1,374",77.15
　　,三民里,217,265,363,628,8,636,0,636,173,809,78.62
　　,仁和里,218,231,187,418,3,421,0,421,122,543,77.53
　　,南投里,219,235,242,477,8,485,0,485,142,627,77.35
　　,彰仁里,220,190,126,316,6,322,0,322,81,403,79.90
　　,崇文里,221,345,383,728,19,747,0,747,240,987,75.68
　　,三興里,222,492,523,"1,015",7,"1,022",0,"1,022",357,"1,379",74.11
　　,三興里,223,478,754,"1,232",17,"1,249",0,"1,249",455,"1,704",73.30
　　,三興里,224,547,718,"1,265",23,"1,288",0,"1,288",401,"1,689",76.26
　　,三和里,225,552,586,"1,138",10,"1,148",0,"1,148",291,"1,439",79.78
　　,三和里,226,455,514,969,14,983,0,983,331,"1,314",74.81
　　,嘉興里,227,467,286,753,7,760,0,760,269,"1,029",73.86
　　,嘉興里,228,391,276,667,14,681,0,681,281,962,70.79
　　,嘉和里,229,507,517,"1,024",13,"1,037",0,"1,037",296,"1,333",77.79
　　,嘉和里,230,508,399,907,13,920,0,920,413,"1,333",69.02
　　,嘉和里,231,487,387,874,10,884,0,884,295,"1,179",74.98
　　,平和里,232,465,512,977,14,991,0,991,440,"1,431",69.25
　　,平和里,233,403,567,970,9,979,0,979,337,"1,316",74.39
　　,平和里,234,458,540,998,13,"1,011",0,"1,011",362,"1,373",73.63
　　,平和里,235,511,657,"1,168",13,"1,181",0,"1,181",413,"1,594",74.09
　　,振興里,236,203,189,392,1,393,0,393,166,559,70.30
　　,振興里,237,587,490,"1,077",7,"1,084",0,"1,084",382,"1,466",73.94
　　,千秋里,238,344,360,704,9,713,0,713,252,965,73.89
　　,軍功里,239,440,561,"1,001",15,"1,016",0,"1,016",407,"1,423",71.40
　　,軍功里,240,403,490,893,17,910,0,910,326,"1,236",73.62
　　,軍功里,241,401,458,859,10,869,0,869,355,"1,224",71.00
　　,軍功里,242,131,148,279,1,280,0,280,95,375,74.67
　　,東山里,243,125,145,270,5,275,0,275,113,388,70.88
　　,營南里,244,417,487,904,14,918,0,918,292,"1,210",75.87
　　,營南里,245,328,434,762,5,767,0,767,212,979,78.35
　　,營北里,246,468,853,"1,321",20,"1,341",0,"1,341",381,"1,722",77.87
　　,營北里,247,229,591,820,17,837,0,837,177,"1,014",82.54
　　,營北里,248,228,600,828,9,837,0,837,198,"1,035",80.87
　　,營北里,249,372,984,"1,356",22,"1,378",0,"1,378",334,"1,712",80.49
　　,內興里,250,475,417,892,19,911,0,911,283,"1,194",76.30
　　,內興里,251,468,689,"1,157",13,"1,170",0,"1,170",339,"1,509",77.53
　　,內興里,252,356,670,"1,026",26,"1,052",0,"1,052",271,"1,323",79.52
　　,內興里,253,277,625,902,14,916,0,916,229,"1,145",80.00
　　,內興里,254,178,281,459,11,470,0,470,146,616,76.30
　　,內新里,255,570,491,"1,061",14,"1,075",0,"1,075",314,"1,389",77.39
　　,光輝里,256,113,299,412,6,418,0,418,126,544,76.84
　　,光榮里,257,168,840,"1,008",24,"1,032",0,"1,032",344,"1,376",75.00
　　,光明里,258,153,858,"1,011",20,"1,031",0,"1,031",247,"1,278",80.67
　　,光華里,259,127,695,822,17,839,0,839,262,"1,101",76.20
　　,漳興里,260,423,390,813,7,820,0,820,276,"1,096",74.82
　　,漳興里,261,540,556,"1,096",11,"1,107",0,"1,107",326,"1,433",77.25
　　,漳和里,262,428,565,993,6,999,0,999,334,"1,333",74.94
　　,漳和里,263,425,507,932,16,948,0,948,336,"1,284",73.83
　　,漳和里,264,448,529,977,15,992,0,992,367,"1,359",72.99
　　,漳和里,265,428,509,937,13,950,0,950,268,"1,218",78.00
　　,漳和里,266,391,449,840,12,852,0,852,338,"1,190",71.60
　　,平山里,267,518,634,"1,152",18,"1,170",0,"1,170",503,"1,673",69.93
　　,平山里,268,515,489,"1,004",16,"1,020",0,"1,020",372,"1,392",73.28
　　,平山里,269,548,602,"1,150",16,"1,166",0,"1,166",468,"1,634",71.36
　　,新興里,270,556,474,"1,030",11,"1,041",0,"1,041",431,"1,472",70.72
　　,新興里,271,509,472,981,17,998,0,998,446,"1,444",69.11
　　,新興里,272,529,527,"1,056",17,"1,073",1,"1,074",386,"1,460",73.49
　　,永豐里,273,530,479,"1,009",13,"1,022",0,"1,022",361,"1,383",73.90
　　,永豐里,274,429,418,847,9,856,0,856,355,"1,211",70.69
　　,福興里,275,506,526,"1,032",10,"1,042",0,"1,042",377,"1,419",73.43
　　,福興里,276,482,458,940,12,952,0,952,348,"1,300",73.23
　　,鳳山里,277,458,359,817,11,828,0,828,338,"1,166",71.01
　　,永興里,278,279,275,554,11,565,0,565,200,765,73.86
　　,鳳鳴里,279,267,212,479,9,488,0,488,195,683,71.45
　　,福山里,280,293,314,607,11,618,0,618,274,892,69.28
　　,福山里,281,213,450,663,11,674,0,674,223,897,75.14
　名間鄉,,,"12,493","10,898","23,391",298,"23,689",2,"23,691","8,679","32,370",73.18
　　,南雅村,282,355,397,752,12,764,0,764,249,"1,013",75.42
　　,中正村,283,473,486,959,17,976,0,976,386,"1,362",71.66
　　,中正村,284,628,629,"1,257",14,"1,271",0,"1,271",505,"1,776",71.57
　　,中山村,285,242,285,527,3,530,0,530,226,756,70.11
　　,中山村,286,514,521,"1,035",13,"1,048",0,"1,048",331,"1,379",76.00
　　,濁水村,287,564,539,"1,103",7,"1,110",0,"1,110",456,"1,566",70.88
　　,新民村,288,388,343,731,6,737,0,737,243,980,75.20
　　,炭寮村,289,353,334,687,5,692,0,692,292,984,70.33
　　,新街村,290,355,265,620,7,627,0,627,234,861,72.82
　　,新街村,291,378,328,706,8,714,0,714,241,955,74.76
　　,新街村,292,418,275,693,7,700,0,700,230,930,75.27
　　,新街村,293,396,413,809,11,820,0,820,327,"1,147",71.49
　　,東湖村,294,338,212,550,11,561,0,561,212,773,72.57
　　,東湖村,295,322,288,610,10,620,0,620,232,852,72.77
　　,仁和村,296,240,362,602,3,605,0,605,256,861,70.27
　　,萬丹村,297,412,280,692,16,708,0,708,255,963,73.52
　　,田仔村,298,537,376,913,14,927,0,927,329,"1,256",73.81
　　,大坑村,299,325,209,534,5,539,0,539,205,744,72.45
　　,大庄村,300,519,316,835,12,847,0,847,253,"1,100",77.00
　　,大庄村,301,302,225,527,8,535,0,535,172,707,75.67
　　,下村,302,338,298,636,10,646,1,647,229,876,73.74
　　,赤水村,303,300,202,502,6,508,0,508,154,662,76.74
　　,赤水村,304,235,138,373,6,379,0,379,157,536,70.71
　　,竹圍村,305,417,268,685,10,695,0,695,250,945,73.54
