第8屆區域立法委員選舉澎湖縣候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
林炳坤
無黨團結聯盟","2
楊曜
民主進步黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"20,756","23,823","44,579","1,003","45,582",0,"45,582","31,390","76,972",59.22
　馬公市,,,"13,226","14,560","27,786",634,"28,420",0,"28,420","16,053","44,473",63.90
　　,復興里,1,141,82,223,8,231,0,231,104,335,68.96
　　,長安里,2,186,174,360,8,368,0,368,172,540,68.15
　　,中央里,3,129,188,317,9,326,0,326,169,495,65.86
　　,啟明里,4,251,318,569,16,585,0,585,288,873,67.01
　　,重慶里,5,311,335,646,16,662,0,662,332,994,66.60
　　,中興里,6,242,190,432,19,451,0,451,241,692,65.17
　　,光復里,7,227,346,573,4,577,0,577,330,907,63.62
　　,光復里,8,276,316,592,18,610,0,610,359,969,62.95
　　,光明里,9,371,336,707,11,718,0,718,383,"1,101",65.21
　　,光榮里,10,576,252,828,15,843,0,843,471,"1,314",64.16
　　,光榮里,11,412,350,762,31,793,0,793,411,"1,204",65.86
　　,光榮里,12,383,303,686,20,706,0,706,402,"1,108",63.72
　　,朝陽里,13,302,469,771,15,786,0,786,412,"1,198",65.61
　　,朝陽里,14,311,398,709,24,733,0,733,435,"1,168",62.76
　　,朝陽里,15,364,365,729,19,748,0,748,410,"1,158",64.59
　　,朝陽里,16,484,371,855,21,876,0,876,512,"1,388",63.11
　　,陽明里,17,297,371,668,17,685,0,685,415,"1,100",62.27
　　,陽明里,18,339,417,756,19,775,0,775,438,"1,213",63.89
　　,重光里,19,366,435,801,22,823,0,823,450,"1,273",64.65
　　,西衛里,20,348,375,723,20,743,0,743,410,"1,153",64.44
　　,西衛里,21,385,376,761,15,776,0,776,388,"1,164",66.67
　　,西衛里,22,476,464,940,29,969,0,969,581,"1,550",62.52
　　,西文里,23,320,434,754,18,772,0,772,392,"1,164",66.32
　　,西文里,24,423,419,842,20,862,0,862,428,"1,290",66.82
　　,東文里,25,363,512,875,26,901,0,901,461,"1,362",66.15
　　,東文里,26,339,381,720,18,738,0,738,372,"1,110",66.49
　　,案山里,27,400,522,922,26,948,0,948,513,"1,461",64.89
　　,光華里,28,117,119,236,10,246,0,246,110,356,69.10
　　,前寮里,29,185,268,453,9,462,0,462,242,704,65.63
　　,石泉里,30,398,406,804,11,815,0,815,358,"1,173",69.48
　　,石泉里,31,243,333,576,7,583,0,583,326,909,64.14
　　,菜園里,32,97,149,246,3,249,0,249,126,375,66.40
　　,東衛里,33,300,294,594,9,603,0,603,307,910,66.26
　　,東衛里,34,230,213,443,4,447,0,447,265,712,62.78
　　,安宅里,35,125,198,323,10,333,0,333,184,517,64.41
　　,興仁里,36,191,338,529,10,539,0,539,266,805,66.96
　　,烏崁里,37,246,308,554,13,567,0,567,317,884,64.14
　　,鐵線里,38,94,208,302,2,304,0,304,145,449,67.71
　　,鎖港里,39,267,449,716,14,730,0,730,429,"1,159",62.99
　　,鎖港里,40,215,365,580,13,593,0,593,405,998,59.42
　　,山水里,41,141,275,416,4,420,0,420,269,689,60.96
　　,山水里,42,234,270,504,6,510,0,510,306,816,62.50
　　,五德里,43,81,37,118,4,122,0,122,81,203,60.10
　　,井垵里,44,101,119,220,4,224,0,224,105,329,68.09
　　,裡里,45,508,139,647,8,655,0,655,455,"1,110",59.01
　　,風櫃里,46,255,437,692,5,697,0,697,550,"1,247",55.89
　　,虎井里,47,143,87,230,3,233,0,233,378,611,38.13
　　,桶盤里,48,33,49,82,1,83,0,83,150,233,35.62
　湖西鄉,,,"2,809","3,763","6,572",144,"6,716",0,"6,716","4,394","11,110",60.45
　　,湖西村,49,273,305,578,13,591,0,591,361,952,62.08
　　,湖東村,50,105,78,183,4,187,0,187,111,298,62.75
　　,青螺村,51,73,52,125,2,127,0,127,120,247,51.42
　　,白坑村,52,70,70,140,4,144,0,144,127,271,53.14
　　,南寮村,53,143,197,340,5,345,0,345,262,607,56.84
　　,北寮村,54,104,73,177,1,178,0,178,120,298,59.73
　　,紅羅村,55,121,259,380,12,392,0,392,237,629,62.32
　　,西溪村,56,122,188,310,4,314,0,314,202,516,60.85
　　,成功村,57,145,177,322,13,335,0,335,223,558,60.04
　　,東石村,58,23,49,72,5,77,0,77,48,125,61.60
　　,沙港村,59,148,312,460,14,474,0,474,267,741,63.97
　　,中西村,60,49,57,106,2,108,0,108,81,189,57.14
　　,鼎灣村,61,106,120,226,7,233,0,233,242,475,49.05
　　,潭邊村,62,59,106,165,4,169,0,169,59,228,74.12
　　,許家村,63,64,71,135,4,139,0,139,82,221,62.90
　　,城北村,64,79,63,142,1,143,0,143,65,208,68.75
　　,太武村,65,39,20,59,1,60,0,60,39,99,60.61
　　,隘門村,66,178,227,405,12,417,0,417,265,682,61.14
　　,林投村,67,210,363,573,12,585,0,585,339,924,63.31
　　,尖山村,68,134,205,339,6,345,0,345,205,550,62.73
　　,龍門村,69,221,260,481,6,487,0,487,352,839,58.05
　　,龍門村,70,224,265,489,5,494,0,494,288,782,63.17
　　,葉村,71,119,246,365,7,372,0,372,299,671,55.44
　白沙鄉,,,"2,126","1,840","3,966",73,"4,039",0,"4,039","3,709","7,748",52.13
　　,中屯村,72,177,126,303,2,305,0,305,158,463,65.87
　　,講美村,73,166,188,354,6,360,0,360,224,584,61.64
　　,城前村,74,42,18,60,2,62,0,62,36,98,63.27
　　,鎮海村,75,52,25,77,1,78,0,78,50,128,60.94
　　,港子村,76,97,65,162,2,164,0,164,128,292,56.16
　　,岐頭村,77,71,36,107,5,112,0,112,113,225,49.78
　　,小赤村,78,57,34,91,3,94,0,94,67,161,58.39
　　,赤崁村,79,462,387,849,13,862,0,862,559,"1,421",60.66
　　,瓦硐村,80,88,53,141,2,143,0,143,124,267,53.56
　　,後寮村,81,124,193,317,9,326,0,326,329,655,49.77
　　,通梁村,82,206,217,423,8,431,0,431,284,715,60.28
　　,吉貝村,83,220,284,504,5,509,0,509,762,"1,271",40.05
　　,鳥嶼村,84,254,132,386,10,396,0,396,628,"1,024",38.67
　　,員貝村,85,69,33,102,2,104,0,104,120,224,46.43
　　,大倉村,86,41,49,90,3,93,0,93,127,220,42.27
　西嶼鄉,,,"1,402","2,419","3,821",85,"3,906",0,"3,906","2,982","6,888",56.71
　　,橫礁村,87,63,98,161,0,161,0,161,94,255,63.14
　　,合界村,88,22,209,231,8,239,0,239,169,408,58.58
　　,竹灣村,89,165,275,440,12,452,0,452,343,795,56.86
　　,小門村,90,73,80,153,11,164,0,164,121,285,57.54
　　,大池村,91,88,254,342,10,352,0,352,278,630,55.87
　　,二崁村,92,28,48,76,1,77,0,77,82,159,48.43
　　,池東村,93,129,191,320,10,330,0,330,224,554,59.57
　　,池西村,94,27,79,106,1,107,0,107,79,186,57.53
　　,赤馬村,95,43,240,283,5,288,0,288,259,547,52.65
　　,內垵村,96,120,531,651,9,660,0,660,513,"1,173",56.27
　　,外垵村,97,279,198,477,6,483,0,483,374,857,56.36
　　,外垵村,98,365,216,581,12,593,0,593,446,"1,039",57.07
　望安鄉,,,486,829,"1,315",37,"1,352",0,"1,352","2,515","3,867",34.96
　　,東安村,99,100,145,245,5,250,0,250,295,545,45.87
　　,西安村,100,86,65,151,3,154,0,154,205,359,42.90
　　,中社村,101,51,32,83,3,86,0,86,175,261,32.95
　　,水垵村,102,38,78,116,3,119,0,119,211,330,36.06
　　,將軍村,103,77,176,253,4,257,0,257,369,626,41.05
　　,將軍村,104,63,181,244,7,251,0,251,370,621,40.42
　　,東吉村,105,11,19,30,1,31,0,31,249,280,11.07
　　,東坪村,106,23,49,72,2,74,0,74,307,381,19.42
　　,西坪村,107,22,18,40,1,41,0,41,161,202,20.30
　　,花嶼村,108,15,66,81,8,89,0,89,173,262,33.97
　七美鄉,,,707,412,"1,119",30,"1,149",0,"1,149","1,737","2,886",39.81
　　,東湖村,109,61,27,88,5,93,0,93,138,231,40.26
　　,西湖村,110,123,59,182,7,189,0,189,305,494,38.26
　　,中和村,111,134,78,212,5,217,0,217,315,532,40.79
　　,平和村,112,66,53,119,2,121,0,121,210,331,36.56
　　,海豐村,113,69,31,100,2,102,0,102,198,300,34.00
　　,南港村,114,254,164,418,9,427,0,427,571,998,42.79
