第8屆區域立法委員選舉屏東縣第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳俊豪
台灣主義黨","2
蘇震清
民主進步黨","3
吳亮慶
無黨籍及未經政黨推薦","4
羅志明
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"2,283","94,538","10,437","55,161","162,419","3,282","165,701",5,"165,706","60,028","225,734",73.41
　里港鄉,,,216,"10,013",660,"4,052","14,941",330,"15,271",1,"15,272","5,058","20,330",75.12
　　,玉田村,1,13,662,37,239,951,21,972,0,972,289,"1,261",77.08
　　,玉田村,2,20,663,36,207,926,25,951,0,951,327,"1,278",74.41
　　,塔樓村,3,14,749,50,213,"1,026",28,"1,054",0,"1,054",351,"1,405",75.02
　　,潮厝村,4,11,763,74,216,"1,064",24,"1,088",0,"1,088",346,"1,434",75.87
　　,大平村,5,9,459,38,285,791,16,807,0,807,278,"1,085",74.38
　　,永春村,6,10,391,25,155,581,11,592,0,592,208,800,74.00
　　,春林村,7,19,582,40,233,874,21,895,0,895,286,"1,181",75.78
　　,過江村,8,7,444,34,177,662,8,670,0,670,208,878,76.31
　　,過江村,9,10,376,48,194,628,11,639,0,639,276,915,69.84
　　,鐵店村,10,13,674,45,237,969,23,992,0,992,317,"1,309",75.78
　　,茄苳村,11,4,169,12,92,277,8,285,0,285,101,386,73.83
　　,茄苳村,12,11,689,29,201,930,22,952,1,953,207,"1,160",82.07
　　,載興村,13,13,588,19,153,773,13,786,0,786,221,"1,007",78.05
　　,載興村,14,16,719,42,187,964,20,984,0,984,321,"1,305",75.40
　　,土庫村,15,19,663,48,291,"1,021",26,"1,047",0,"1,047",386,"1,433",73.06
　　,土庫村,16,0,43,6,289,338,4,342,0,342,137,479,71.40
　　,三村,17,13,346,23,184,566,18,584,0,584,220,804,72.64
　　,三村,18,8,402,31,204,645,10,655,0,655,237,892,73.43
　　,中和村,19,4,393,10,204,611,12,623,0,623,252,875,71.20
　　,瀰力村,20,2,238,13,91,344,9,353,0,353,90,443,79.68
　高樹鄉,,,159,"10,284",992,"3,767","15,202",395,"15,597",0,"15,597","6,011","21,608",72.18
　　,高樹村,21,5,433,21,189,648,11,659,0,659,256,915,72.02
　　,高樹村,22,5,649,26,206,886,15,901,0,901,294,"1,195",75.40
　　,長榮村,23,7,715,35,206,963,14,977,0,977,303,"1,280",76.33
　　,東興村,24,6,429,15,123,573,10,583,0,583,207,790,73.80
　　,東振村,25,6,273,14,133,426,22,448,0,448,163,611,73.32
　　,源泉村,26,11,490,39,189,729,22,751,0,751,257,"1,008",74.50
　　,建興村,27,5,579,63,132,779,19,798,0,798,329,"1,127",70.81
　　,大埔村,28,2,285,23,141,451,6,457,0,457,169,626,73.00
　　,菜寮村,29,0,415,90,86,591,12,603,0,603,192,795,75.85
　　,司馬村,30,1,288,17,183,489,7,496,0,496,183,679,73.05
　　,舊寮村,31,7,549,59,267,882,22,904,0,904,358,"1,262",71.63
　　,新豐村,32,12,631,87,252,982,21,"1,003",0,"1,003",478,"1,481",67.72
