第8屆區域立法委員選舉屏東縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
李世斌
民主進步黨","2
王進士
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"75,986","80,696","156,682","2,080","158,762",0,"158,762","53,233","211,995",74.89
　屏東市,,,"54,569","63,542","118,111","1,530","119,641",0,"119,641","41,372","161,013",74.31
　　,武廟里、大同里、端正里,234,526,452,978,18,996,0,996,320,"1,316",75.68
　　,光榮里、民權里,235,520,490,"1,010",20,"1,030",0,"1,030",342,"1,372",75.07
　　,文明里、泰安里,236,243,439,682,3,685,0,685,228,913,75.03
　　,維新里,237,524,459,983,22,"1,005",0,"1,005",346,"1,351",74.39
　　,維新里,238,522,447,969,9,978,0,978,380,"1,358",72.02
　　,大埔里、必信里,239,573,425,998,17,"1,015",0,"1,015",358,"1,373",73.93
　　,崇智里、崇禮里,240,335,242,577,9,586,0,586,177,763,76.80
　　,楠樹里、扶風里、慶春里,241,640,455,"1,095",22,"1,117",0,"1,117",289,"1,406",79.45
　　,安樂里、平和里,242,501,439,940,13,953,0,953,299,"1,252",76.12
　　,金泉里、勝豐里,243,492,371,863,15,878,0,878,259,"1,137",77.22
　　,橋南里,244,502,567,"1,069",8,"1,077",0,"1,077",424,"1,501",71.75
　　,橋北里,245,294,362,656,10,666,0,666,231,897,74.25
　　,大連里,246,560,754,"1,314",19,"1,333",0,"1,333",408,"1,741",76.57
　　,大連里,247,583,869,"1,452",15,"1,467",0,"1,467",467,"1,934",75.85
　　,大連里,248,487,835,"1,322",22,"1,344",0,"1,344",504,"1,848",72.73
　　,大連里,249,581,797,"1,378",19,"1,397",0,"1,397",418,"1,815",76.97
　　,大連里,250,560,782,"1,342",15,"1,357",0,"1,357",436,"1,793",75.68
　　,豐田里,251,380,383,763,7,770,0,770,299,"1,069",72.03
　　,豐田里,252,395,576,971,18,989,0,989,354,"1,343",73.64
　　,豐田里,253,493,606,"1,099",24,"1,123",0,"1,123",401,"1,524",73.69
　　,豐榮里,254,367,529,896,12,908,0,908,285,"1,193",76.11
　　,豐榮里,255,442,499,941,9,950,0,950,285,"1,235",76.92
　　,豐源里,256,268,397,665,10,675,0,675,218,893,75.59
　　,豐源里,257,423,524,947,16,963,0,963,320,"1,283",75.06
　　,豐源里,258,472,574,"1,046",16,"1,062",0,"1,062",340,"1,402",75.75
　　,長春里,259,360,367,727,5,732,0,732,268,"1,000",73.20
　　,長春里,260,288,375,663,3,666,0,666,239,905,73.59
　　,瑞光里,261,499,656,"1,155",12,"1,167",0,"1,167",409,"1,576",74.05
　　,瑞光里,262,560,667,"1,227",24,"1,251",0,"1,251",489,"1,740",71.90
　　,瑞光里,263,584,589,"1,173",24,"1,197",0,"1,197",464,"1,661",72.07
　　,瑞光里,264,529,747,"1,276",21,"1,297",0,"1,297",464,"1,761",73.65
　　,湖南里,265,453,278,731,8,739,0,739,262,"1,001",73.83
　　,湖西里,266,742,353,"1,095",8,"1,103",0,"1,103",331,"1,434",76.92
　　,歸心里,267,517,299,816,7,823,0,823,265,"1,088",75.64
　　,清溪里,268,612,694,"1,306",19,"1,325",0,"1,325",456,"1,781",74.40
　　,清溪里,269,564,683,"1,247",15,"1,262",0,"1,262",449,"1,711",73.76
　　,大武里,270,592,760,"1,352",10,"1,362",0,"1,362",444,"1,806",75.42
　　,大武里,271,618,687,"1,305",17,"1,322",0,"1,322",466,"1,788",73.94
　　,大武里,272,691,748,"1,439",16,"1,455",0,"1,455",489,"1,944",74.85
　　,大武里,273,637,825,"1,462",10,"1,472",0,"1,472",524,"1,996",73.75
　　,崇武里,274,58,880,938,8,946,0,946,306,"1,252",75.56
　　,崇武里,275,243,734,977,10,987,0,987,324,"1,311",75.29
　　,永順里、永昌里,276,166,235,401,10,411,0,411,136,547,75.14
　　,凌雲里、鵬程里,277,192,771,963,21,984,0,984,345,"1,329",74.04
　　,安鎮里,278,468,256,724,8,732,0,732,228,960,76.25
　　,安鎮里,279,418,323,741,11,752,0,752,237,989,76.04
　　,永光里,280,389,351,740,10,750,0,750,313,"1,063",70.56
　　,長安里,281,473,232,705,11,716,0,716,305,"1,021",70.13
　　,長安里,282,339,273,612,12,624,0,624,213,837,74.55
　　,前進里,283,628,531,"1,159",18,"1,177",0,"1,177",399,"1,576",74.68
　　,前進里,284,550,355,905,14,919,0,919,306,"1,225",75.02
　　,大洲里,285,558,283,841,16,857,0,857,300,"1,157",74.07
　　,新興里,286,598,369,967,18,985,0,985,284,"1,269",77.62
　　,新興里,287,353,421,774,9,783,0,783,329,"1,112",70.41
　　,公館里,288,601,436,"1,037",13,"1,050",0,"1,050",328,"1,378",76.20
　　,新生里,289,609,506,"1,115",18,"1,133",0,"1,133",367,"1,500",75.53
　　,新生里,290,554,796,"1,350",22,"1,372",0,"1,372",491,"1,863",73.64
　　,新生里,291,672,534,"1,206",15,"1,221",0,"1,221",475,"1,696",71.99
　　,頂宅里,292,257,123,380,7,387,0,387,107,494,78.34
　　,頂柳里,293,419,365,784,9,793,0,793,244,"1,037",76.47
　　,大湖里,294,667,534,"1,201",16,"1,217",0,"1,217",433,"1,650",73.76
　　,龍華里,295,450,422,872,7,879,0,879,291,"1,170",75.13
　　,龍華里,296,419,338,757,6,763,0,763,237,"1,000",76.30
　　,玉成里,297,659,429,"1,088",7,"1,095",0,"1,095",303,"1,398",78.33
　　,擇仁里,298,361,260,621,10,631,0,631,281,912,69.19
　　,建國里,299,312,318,630,4,634,0,634,227,861,73.64
　　,萬年里,300,290,239,529,6,535,0,535,183,718,74.51
　　,厚生里,301,551,375,926,7,933,0,933,332,"1,265",73.75
　　,厚生里,302,725,468,"1,193",25,"1,218",0,"1,218",419,"1,637",74.40
　　,一心里、義勇里,303,549,968,"1,517",17,"1,534",0,"1,534",486,"2,020",75.94
　　,光華里,304,276,229,505,4,509,0,509,208,717,70.99
　　,永安里,305,512,398,910,12,922,0,922,369,"1,291",71.42
　　,永安里,306,624,531,"1,155",21,"1,176",0,"1,176",409,"1,585",74.20
　　,永安里,307,647,760,"1,407",20,"1,427",0,"1,427",531,"1,958",72.88
　　,永安里,308,650,659,"1,309",20,"1,329",0,"1,329",528,"1,857",71.57
　　,崇蘭里,309,436,673,"1,109",12,"1,121",0,"1,121",356,"1,477",75.90
　　,崇蘭里,310,407,617,"1,024",12,"1,036",0,"1,036",363,"1,399",74.05
　　,崇蘭里,311,343,638,981,5,986,0,986,328,"1,314",75.04
　　,崇蘭里,312,378,696,"1,074",14,"1,088",0,"1,088",333,"1,421",76.57
　　,崇蘭里,313,302,753,"1,055",9,"1,064",0,"1,064",329,"1,393",76.38
　　,崇蘭里,314,279,684,963,11,974,0,974,322,"1,296",75.15
　　,崇蘭里,315,440,560,"1,000",13,"1,013",0,"1,013",339,"1,352",74.93
　　,潭墘里,316,339,648,987,14,"1,001",0,"1,001",408,"1,409",71.04
　　,潭墘里,317,325,655,980,12,992,0,992,377,"1,369",72.46
　　,潭墘里,318,380,708,"1,088",10,"1,098",0,"1,098",398,"1,496",73.40
　　,潭墘里,319,477,640,"1,117",9,"1,126",0,"1,126",371,"1,497",75.22
　　,潭墘里,320,405,782,"1,187",8,"1,195",0,"1,195",418,"1,613",74.09
　　,潭墘里,321,415,931,"1,346",17,"1,363",0,"1,363",603,"1,966",69.33
　　,永城里,322,282,443,725,14,739,0,739,308,"1,047",70.58
　　,永城里,323,317,408,725,10,735,0,735,331,"1,066",68.95
　　,空翔里,324,246,677,923,6,929,0,929,286,"1,215",76.46
　　,廣興里,325,382,362,744,6,750,0,750,262,"1,012",74.11
　　,廣興里,326,295,400,695,9,704,0,704,211,915,76.94
　　,勝利里,327,293,553,846,15,861,0,861,773,"1,634",52.69
　　,勝利里,328,456,699,"1,155",14,"1,169",0,"1,169",421,"1,590",73.52
　　,勝利里,329,433,757,"1,190",21,"1,211",0,"1,211",490,"1,701",71.19
　　,斯文里,330,289,299,588,8,596,0,596,211,807,73.85
　　,斯文里,331,314,510,824,10,834,0,834,232,"1,066",78.24
　　,華山里,332,503,733,"1,236",13,"1,249",0,"1,249",381,"1,630",76.63
　　,華山里,333,494,639,"1,133",12,"1,145",0,"1,145",376,"1,521",75.28
　　,華山里,334,442,749,"1,191",10,"1,201",0,"1,201",327,"1,528",78.60
　　,溝美里,335,449,473,922,12,934,0,934,306,"1,240",75.32
　　,溝美里,336,314,542,856,23,879,0,879,311,"1,190",73.87
　　,三山里,337,577,398,975,3,978,0,978,306,"1,284",76.17
　　,海豐里,338,419,243,662,12,674,0,674,178,852,79.11
　　,仁義里,339,467,361,828,17,845,0,845,262,"1,107",76.33
　　,北興里,340,339,500,839,7,846,0,846,262,"1,108",76.35
　　,北興里,341,417,521,938,9,947,0,947,345,"1,292",73.30
　　,北興里,342,569,705,"1,274",17,"1,291",0,"1,291",432,"1,723",74.93
　　,北興里,343,473,522,995,9,"1,004",0,"1,004",357,"1,361",73.77
　　,北勢里,344,447,512,959,10,969,0,969,286,"1,255",77.21
　　,北勢里,345,417,377,794,11,805,0,805,279,"1,084",74.26
　　,中正里,346,427,634,"1,061",10,"1,071",0,"1,071",337,"1,408",76.07
　　,中正里,347,379,539,918,9,927,0,927,376,"1,303",71.14
　　,中正里,348,459,649,"1,108",10,"1,118",0,"1,118",359,"1,477",75.69
　　,太平里,349,254,348,602,8,610,0,610,199,809,75.40
　　,興樂里、明正里,350,487,648,"1,135",12,"1,147",0,"1,147",361,"1,508",76.06
　　,信和里,351,671,411,"1,082",9,"1,091",0,"1,091",400,"1,491",73.17
　　,和興里,352,447,268,715,12,727,0,727,231,958,75.89
　　,仁愛里,353,356,442,798,15,813,0,813,280,"1,093",74.38
　　,仁愛里,354,363,532,895,12,907,0,907,270,"1,177",77.06
　麟洛鄉,,,"4,199","3,019","7,218",110,"7,328",0,"7,328","2,193","9,521",76.97
　　,新田村,355,308,241,549,5,554,0,554,187,741,74.76
　　,新田村,356,519,426,945,15,960,0,960,273,"1,233",77.86
　　,麟頂村,357,370,300,670,6,676,0,676,205,881,76.73
　　,麟蹄村,358,329,225,554,13,567,0,567,171,738,76.83
　　,麟蹄村,359,389,247,636,10,646,0,646,194,840,76.90
　　,麟趾村,360,475,358,833,24,857,0,857,286,"1,143",74.98
　　,麟趾村,361,551,457,"1,008",8,"1,016",0,"1,016",295,"1,311",77.50
　　,田中村,362,562,317,879,14,893,0,893,260,"1,153",77.45
　　,田心村,363,374,262,636,5,641,0,641,170,811,79.04
　　,田道村,364,322,186,508,10,518,0,518,152,670,77.31
　萬丹鄉,,,"17,218","14,135","31,353",440,"31,793",0,"31,793","9,668","41,461",76.68
　　,香社村,365,565,543,"1,108",21,"1,129",0,"1,129",348,"1,477",76.44
　　,新庄村,366,448,362,810,26,836,0,836,206,"1,042",80.23
　　,新庄村,367,377,346,723,5,728,0,728,221,949,76.71
　　,新鐘村,368,283,455,738,7,745,0,745,227,972,76.65
　　,新鐘村,369,352,385,737,8,745,0,745,254,999,74.57
　　,水仙村,370,188,226,414,10,424,0,424,129,553,76.67
　　,興全村,371,429,450,879,13,892,0,892,269,"1,161",76.83
　　,興安村,372,375,253,628,8,636,0,636,189,825,77.09
　　,甘棠村,373,150,129,279,9,288,0,288,106,394,73.10
　　,萬惠村,374,311,335,646,8,654,0,654,193,847,77.21
　　,萬全村,375,611,644,"1,255",18,"1,273",0,"1,273",414,"1,687",75.46
　　,萬全村,376,647,624,"1,271",12,"1,283",0,"1,283",415,"1,698",75.56
　　,萬後村,377,223,208,431,10,441,0,441,146,587,75.13
　　,萬安村,378,219,218,437,7,444,0,444,134,578,76.82
　　,萬生村,379,560,512,"1,072",15,"1,087",0,"1,087",301,"1,388",78.31
　　,寶厝村,380,377,389,766,12,778,0,778,258,"1,036",75.10
　　,寶厝村,381,404,410,814,13,827,0,827,292,"1,119",73.91
　　,四維村,382,371,286,657,10,667,0,667,223,890,74.94
　　,四維村,383,387,299,686,5,691,0,691,242,933,74.06
　　,竹林村,384,645,529,"1,174",19,"1,193",0,"1,193",402,"1,595",74.80
　　,水泉村,385,667,506,"1,173",16,"1,189",0,"1,189",361,"1,550",76.71
　　,田厝村,386,476,258,734,6,740,0,740,194,934,79.23
　　,崙頂村,387,771,549,"1,320",16,"1,336",0,"1,336",459,"1,795",74.43
　　,北村,388,746,436,"1,182",13,"1,195",0,"1,195",336,"1,531",78.05
　　,南村,389,555,432,987,19,"1,006",0,"1,006",363,"1,369",73.48
　　,後村村,390,444,362,806,17,823,0,823,216,"1,039",79.21
　　,灣內村,391,601,398,999,14,"1,013",0,"1,013",290,"1,303",77.74
　　,上村村,392,330,243,573,10,583,0,583,134,717,81.31
　　,加興村,393,593,338,931,11,942,0,942,228,"1,170",80.51
　　,社口村,394,473,518,991,10,"1,001",0,"1,001",288,"1,289",77.66
　　,磚寮村,395,368,329,697,7,704,0,704,230,934,75.37
　　,社皮村,396,370,246,616,9,625,0,625,143,768,81.38
　　,社皮村,397,477,361,838,10,848,0,848,260,"1,108",76.53
　　,社中村,398,787,411,"1,198",13,"1,211",0,"1,211",371,"1,582",76.55
　　,社上村,399,691,465,"1,156",16,"1,172",0,"1,172",352,"1,524",76.90
　　,廣安村,400,504,268,772,9,781,0,781,219,"1,000",78.10
　　,廣安村,401,443,412,855,8,863,0,863,255,"1,118",77.19
