第8屆區域立法委員選舉屏東縣第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
龔瑞維
中國國民黨","2
潘孟安
民主進步黨","3
潘政治
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"45,314","93,685","1,564","140,563","2,402","142,965",5,"142,970","59,496","202,466",70.61
　新園鄉,,,"6,178","15,661",263,"22,102",360,"22,462",1,"22,463","7,423","29,886",75.16
　　,瓦村,402,174,412,12,598,18,616,0,616,201,817,75.40
　　,瓦村,403,144,447,9,600,8,608,0,608,199,807,75.34
　　,仙吉村,404,248,584,6,838,16,854,0,854,342,"1,196",71.40
　　,仙吉村,405,286,539,9,834,12,846,0,846,361,"1,207",70.09
　　,田洋村,406,200,534,7,741,14,755,0,755,237,992,76.11
　　,田洋村,407,228,578,15,821,11,832,0,832,227,"1,059",78.56
　　,港墘村,408,201,396,15,612,6,618,0,618,185,803,76.96
　　,內庄村,409,221,396,13,630,10,640,0,640,177,817,78.34
　　,新東村,410,298,545,12,855,19,874,0,874,254,"1,128",77.48
　　,新東村,411,319,507,14,840,15,855,0,855,258,"1,113",76.82
　　,新園村,412,301,462,13,776,10,786,0,786,295,"1,081",72.71
　　,新園村,413,240,572,7,819,13,832,0,832,243,"1,075",77.40
　　,港西村,414,362,425,8,795,11,806,0,806,236,"1,042",77.35
　　,港西村,415,250,556,3,809,16,825,0,825,249,"1,074",76.82
　　,五房村,416,202,479,12,693,17,710,0,710,202,912,77.85
　　,五房村,417,153,488,11,652,2,654,0,654,215,869,75.26
　　,五房村,418,287,366,12,665,14,679,0,679,319,998,68.04
　　,烏龍村,419,243,687,12,942,19,961,0,961,268,"1,229",78.19
　　,興龍村,420,161,666,8,835,10,845,0,845,230,"1,075",78.60
　　,興龍村,421,188,600,5,793,9,802,0,802,278,"1,080",74.26
　　,中洲村,422,128,540,5,673,18,691,0,691,193,884,78.17
　　,中洲村,423,104,454,6,564,9,573,0,573,190,763,75.10
　　,南龍村,424,228,821,16,"1,065",18,"1,083",0,"1,083",340,"1,423",76.11
　　,鹽埔村,425,192,728,9,929,20,949,0,949,416,"1,365",69.52
　　,鹽埔村,426,250,918,8,"1,176",15,"1,191",1,"1,192",382,"1,574",75.67
　　,鹽埔村,427,209,702,4,915,17,932,0,932,343,"1,275",73.10
　　,共和村,428,199,597,6,802,7,809,0,809,298,"1,107",73.08
　　,共和村,429,162,662,6,830,6,836,0,836,285,"1,121",74.58
　崁頂鄉,,,"2,586","5,906",136,"8,628",128,"8,756",0,"8,756","3,070","11,826",74.04
　　,崁頂村,430,274,575,15,864,11,875,0,875,310,"1,185",73.84
　　,崁頂村,431,314,411,8,733,5,738,0,738,277,"1,015",72.71
　　,園寮村,432,195,343,11,549,10,559,0,559,200,759,73.65
　　,園寮村,433,263,485,11,759,6,765,0,765,308,"1,073",71.30
　　,力社村,434,252,701,20,973,14,987,0,987,318,"1,305",75.63
　　,圍內村,435,283,594,11,888,22,910,0,910,312,"1,222",74.47
　　,洲子村,436,207,497,15,719,11,730,0,730,237,967,75.49
　　,北勢村,437,262,839,18,"1,119",20,"1,139",0,"1,139",399,"1,538",74.06
　　,越溪村,438,166,498,7,671,5,676,0,676,247,923,73.24
　　,港東村,439,159,455,11,625,9,634,0,634,222,856,74.07
　　,港東村,440,211,508,9,728,15,743,0,743,240,983,75.58
　南州鄉,,,"2,270","4,548",77,"6,895",113,"7,008",0,"7,008","2,471","9,479",73.93
　　,溪洲村,441,213,453,9,675,14,689,0,689,243,932,73.93
　　,溪洲村,442,206,369,1,576,9,585,0,585,210,795,73.58
　　,溪南村,443,275,443,7,725,7,732,0,732,217,949,77.13
　　,仁里村,444,98,248,5,351,7,358,0,358,126,484,73.97
　　,溪北村,445,276,227,7,510,7,517,0,517,154,671,77.05
