第8屆區域立法委員選舉桃園縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
廖正井
中國國民黨","2
郭榮宗
民主進步黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"92,035","91,250","183,285","4,092","187,377",2,"187,379","63,720","251,099",74.62
　大園鄉,,,"19,222","23,703","42,925","1,010","43,935",1,"43,936","15,008","58,944",74.54
　　,大園村,171,449,528,977,27,"1,004",0,"1,004",364,"1,368",73.39
　　,大園村,172,501,532,"1,033",19,"1,052",0,"1,052",428,"1,480",71.08
　　,大園村,173,388,505,893,28,921,0,921,329,"1,250",73.68
　　,大園村,174,483,582,"1,065",35,"1,100",0,"1,100",268,"1,368",80.41
　　,田心村,175,556,684,"1,240",27,"1,267",0,"1,267",401,"1,668",75.96
　　,田心村,176,675,685,"1,360",27,"1,387",0,"1,387",473,"1,860",74.57
　　,田心村,177,544,635,"1,179",28,"1,207",0,"1,207",445,"1,652",73.06
　　,溪海村,178,612,718,"1,330",36,"1,366",1,"1,367",520,"1,887",72.39
　　,溪海村,179,497,742,"1,239",37,"1,276",0,"1,276",505,"1,781",71.65
　　,和平村,180,349,737,"1,086",21,"1,107",0,"1,107",392,"1,499",73.85
　　,橫峰村,181,374,516,890,17,907,0,907,356,"1,263",71.81
　　,橫峰村,182,361,446,807,26,833,0,833,277,"1,110",75.05
　　,橫峰村,183,462,445,907,17,924,0,924,353,"1,277",72.36
　　,橫峰村,184,413,557,970,25,995,0,995,290,"1,285",77.43
　　,橫峰村,185,519,395,914,14,928,0,928,284,"1,212",76.57
　　,五權村,186,454,617,"1,071",18,"1,089",0,"1,089",296,"1,385",78.63
　　,五權村,187,377,637,"1,014",19,"1,033",0,"1,033",303,"1,336",77.32
　　,五權村,188,359,591,950,26,976,0,976,307,"1,283",76.07
　　,埔心村,189,558,624,"1,182",25,"1,207",0,"1,207",437,"1,644",73.42
　　,埔心村,190,548,797,"1,345",21,"1,366",0,"1,366",416,"1,782",76.66
　　,埔心村,191,506,752,"1,258",21,"1,279",0,"1,279",393,"1,672",76.50
　　,大海村,192,593,556,"1,149",31,"1,180",0,"1,180",339,"1,519",77.68
　　,三石村,193,358,591,949,24,973,0,973,269,"1,242",78.34
　　,三石村,194,485,596,"1,081",33,"1,114",0,"1,114",280,"1,394",79.91
　　,林村,195,642,739,"1,381",32,"1,413",0,"1,413",410,"1,823",77.51
　　,林村,196,536,593,"1,129",30,"1,159",0,"1,159",454,"1,613",71.85
　　,林村,197,589,792,"1,381",39,"1,420",0,"1,420",505,"1,925",73.77
　　,竹圍村,198,499,480,979,24,"1,003",0,"1,003",347,"1,350",74.30
　　,竹圍村,199,472,451,923,32,955,0,955,308,"1,263",75.61
　　,海口村,200,535,541,"1,076",24,"1,100",0,"1,100",391,"1,491",73.78
　　,沙崙村,201,418,488,906,20,926,0,926,364,"1,290",71.78
　　,沙崙村,202,377,513,890,15,905,0,905,288,"1,193",75.86
　　,後厝村,203,348,416,764,29,793,0,793,216,"1,009",78.59
　　,後厝村,204,328,401,729,16,745,0,745,270,"1,015",73.40
　　,圳頭村,205,363,397,760,14,774,0,774,226,"1,000",77.40
　　,圳頭村,206,338,551,889,21,910,0,910,317,"1,227",74.16
　　,內海村,207,569,823,"1,392",27,"1,419",0,"1,419",456,"1,875",75.68
　　,北港村,208,306,513,819,25,844,0,844,274,"1,118",75.49
　　,北港村,209,382,425,807,19,826,0,826,367,"1,193",69.24
　　,南港村,210,442,563,"1,005",15,"1,020",0,"1,020",456,"1,476",69.11
　　,南港村,211,657,549,"1,206",26,"1,232",0,"1,232",634,"1,866",66.02
　觀音鄉,,,"13,763","18,861","32,624",834,"33,458",0,"33,458","11,670","45,128",74.14
　　,觀音村,212,463,364,827,17,844,0,844,233,"1,077",78.37
　　,觀音村,213,503,447,950,25,975,0,975,361,"1,336",72.98
　　,白玉村,214,361,417,778,26,804,0,804,244,"1,048",76.72
　　,廣興村,215,445,474,919,23,942,0,942,316,"1,258",74.88
　　,大潭村,216,452,505,957,19,976,0,976,405,"1,381",70.67
　　,保生村,217,603,671,"1,274",25,"1,299",0,"1,299",527,"1,826",71.14
　　,武威村,218,363,249,612,11,623,0,623,177,800,77.88
　　,三和村,219,267,328,595,21,616,0,616,180,796,77.39
　　,新興村,220,189,328,517,7,524,0,524,166,690,75.94
　　,坑尾村,221,435,522,957,25,982,0,982,368,"1,350",72.74
　　,金湖村,222,412,399,811,21,832,0,832,277,"1,109",75.02
　　,金湖村,223,346,435,781,18,799,0,799,298,"1,097",72.84
　　,藍埔村,224,306,401,707,30,737,0,737,311,"1,048",70.32
　　,藍埔村,225,289,502,791,19,810,0,810,245,"1,055",76.78
　　,大同村,226,334,547,881,37,918,0,918,322,"1,240",74.03
　　,大同村,227,392,561,953,24,977,0,977,382,"1,359",71.89
　　,大堀村,228,319,559,878,26,904,0,904,321,"1,225",73.80
　　,崙坪村,229,521,674,"1,195",31,"1,226",0,"1,226",390,"1,616",75.87
　　,崙坪村,230,319,584,903,17,920,0,920,257,"1,177",78.16
　　,崙坪村,231,441,445,886,24,910,0,910,307,"1,217",74.77
　　,富源村,232,391,555,946,22,968,0,968,350,"1,318",73.44
　　,富源村,233,435,499,934,16,950,0,950,359,"1,309",72.57
　　,上大村,234,273,390,663,13,676,0,676,224,900,75.11
　　,上大村,235,325,454,779,17,796,0,796,262,"1,058",75.24
　　,新坡村,236,409,553,962,38,"1,000",0,"1,000",316,"1,316",75.99
　　,新坡村,237,310,659,969,17,986,0,986,334,"1,320",74.70
　　,廣福村,238,176,532,708,23,731,0,731,237,968,75.52
　　,廣福村,239,343,471,814,31,845,0,845,231,"1,076",78.53
　　,塔腳村,240,258,443,701,11,712,0,712,263,975,73.03
　　,保障村,241,212,444,656,19,675,0,675,263,938,71.96
　　,保障村,242,268,420,688,19,707,0,707,264,971,72.81
　　,草漯村,243,340,743,"1,083",31,"1,114",0,"1,114",314,"1,428",78.01
　　,草漯村,244,319,497,816,19,835,0,835,312,"1,147",72.80
　　,草漯村,245,426,521,947,24,971,0,971,388,"1,359",71.45
　　,草漯村,246,396,518,914,27,941,0,941,351,"1,292",72.83
　　,樹林村,247,348,530,878,15,893,0,893,334,"1,227",72.78
　　,樹林村,248,333,457,790,17,807,0,807,377,"1,184",68.16
　　,富林村,249,441,763,"1,204",29,"1,233",0,"1,233",404,"1,637",75.32
　新屋鄉,,,"13,002","14,636","27,638",546,"28,184",1,"28,185","8,898","37,083",76.00
　　,新屋村,250,540,467,"1,007",30,"1,037",0,"1,037",226,"1,263",82.11
　　,新屋村,251,518,433,951,25,976,0,976,337,"1,313",74.33
　　,新生村,252,733,533,"1,266",27,"1,293",0,"1,293",345,"1,638",78.94
　　,新生村,253,697,645,"1,342",39,"1,381",0,"1,381",362,"1,743",79.23
　　,後湖村,254,505,498,"1,003",22,"1,025",0,"1,025",331,"1,356",75.59
　　,清華村,255,688,632,"1,320",25,"1,345",0,"1,345",431,"1,776",75.73
　　,清華村,256,484,605,"1,089",16,"1,105",0,"1,105",430,"1,535",71.99
　　,石磊村,257,617,727,"1,344",22,"1,366",0,"1,366",461,"1,827",74.77
　　,東明村,258,523,431,954,10,964,0,964,297,"1,261",76.45
　　,社子村,259,434,567,"1,001",13,"1,014",0,"1,014",286,"1,300",78.00
　　,埔頂村,260,408,443,851,14,865,0,865,287,"1,152",75.09
　　,埔頂村,261,440,409,849,18,867,0,867,303,"1,170",74.10
　　,九斗村,262,411,384,795,23,818,0,818,231,"1,049",77.98
　　,九斗村,263,304,418,722,18,740,0,740,280,"1,020",72.55
　　,頭洲村,264,561,598,"1,159",20,"1,179",0,"1,179",411,"1,590",74.15
　　,頭洲村,265,503,660,"1,163",19,"1,182",0,"1,182",355,"1,537",76.90
　　,大坡村,266,369,563,932,14,946,0,946,326,"1,272",74.37
