第8屆區域立法委員選舉桃園縣第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳學聖
中國國民黨","2
盧照仁
台灣主義黨","3
黃仁杼
民主進步黨","4
劉文雄
親民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"97,654","1,473","72,395","9,816","181,338","2,307","183,645",2,"183,647","57,896","241,543",76.03
　中壢市,,,"97,654","1,473","72,395","9,816","181,338","2,307","183,645",2,"183,647","57,896","241,543",76.03
　　,後寮里,358,663,12,536,76,"1,287",20,"1,307",0,"1,307",491,"1,798",72.69
　　,後寮里,359,853,10,471,82,"1,416",16,"1,432",0,"1,432",570,"2,002",71.53
　　,明德里,360,532,8,440,51,"1,031",15,"1,046",0,"1,046",309,"1,355",77.20
　　,明德里,361,534,6,359,40,939,14,953,0,953,310,"1,263",75.46
　　,明德里,362,512,2,477,46,"1,037",12,"1,049",0,"1,049",282,"1,331",78.81
　　,至善里,363,708,11,272,60,"1,051",17,"1,068",0,"1,068",346,"1,414",75.53
　　,至善里,364,721,10,301,88,"1,120",14,"1,134",0,"1,134",483,"1,617",70.13
　　,龍慈里,365,735,5,353,92,"1,185",13,"1,198",0,"1,198",473,"1,671",71.69
　　,龍慈里,366,956,14,388,117,"1,475",15,"1,490",0,"1,490",486,"1,976",75.40
　　,龍興里,367,786,21,630,82,"1,519",17,"1,536",0,"1,536",424,"1,960",78.37
　　,龍興里,368,665,11,431,58,"1,165",10,"1,175",0,"1,175",339,"1,514",77.61
　　,龍德里,369,704,3,462,91,"1,260",18,"1,278",0,"1,278",301,"1,579",80.94
　　,龍德里,370,786,9,468,47,"1,310",20,"1,330",0,"1,330",381,"1,711",77.73
　　,龍岡里,371,671,11,331,69,"1,082",15,"1,097",0,"1,097",320,"1,417",77.42
　　,龍岡里,372,688,10,308,81,"1,087",13,"1,100",0,"1,100",348,"1,448",75.97
　　,龍岡里,373,694,7,248,47,996,13,"1,009",0,"1,009",229,"1,238",81.50
　　,龍東里,374,768,5,255,66,"1,094",17,"1,111",0,"1,111",322,"1,433",77.53
　　,龍東里,375,809,7,182,51,"1,049",6,"1,055",0,"1,055",318,"1,373",76.84
　　,龍東里,376,812,4,121,59,996,13,"1,009",0,"1,009",286,"1,295",77.92
　　,龍昌里,377,715,18,395,75,"1,203",20,"1,223",0,"1,223",363,"1,586",77.11
　　,龍昌里,378,811,18,368,77,"1,274",17,"1,291",0,"1,291",395,"1,686",76.57
　　,龍昌里,379,711,10,306,72,"1,099",14,"1,113",0,"1,113",311,"1,424",78.16
　　,龍平里,380,817,9,128,69,"1,023",25,"1,048",0,"1,048",250,"1,298",80.74
　　,龍平里,381,849,12,230,89,"1,180",20,"1,200",0,"1,200",290,"1,490",80.54
　　,仁美里,382,963,6,405,88,"1,462",16,"1,478",0,"1,478",443,"1,921",76.94
　　,仁美里,383,783,16,465,74,"1,338",14,"1,352",0,"1,352",398,"1,750",77.26
　　,仁美里,384,428,6,213,49,696,8,704,0,704,229,933,75.46
　　,仁福里,385,615,9,310,47,981,12,993,0,993,272,"1,265",78.50
　　,仁福里,386,723,4,264,59,"1,050",11,"1,061",0,"1,061",376,"1,437",73.83
　　,仁福里,387,593,9,267,62,931,13,944,0,944,399,"1,343",70.29
　　,華愛里,388,737,8,281,63,"1,089",14,"1,103",0,"1,103",359,"1,462",75.44
　　,華愛里,389,621,8,268,63,960,6,966,0,966,291,"1,257",76.85
　　,普仁里,390,415,5,355,45,820,16,836,0,836,268,"1,104",75.72
　　,普仁里,391,438,4,386,54,882,12,894,0,894,367,"1,261",70.90
　　,普仁里,392,486,8,410,59,963,13,976,0,976,387,"1,363",71.61
　　,普忠里,393,601,14,540,74,"1,229",14,"1,243",0,"1,243",341,"1,584",78.47
　　,普忠里,394,533,10,291,78,912,15,927,0,927,350,"1,277",72.59
　　,普強里,395,683,10,491,59,"1,243",19,"1,262",0,"1,262",304,"1,566",80.59
　　,普強里,396,686,13,445,67,"1,211",13,"1,224",0,"1,224",391,"1,615",75.79
　　,普慶里,397,435,7,354,42,838,12,850,0,850,236,"1,086",78.27
　　,普慶里,398,543,8,424,47,"1,022",9,"1,031",0,"1,031",284,"1,315",78.40
　　,信義里,399,722,14,634,68,"1,438",13,"1,451",0,"1,451",391,"1,842",78.77
　　,信義里,400,760,4,633,77,"1,474",16,"1,490",0,"1,490",438,"1,928",77.28
　　,正義里,401,333,2,384,45,764,9,773,0,773,255,"1,028",75.19
　　,正義里,402,359,5,384,46,794,9,803,0,803,247,"1,050",76.48
　　,正義里,403,720,5,535,69,"1,329",19,"1,348",0,"1,348",396,"1,744",77.29
　　,普義里,404,582,9,420,54,"1,065",18,"1,083",0,"1,083","1,665","2,748",39.41
　　,普義里,405,691,9,433,94,"1,227",23,"1,250",0,"1,250",435,"1,685",74.18
　　,德義里,406,422,6,402,50,880,13,893,0,893,264,"1,157",77.18
　　,德義里,407,568,8,383,60,"1,019",9,"1,028",0,"1,028",292,"1,320",77.88
　　,仁義里,408,571,12,494,66,"1,143",12,"1,155",0,"1,155",405,"1,560",74.04
　　,仁義里,409,478,11,422,63,974,9,983,0,983,337,"1,320",74.47
　　,忠義里,410,430,12,458,45,945,10,955,0,955,254,"1,209",78.99
　　,忠義里,411,447,7,360,47,861,16,877,0,877,273,"1,150",76.26
　　,中興里,412,560,9,283,70,922,12,934,0,934,362,"1,296",72.07
　　,中興里,413,611,7,257,88,963,17,980,0,980,305,"1,285",76.26
　　,自立里,414,"1,046",9,65,77,"1,197",16,"1,213",0,"1,213",277,"1,490",81.41
　　,自立里,415,980,11,93,80,"1,164",21,"1,185",0,"1,185",369,"1,554",76.25
　　,自立里,416,"1,056",6,116,103,"1,281",23,"1,304",0,"1,304",328,"1,632",79.90
　　,自信里,417,589,8,248,63,908,17,925,0,925,305,"1,230",75.20
　　,自信里,418,767,12,314,77,"1,170",17,"1,187",0,"1,187",332,"1,519",78.14
