第8屆區域立法委員選舉桃園縣第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
黃嘉華
人民最大黨","2
黃國華
中華民國臺灣基本法連線","3
吳平娥
無黨籍及未經政黨推薦","4
劉邦鉉
無黨籍及未經政黨推薦","5
呂玉玲
中國國民黨","6
陳振瑋
台灣國民會議","7
彭添富
民主進步黨",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
總　計,,,717,433,"15,779","15,644","78,504","1,346","60,887","173,310","4,556","177,866",7,"177,873","58,033","235,906",75.40
　平鎮市,,,446,277,"6,837","11,264","50,945",832,"41,447","112,048","2,915","114,963",5,"114,968","36,613","151,581",75.84
　　,平鎮里,684,6,1,60,114,299,2,325,807,20,827,0,827,322,"1,149",71.98
　　,平鎮里,685,5,1,68,136,439,11,495,"1,155",30,"1,185",0,"1,185",356,"1,541",76.90
　　,平鎮里,686,3,2,29,93,270,5,264,666,24,690,0,690,248,938,73.56
　　,鎮興里,687,2,3,50,85,339,6,438,923,23,946,0,946,290,"1,236",76.54
　　,鎮興里,688,5,4,106,93,404,1,412,"1,025",28,"1,053",0,"1,053",407,"1,460",72.12
　　,南勢里,689,5,1,77,121,403,4,457,"1,068",25,"1,093",0,"1,093",355,"1,448",75.48
　　,南勢里,690,3,3,89,88,506,5,445,"1,139",34,"1,173",0,"1,173",414,"1,587",73.91
　　,南勢里,691,7,2,108,120,535,4,405,"1,181",25,"1,206",0,"1,206",346,"1,552",77.71
　　,金星里,692,1,3,82,100,515,9,359,"1,069",38,"1,107",0,"1,107",379,"1,486",74.50
　　,金星里,693,1,0,80,76,364,9,233,763,16,779,0,779,371,"1,150",67.74
　　,金星里,694,1,1,79,101,497,9,355,"1,043",24,"1,067",0,"1,067",297,"1,364",78.23
　　,平安里,695,0,3,88,71,393,6,407,968,21,989,0,989,275,"1,264",78.24
　　,平安里,696,1,2,42,115,378,1,311,850,19,869,0,869,228,"1,097",79.22
　　,平安里,697,1,3,68,97,403,5,318,895,29,924,0,924,263,"1,187",77.84
　　,平南里,698,5,2,75,83,498,7,338,"1,008",13,"1,021",0,"1,021",399,"1,420",71.90
　　,平南里,699,4,3,68,84,533,1,360,"1,053",24,"1,077",0,"1,077",352,"1,429",75.37
　　,平南里,700,4,0,74,96,623,11,365,"1,173",31,"1,204",0,"1,204",337,"1,541",78.13
　　,山峰里,701,8,2,48,89,367,7,243,764,16,780,0,780,277,"1,057",73.79
　　,山峰里,702,3,3,53,57,487,5,262,870,17,887,0,887,229,"1,116",79.48
　　,福林里,703,2,4,66,84,436,1,523,"1,116",30,"1,146",0,"1,146",318,"1,464",78.28
　　,福林里,704,7,4,75,95,478,4,330,993,25,"1,018",0,"1,018",290,"1,308",77.83
　　,湧光里,705,1,4,99,125,449,6,409,"1,093",21,"1,114",0,"1,114",300,"1,414",78.78
　　,湧光里,706,5,2,86,117,540,9,346,"1,105",28,"1,133",0,"1,133",385,"1,518",74.64
　　,湧光里,707,7,2,99,99,643,5,386,"1,241",23,"1,264",0,"1,264",423,"1,687",74.93
　　,莊敬里,708,5,3,50,55,416,14,169,712,22,734,0,734,215,949,77.34
　　,莊敬里,709,1,2,38,59,378,3,97,578,15,593,0,593,187,780,76.03
　　,莊敬里,710,1,1,27,65,450,2,166,712,15,727,0,727,273,"1,000",72.70
　　,莊敬里,711,3,1,54,64,356,4,270,752,19,771,0,771,209,980,78.67
　　,湧豐里,712,1,3,91,107,584,7,410,"1,203",21,"1,224",0,"1,224",393,"1,617",75.70
　　,湧安里,713,3,4,71,75,413,10,225,801,20,821,0,821,305,"1,126",72.91
　　,湧安里,714,3,3,68,69,439,2,272,856,21,877,0,877,286,"1,163",75.41
　　,湧安里,715,3,5,74,56,362,5,291,796,13,809,0,809,336,"1,145",70.66
　　,宋屋里,716,4,2,56,190,483,8,552,"1,295",26,"1,321",0,"1,321",426,"1,747",75.62
　　,宋屋里,717,1,2,56,90,484,6,390,"1,029",37,"1,066",0,"1,066",397,"1,463",72.86
　　,平興里,718,4,1,53,133,467,13,354,"1,025",26,"1,051",0,"1,051",348,"1,399",75.13
　　,平興里,719,4,3,73,124,440,7,359,"1,010",32,"1,042",1,"1,043",398,"1,441",72.31
　　,平興里,720,1,1,55,88,343,3,271,762,20,782,0,782,268,"1,050",74.48
