第8屆區域立法委員選舉桃園縣第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
鄭振源
無黨籍及未經政黨推薦","2
孫大千
中國國民黨","3
胡鎮埔
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"14,235","102,528","53,138","169,901","4,296","174,197",1,"174,198","58,081","232,279",74.99
　中壢市,,,"1,630","17,650","4,906","24,186",662,"24,848",0,"24,848","8,279","33,127",75.01
　　,龍安里,"1,022",24,661,125,810,17,827,0,827,220,"1,047",78.99
　　,龍安里,"1,023",40,616,86,742,8,750,0,750,177,927,80.91
　　,仁愛里,"1,024",57,566,237,860,33,893,0,893,275,"1,168",76.46
　　,仁愛里,"1,025",71,578,258,907,37,944,0,944,335,"1,279",73.81
　　,仁德里,"1,026",55,599,152,806,25,831,0,831,238,"1,069",77.74
　　,仁德里,"1,027",61,704,178,943,23,966,0,966,390,"1,356",71.24
　　,仁和里,"1,028",91,823,264,"1,178",21,"1,199",0,"1,199",410,"1,609",74.52
　　,仁和里,"1,029",59,713,175,947,18,965,0,965,372,"1,337",72.18
　　,仁祥里,"1,030",49,775,196,"1,020",30,"1,050",0,"1,050",327,"1,377",76.25
　　,仁祥里,"1,031",60,687,155,902,20,922,0,922,275,"1,197",77.03
　　,華勛里,"1,032",55,906,185,"1,146",21,"1,167",0,"1,167",303,"1,470",79.39
　　,華勛里,"1,033",47,761,128,936,23,959,0,959,279,"1,238",77.46
　　,中堅里,"1,034",55,673,165,893,27,920,0,920,349,"1,269",72.50
　　,中堅里,"1,035",54,414,79,547,16,563,0,563,138,701,80.31
　　,中堅里,"1,036",55,636,145,836,31,867,0,867,279,"1,146",75.65
　　,興仁里,"1,037",67,692,264,"1,023",25,"1,048",0,"1,048",393,"1,441",72.73
　　,興仁里,"1,038",66,723,169,958,28,986,0,986,334,"1,320",74.70
　　,中正里,"1,039",95,862,304,"1,261",42,"1,303",0,"1,303",544,"1,847",70.55
　　,中正里,"1,040",107,"1,030",324,"1,461",31,"1,492",0,"1,492",485,"1,977",75.47
　　,中山里,"1,041",106,865,342,"1,313",41,"1,354",0,"1,354",478,"1,832",73.91
　　,中山里,"1,042",102,"1,001",292,"1,395",49,"1,444",0,"1,444",514,"1,958",73.75
　　,篤行里,"1,043",90,901,231,"1,222",30,"1,252",0,"1,252",477,"1,729",72.41
　　,自強里,"1,044",76,730,282,"1,088",29,"1,117",0,"1,117",359,"1,476",75.68
　　,自強里,"1,045",88,734,170,992,37,"1,029",0,"1,029",328,"1,357",75.83
　八德市,,,"7,315","59,535","29,315","96,165","2,439","98,604",0,"98,604","32,709","131,313",75.09
　　,興仁里,863,39,374,209,622,15,637,0,637,791,"1,428",44.61
　　,興仁里,864,43,571,256,870,13,883,0,883,342,"1,225",72.08
　　,興仁里,865,74,425,353,852,23,875,0,875,328,"1,203",72.73
　　,福興里,866,95,675,536,"1,306",21,"1,327",0,"1,327",503,"1,830",72.51
　　,福興里,867,90,770,361,"1,221",32,"1,253",0,"1,253",456,"1,709",73.32
　　,瑞豐里,868,54,697,233,984,22,"1,006",0,"1,006",274,"1,280",78.59
　　,瑞興里,869,75,429,371,875,14,889,0,889,262,"1,151",77.24
　　,瑞興里,870,46,460,264,770,14,784,0,784,228,"1,012",77.47
　　,瑞泰里,871,67,700,448,"1,215",22,"1,237",0,"1,237",383,"1,620",76.36
　　,瑞泰里,872,81,784,472,"1,337",31,"1,368",0,"1,368",496,"1,864",73.39
　　,瑞發里,873,85,713,346,"1,144",23,"1,167",0,"1,167",375,"1,542",75.68
　　,瑞發里,874,60,800,270,"1,130",21,"1,151",0,"1,151",335,"1,486",77.46
　　,瑞德里,875,58,801,254,"1,113",15,"1,128",0,"1,128",348,"1,476",76.42
　　,瑞德里,876,70,863,218,"1,151",35,"1,186",0,"1,186",389,"1,575",75.30
　　,瑞祥里,877,83,770,258,"1,111",18,"1,129",0,"1,129",316,"1,445",78.13
　　,瑞祥里,878,52,722,230,"1,004",21,"1,025",0,"1,025",316,"1,341",76.44
　　,廣德里,879,63,400,369,832,18,850,0,850,312,"1,162",73.15
　　,廣德里,880,61,543,277,881,29,910,0,910,252,"1,162",78.31
　　,廣興里,881,66,545,399,"1,010",13,"1,023",0,"1,023",417,"1,440",71.04
　　,廣興里,882,99,643,389,"1,131",33,"1,164",0,"1,164",380,"1,544",75.39
　　,廣隆里,883,134,"1,160",361,"1,655",30,"1,685",0,"1,685",422,"2,107",79.97
　　,廣隆里,884,78,540,353,971,26,997,0,997,259,"1,256",79.38
　　,竹園里,885,77,615,385,"1,077",24,"1,101",0,"1,101",457,"1,558",70.67
　　,竹園里,886,82,615,396,"1,093",28,"1,121",0,"1,121",340,"1,461",76.73
　　,霄裡里,887,119,729,461,"1,309",34,"1,343",0,"1,343",509,"1,852",72.52
　　,龍友里,888,21,726,86,833,19,852,0,852,260,"1,112",76.62
　　,龍友里,889,36,643,74,753,11,764,0,764,206,970,78.76
　　,茄明里,890,124,732,259,"1,115",34,"1,149",0,"1,149",481,"1,630",70.49
　　,茄明里,891,106,800,377,"1,283",39,"1,322",0,"1,322",519,"1,841",71.81
　　,茄苳里,892,71,483,254,808,21,829,0,829,277,"1,106",74.95
　　,茄苳里,893,74,440,278,792,16,808,0,808,249,"1,057",76.44
　　,永豐里,894,70,540,253,863,25,888,0,888,332,"1,220",72.79
　　,永豐里,895,75,512,397,984,24,"1,008",0,"1,008",337,"1,345",74.94
　　,高明里,896,132,700,417,"1,249",37,"1,286",0,"1,286",433,"1,719",74.81
　　,高明里,897,108,682,314,"1,104",30,"1,134",0,"1,134",429,"1,563",72.55
　　,高城里,898,67,606,304,977,33,"1,010",0,"1,010",326,"1,336",75.60
　　,高城里,899,78,687,239,"1,004",24,"1,028",0,"1,028",336,"1,364",75.37
　　,白鷺里,900,115,692,474,"1,281",32,"1,313",0,"1,313",416,"1,729",75.94
　　,白鷺里,901,49,365,263,677,22,699,0,699,214,913,76.56
　　,大湳里,902,112,656,468,"1,236",28,"1,264",0,"1,264",376,"1,640",77.07
　　,大湳里,903,109,613,317,"1,039",26,"1,065",0,"1,065",456,"1,521",70.02
　　,大發里,904,133,716,457,"1,306",36,"1,342",0,"1,342",436,"1,778",75.48
