第8屆區域立法委員選舉臺南市第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
黃偉哲
民主進步黨","2
詹秋嫻
中華台商愛國黨","3
楊士昌
無黨籍及未經政黨推薦","4
周賜海
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"144,399","2,439","2,463","62,794","212,095","3,889","215,984",4,"215,988","75,989","291,977",73.97
　七股區,,,"9,597",138,162,"4,197","14,094",287,"14,381",2,"14,383","5,591","19,974",72.00
　　,後港里,314,289,1,5,117,412,5,417,0,417,146,563,74.07
　　,大潭里,315,345,3,4,107,459,8,467,0,467,197,664,70.33
　　,城內里,316,277,4,3,86,370,3,373,0,373,112,485,76.91
　　,篤加里,317,398,5,3,153,559,13,572,0,572,243,815,70.18
　　,頂山里,318,425,5,13,179,622,10,632,0,632,257,889,71.09
　　,西寮里,319,237,1,2,83,323,5,328,0,328,162,490,66.94
　　,埕里,320,175,4,6,115,300,3,303,0,303,121,424,71.46
　　,中寮里,321,334,4,4,177,519,11,530,0,530,225,755,70.20
　　,龍山里,322,445,10,12,134,601,14,615,0,615,269,884,69.57
　　,龍山里,323,404,12,11,126,553,22,575,0,575,204,779,73.81
　　,溪南里,324,151,3,4,82,240,7,247,0,247,94,341,72.43
　　,七股里,325,519,3,4,126,652,6,658,0,658,237,895,73.52
　　,玉成里,326,388,3,5,165,561,8,569,0,569,213,782,72.76
　　,大埕里,327,812,7,12,256,"1,087",24,"1,111",0,"1,111",486,"1,597",69.57
　　,大寮里,328,497,6,11,163,677,20,697,0,697,269,966,72.15
　　,看坪里,329,372,5,4,108,489,10,499,1,500,166,666,74.92
　　,樹林里,330,583,3,2,204,792,19,811,0,811,314,"1,125",72.09
　　,竹港里,331,342,7,5,109,463,5,468,0,468,161,629,74.40
　　,竹橋里,332,305,4,12,195,516,10,526,0,526,166,692,76.01
　　,義合里,333,524,9,10,265,808,15,823,0,823,261,"1,084",75.92
　　,榔里,334,359,7,4,138,508,11,519,0,519,183,702,73.93
　　,永吉里,335,379,7,10,269,665,6,671,0,671,278,949,70.71
　　,三股里,336,482,10,10,498,"1,000",27,"1,027",0,"1,027",423,"1,450",70.83
　　,十份里,337,555,15,6,342,918,25,943,1,944,404,"1,348",69.96
　佳里區,,,"23,210",265,297,"10,193","33,965",535,"34,500",1,"34,501","12,389","46,890",73.58
　　,東寧里,338,377,4,7,204,592,9,601,0,601,227,828,72.58
　　,東寧里,339,446,1,6,255,708,2,710,0,710,224,934,76.02
　　,忠仁里,340,612,8,9,267,896,15,911,0,911,314,"1,225",74.37
　　,忠仁里,341,793,6,4,371,"1,174",18,"1,192",0,"1,192",422,"1,614",73.85
　　,鎮山里,342,537,2,9,278,826,5,831,0,831,282,"1,113",74.66
　　,鎮山里,343,676,6,7,306,995,17,"1,012",0,"1,012",373,"1,385",73.07
　　,鎮山里,344,616,3,7,256,882,15,897,0,897,320,"1,217",73.71
　　,鎮山里,345,741,10,9,328,"1,088",17,"1,105",0,"1,105",391,"1,496",73.86
　　,建南里,346,729,9,7,399,"1,144",10,"1,154",0,"1,154",454,"1,608",71.77
　　,建南里,347,857,9,8,410,"1,284",19,"1,303",0,"1,303",412,"1,715",75.98
　　,建南里,348,975,2,8,453,"1,438",24,"1,462",0,"1,462",573,"2,035",71.84
　　,建南里,349,953,11,12,365,"1,341",23,"1,364",0,"1,364",554,"1,918",71.12
　　,安西里,350,622,12,5,316,955,11,966,0,966,335,"1,301",74.25
　　,安西里,351,663,8,8,364,"1,043",13,"1,056",0,"1,056",372,"1,428",73.95
　　,安西里,352,618,8,4,357,987,21,"1,008",0,"1,008",334,"1,342",75.11
　　,安西里,353,939,7,6,432,"1,384",24,"1,408",0,"1,408",481,"1,889",74.54
　　,安西里,354,604,4,5,307,920,14,934,1,935,313,"1,248",74.84
　　,安西里,355,695,3,10,324,"1,032",14,"1,046",0,"1,046",379,"1,425",73.40
　　,安西里,356,749,9,6,390,"1,154",16,"1,170",0,"1,170",482,"1,652",70.82
　　,六安里,357,533,3,8,248,792,17,809,0,809,249,"1,058",76.47
　　,六安里,358,505,9,5,313,832,20,852,0,852,332,"1,184",71.96
　　,六安里,359,524,10,10,348,892,26,918,0,918,398,"1,316",69.76
　　,佳化里,360,543,8,6,242,799,12,811,0,811,288,"1,099",73.79
　　,佳化里,361,504,17,12,150,683,10,693,0,693,283,976,71.00
　　,禮化里,362,480,7,5,176,668,11,679,0,679,233,912,74.45
　　,興化里,363,702,11,11,237,961,20,981,0,981,324,"1,305",75.17
　　,營頂里,364,340,7,6,127,480,5,485,0,485,181,666,72.82
　　,溪州里,365,164,3,5,99,271,5,276,0,276,118,394,70.05
　　,海澄里,366,728,10,9,263,"1,010",20,"1,030",0,"1,030",388,"1,418",72.64
　　,漳洲里,367,387,3,3,123,516,9,525,0,525,198,723,72.61
　　,頂里,368,443,7,4,201,655,11,666,0,666,230,896,74.33
　　,嘉福里,369,491,7,11,177,686,16,702,0,702,239,941,74.60
　　,通興里,370,550,2,13,205,770,9,779,0,779,245,"1,024",76.07
　　,蚶寮里,371,485,6,15,110,616,9,625,0,625,224,849,73.62
　　,龍安里,372,538,5,10,194,747,5,752,0,752,262,"1,014",74.16
　　,民安里,373,726,5,10,227,968,12,980,0,980,335,"1,315",74.52
　　,子龍里,374,389,4,7,109,509,9,518,0,518,197,715,72.45
　　,子龍里,375,439,10,4,118,571,10,581,0,581,200,781,74.39
　　,三協里,376,537,9,6,144,696,12,708,0,708,223,931,76.05
　麻豆區,,,"21,419",223,244,"5,584","27,470",438,"27,908",0,"27,908","8,615","36,523",76.41
　　,穀興里,377,371,3,2,85,461,5,466,0,466,123,589,79.12
　　,保安里,378,319,4,2,95,420,4,424,0,424,104,528,80.30
　　,東角里,379,701,8,6,272,987,21,"1,008",0,"1,008",335,"1,343",75.06
