第8屆區域立法委員選舉臺南市第4選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
蘇俊賓
中國國民黨","2
許添財
民主進步黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"102,266","115,439","217,705","3,266","220,971",8,"220,979","73,377","294,356",75.07
　安平區,,,"15,569","18,640","34,209",462,"34,671",3,"34,674","12,585","47,259",73.36
　　,文平里,830,616,800,"1,416",26,"1,442",0,"1,442",425,"1,867",77.24
　　,文平里,831,834,898,"1,732",29,"1,761",0,"1,761",541,"2,302",76.50
　　,建平里,832,682,746,"1,428",24,"1,452",0,"1,452",461,"1,913",75.90
　　,建平里,833,639,780,"1,419",20,"1,439",1,"1,440",501,"1,941",74.14
　　,怡平里,834,525,571,"1,096",13,"1,109",0,"1,109",534,"1,643",67.50
　　,怡平里,835,627,726,"1,353",17,"1,370",0,"1,370",465,"1,835",74.66
　　,華平里,836,771,792,"1,563",19,"1,582",0,"1,582",477,"2,059",76.83
　　,華平里,837,716,914,"1,630",20,"1,650",0,"1,650",554,"2,204",74.86
　　,平通里,838,609,721,"1,330",14,"1,344",0,"1,344",622,"1,966",68.36
　　,平通里,839,617,741,"1,358",12,"1,370",1,"1,371",808,"2,179",62.87
　　,平通里,840,611,762,"1,373",17,"1,390",0,"1,390",478,"1,868",74.41
　　,億載里,841,745,831,"1,576",21,"1,597",0,"1,597",523,"2,120",75.33
　　,育平里,842,479,515,994,14,"1,008",0,"1,008",384,"1,392",72.41
　　,育平里,843,531,470,"1,001",13,"1,014",0,"1,014",437,"1,451",69.88
　　,育平里,844,547,533,"1,080",15,"1,095",0,"1,095",470,"1,565",69.97
　　,育平里,845,639,702,"1,341",6,"1,347",0,"1,347",508,"1,855",72.61
　　,國平里,846,665,757,"1,422",16,"1,438",0,"1,438",416,"1,854",77.56
　　,國平里,847,598,581,"1,179",17,"1,196",1,"1,197",413,"1,610",74.29
　　,國平里,848,689,684,"1,373",13,"1,386",0,"1,386",624,"2,010",68.96
　　,漁光里,849,124,216,340,5,345,0,345,142,487,70.84
　　,平安里,850,503,717,"1,220",15,"1,235",0,"1,235",397,"1,632",75.67
　　,平安里,851,431,791,"1,222",19,"1,241",0,"1,241",367,"1,608",77.18
　　,石門里,852,530,943,"1,473",18,"1,491",0,"1,491",544,"2,035",73.27
　　,港仔里,853,330,611,941,15,956,0,956,320,"1,276",74.92
　　,海頭里,854,385,647,"1,032",14,"1,046",0,"1,046",421,"1,467",71.30
　　,西門里,855,447,559,"1,006",26,"1,032",0,"1,032",313,"1,345",76.73
　　,金城里,856,679,632,"1,311",24,"1,335",0,"1,335",440,"1,775",75.21
　南區,,,"32,278","43,908","76,186","1,449","77,635",3,"77,638","25,285","102,923",75.43
　　,大恩里,857,612,513,"1,125",12,"1,137",0,"1,137",378,"1,515",75.05
　　,大恩里,858,663,644,"1,307",22,"1,329",0,"1,329",424,"1,753",75.81
　　,大林里,859,501,404,905,11,916,0,916,289,"1,205",76.02
　　,大林里,860,370,297,667,4,671,0,671,200,871,77.04
　　,大忠里,861,360,566,926,16,942,0,942,331,"1,273",74.00
　　,大忠里,862,474,492,966,7,973,0,973,304,"1,277",76.19
　　,大忠里,863,721,679,"1,400",20,"1,420",0,"1,420",457,"1,877",75.65
　　,新生里,864,795,195,990,18,"1,008",0,"1,008",322,"1,330",75.79
　　,新生里,865,"1,008",214,"1,222",20,"1,242",0,"1,242",379,"1,621",76.62
　　,竹溪里,866,668,533,"1,201",24,"1,225",0,"1,225",355,"1,580",77.53
　　,明德里,867,225,93,318,8,326,0,326,143,469,69.51
　　,荔宅里,868,129,16,145,8,153,0,153,37,190,80.53
　　,大成里,869,293,342,635,11,646,0,646,185,831,77.74
　　,田寮里,870,326,414,740,9,749,0,749,247,996,75.20
　　,田寮里,871,332,451,783,8,791,0,791,208,999,79.18
　　,田寮里,872,478,460,938,19,957,0,957,270,"1,227",78.00
　　,新興里,873,380,472,852,20,872,0,872,286,"1,158",75.30
　　,新興里,874,484,636,"1,120",20,"1,140",0,"1,140",367,"1,507",75.65
　　,再興里,875,355,457,812,20,832,0,832,229,"1,061",78.42
　　,再興里,876,383,535,918,19,937,0,937,289,"1,226",76.43
　　,廣州里,877,290,514,804,24,828,0,828,251,"1,079",76.74
　　,廣州里,878,347,552,899,35,934,0,934,231,"1,165",80.17
　　,新昌里,879,300,469,769,16,785,0,785,274,"1,059",74.13
　　,新昌里,880,430,493,923,15,938,1,939,279,"1,218",77.01
　　,文華里,881,514,727,"1,241",14,"1,255",0,"1,255",372,"1,627",77.14
　　,文華里,882,539,664,"1,203",29,"1,232",1,"1,233",395,"1,628",75.68
　　,文南里,883,406,588,994,24,"1,018",0,"1,018",306,"1,324",76.89
　　,文南里,884,509,677,"1,186",22,"1,208",0,"1,208",345,"1,553",77.78
　　,文南里,885,584,714,"1,298",16,"1,314",0,"1,314",477,"1,791",73.37
　　,金華里,886,470,592,"1,062",17,"1,079",0,"1,079",371,"1,450",74.41
　　,金華里,887,532,720,"1,252",19,"1,271",0,"1,271",411,"1,682",75.56
　　,金華里,888,530,705,"1,235",34,"1,269",0,"1,269",413,"1,682",75.45
　　,國宅里,889,433,661,"1,094",19,"1,113",1,"1,114",382,"1,496",74.40
　　,國宅里,890,454,598,"1,052",15,"1,067",0,"1,067",354,"1,421",75.09
　　,日新里,891,259,457,716,9,725,0,725,213,938,77.29
　　,日新里,892,353,447,800,13,813,0,813,250,"1,063",76.48
　　,光明里,893,419,628,"1,047",17,"1,064",0,"1,064",335,"1,399",76.05
　　,光明里,894,356,597,953,23,976,0,976,397,"1,373",71.09
　　,光明里,895,305,676,981,24,"1,005",0,"1,005",338,"1,343",74.83
　　,白雪里,896,509,870,"1,379",22,"1,401",0,"1,401",387,"1,788",78.36
　　,明亮里,897,336,542,878,18,896,0,896,276,"1,172",76.45
　　,明亮里,898,362,560,922,16,938,0,938,290,"1,228",76.38
　　,明亮里,899,313,510,823,15,838,0,838,272,"1,110",75.50
　　,府南里,900,564,590,"1,154",23,"1,177",0,"1,177",383,"1,560",75.45
　　,府南里,901,527,629,"1,156",19,"1,175",0,"1,175",396,"1,571",74.79
　　,府南里,902,406,546,952,20,972,0,972,320,"1,292",75.23
　　,明興里,903,411,748,"1,159",29,"1,188",0,"1,188",376,"1,564",75.96
　　,明興里,904,435,727,"1,162",23,"1,185",0,"1,185",470,"1,655",71.60
　　,郡南里,905,576,877,"1,453",31,"1,484",0,"1,484",432,"1,916",77.45
　　,郡南里,906,461,651,"1,112",12,"1,124",0,"1,124",344,"1,468",76.57
　　,建南里,907,527,691,"1,218",22,"1,240",0,"1,240",346,"1,586",78.18
　　,建南里,908,422,738,"1,160",22,"1,182",0,"1,182",344,"1,526",77.46
　　,建南里,909,470,629,"1,099",20,"1,119",0,"1,119",289,"1,408",79.47
　　,南都里,910,386,517,903,10,913,0,913,705,"1,618",56.43
　　,南都里,911,302,392,694,8,702,0,702,267,969,72.45
　　,南華里,912,374,509,883,8,891,0,891,362,"1,253",71.11
　　,南華里,913,336,469,805,7,812,0,812,331,"1,143",71.04
　　,開南里,914,491,697,"1,188",12,"1,200",0,"1,200",480,"1,680",71.43
　　,開南里,915,678,709,"1,387",26,"1,413",0,"1,413",474,"1,887",74.88
　　,開南里,916,534,794,"1,328",17,"1,345",0,"1,345",535,"1,880",71.54
　　,彰南里,917,254,390,644,17,661,0,661,244,905,73.04
　　,彰南里,918,254,347,601,9,610,0,610,174,784,77.81
　　,鯤鯓里,919,332,397,729,18,747,0,747,239,986,75.76
　　,鯤鯓里,920,240,303,543,14,557,0,557,224,781,71.32
　　,喜北里,921,256,569,825,10,835,0,835,270,"1,105",75.57
　　,喜北里,922,200,569,769,27,796,0,796,253,"1,049",75.88
　　,喜南里,923,217,742,959,24,983,0,983,308,"1,291",76.14
　　,喜東里,924,426,998,"1,424",25,"1,449",0,"1,449",478,"1,927",75.19
　　,省躬里,925,349,747,"1,096",20,"1,116",0,"1,116",330,"1,446",77.18
　　,省躬里,926,323,629,952,16,968,0,968,263,"1,231",78.64
　　,永寧里,927,278,540,818,17,835,0,835,262,"1,097",76.12
　　,永寧里,928,189,357,546,15,561,0,561,171,732,76.64
　　,松安里,929,230,495,725,27,752,0,752,227,979,76.81
　　,松安里,930,206,379,585,21,606,0,606,194,800,75.75
　　,佛壇里,931,223,613,836,26,862,0,862,287,"1,149",75.02
　　,佛壇里,932,254,563,817,15,832,0,832,234,"1,066",78.05
　　,同安里,933,273,516,789,27,816,0,816,231,"1,047",77.94
　　,同安里,934,290,499,789,18,807,0,807,264,"1,071",75.35
　　,興農里,935,195,524,719,22,741,0,741,240,981,75.54
　　,興農里,936,282,444,726,20,746,0,746,219,965,77.31
　東區,,,"54,419","52,891","107,310","1,355","108,665",2,"108,667","35,507","144,174",75.37
　　,崇信里,937,660,753,"1,413",15,"1,428",0,"1,428",553,"1,981",72.08
　　,崇信里,938,547,651,"1,198",9,"1,207",1,"1,208","1,059","2,267",53.24
　　,崇學里,939,465,509,974,7,981,0,981,303,"1,284",76.40
　　,崇學里,940,533,604,"1,137",11,"1,148",0,"1,148",335,"1,483",77.41
　　,崇德里,941,565,592,"1,157",12,"1,169",0,"1,169",314,"1,483",78.83
　　,崇德里,942,543,477,"1,020",19,"1,039",0,"1,039",298,"1,337",77.71
　　,崇德里,943,611,472,"1,083",13,"1,096",0,"1,096",367,"1,463",74.91
　　,崇善里,944,816,917,"1,733",23,"1,756",0,"1,756",513,"2,269",77.39
　　,崇善里,945,808,847,"1,655",20,"1,675",0,"1,675",529,"2,204",76.00
　　,崇成里,946,491,484,975,16,991,0,991,302,"1,293",76.64
　　,崇成里,947,579,468,"1,047",18,"1,065",0,"1,065",312,"1,377",77.34
　　,崇文里,948,609,532,"1,141",13,"1,154",0,"1,154",328,"1,482",77.87
　　,崇文里,949,663,535,"1,198",12,"1,210",0,"1,210",385,"1,595",75.86
　　,崇文里,950,532,403,935,13,948,0,948,283,"1,231",77.01
　　,崇文里,951,505,453,958,3,961,0,961,280,"1,241",77.44
　　,東智里,952,448,478,926,11,937,0,937,278,"1,215",77.12
　　,東智里,953,408,342,750,14,764,0,764,256,"1,020",74.90
　　,大智里,954,721,723,"1,444",11,"1,455",0,"1,455",531,"1,986",73.26
