第8屆區域立法委員選舉臺北市第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
張育憬
綠黨","2
張志傑
台灣國民會議","3
鄭光照
中華民國臺灣基本法連線","4
丁守中
中國國民黨","5
楊烈
民主進步黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"4,733","2,236",690,"112,571","82,040","202,270","2,496","204,766",19,"204,785","60,821","265,606",77.09
　北投區,,,"3,395","1,624",544,"82,241","61,902","149,706","1,880","151,586",17,"151,603","45,391","196,994",76.95
　　,建民里,1,25,12,1,484,666,"1,188",8,"1,196",1,"1,197",334,"1,531",78.12
　　,建民里,2,32,17,3,671,635,"1,358",22,"1,380",0,"1,380",359,"1,739",79.36
　　,文林里,3,32,17,6,693,673,"1,421",22,"1,443",0,"1,443",366,"1,809",79.77
　　,文林里,4,40,12,4,725,629,"1,410",16,"1,426",0,"1,426",385,"1,811",78.74
　　,石牌里,5,29,10,7,605,527,"1,178",13,"1,191",0,"1,191",319,"1,510",78.87
　　,石牌里,6,23,18,1,572,510,"1,124",13,"1,137",0,"1,137",302,"1,439",79.01
　　,石牌里,7,25,7,6,613,514,"1,165",7,"1,172",0,"1,172",300,"1,472",79.62
　　,福興里,8,17,21,7,593,478,"1,116",12,"1,128",0,"1,128",278,"1,406",80.23
　　,福興里,9,17,13,5,535,498,"1,068",19,"1,087",0,"1,087",263,"1,350",80.52
　　,福興里,10,16,9,5,575,440,"1,045",18,"1,063",0,"1,063",276,"1,339",79.39
　　,福興里,11,14,17,1,722,460,"1,214",15,"1,229",0,"1,229",289,"1,518",80.96
　　,榮光里,12,22,12,6,520,490,"1,050",14,"1,064",0,"1,064",329,"1,393",76.38
　　,榮光里,13,26,14,6,598,461,"1,105",8,"1,113",0,"1,113",343,"1,456",76.44
　　,榮光里,14,15,11,6,679,474,"1,185",14,"1,199",0,"1,199",321,"1,520",78.88
　　,榮光里,15,20,11,3,708,357,"1,099",11,"1,110",0,"1,110",309,"1,419",78.22
　　,榮華里,16,32,14,4,779,407,"1,236",10,"1,246",0,"1,246",387,"1,633",76.30
　　,榮華里,17,37,11,3,730,415,"1,196",13,"1,209",0,"1,209",363,"1,572",76.91
　　,榮華里,18,41,12,4,686,513,"1,256",10,"1,266",0,"1,266",338,"1,604",78.93
　　,榮華里,19,30,16,4,666,410,"1,126",7,"1,133",0,"1,133",318,"1,451",78.08
　　,裕民里,20,24,11,2,692,483,"1,212",14,"1,226",0,"1,226",325,"1,551",79.05
　　,裕民里,21,32,14,5,722,439,"1,212",13,"1,225",0,"1,225",351,"1,576",77.73
　　,裕民里,22,35,15,9,673,503,"1,235",8,"1,243",2,"1,245",323,"1,568",79.27
　　,裕民里,23,30,8,5,681,442,"1,166",21,"1,187",1,"1,188",295,"1,483",80.04
　　,振華里,24,26,9,2,707,533,"1,277",13,"1,290",2,"1,292",345,"1,637",78.80
　　,振華里,25,34,9,2,732,394,"1,171",13,"1,184",0,"1,184",361,"1,545",76.63
　　,振華里,26,44,13,1,753,423,"1,234",13,"1,247",0,"1,247",318,"1,565",79.68
　　,振華里,27,38,7,3,770,465,"1,283",14,"1,297",0,"1,297",333,"1,630",79.57
　　,永和里,28,23,13,5,669,500,"1,210",18,"1,228",0,"1,228",341,"1,569",78.27
　　,永和里,29,26,16,1,560,439,"1,042",22,"1,064",2,"1,066",359,"1,425",74.67
　　,永和里,30,20,14,5,521,404,964,17,981,0,981,329,"1,310",74.89
　　,永和里,31,28,14,4,646,439,"1,131",14,"1,145",0,"1,145",329,"1,474",77.68
　　,永和里,32,30,8,0,678,397,"1,113",12,"1,125",0,"1,125",355,"1,480",76.01
　　,永欣里,33,39,28,3,737,348,"1,155",18,"1,173",0,"1,173",377,"1,550",75.68
　　,永欣里,34,39,34,2,718,354,"1,147",15,"1,162",0,"1,162",369,"1,531",75.90
　　,永欣里,35,39,23,1,811,379,"1,253",16,"1,269",0,"1,269",399,"1,668",76.08
　　,永欣里,36,31,16,5,656,435,"1,143",13,"1,156",0,"1,156",334,"1,490",77.58
　　,永明里,37,36,22,3,834,630,"1,525",15,"1,540",0,"1,540",390,"1,930",79.79
　　,永明里,38,36,24,2,949,483,"1,494",18,"1,512",0,"1,512",407,"1,919",78.79
　　,東華里,39,38,10,6,882,545,"1,481",18,"1,499",0,"1,499",373,"1,872",80.07
　　,東華里,40,35,16,4,932,484,"1,471",22,"1,493",0,"1,493",368,"1,861",80.23
　　,吉利里,41,24,8,1,641,330,"1,004",14,"1,018",0,"1,018",282,"1,300",78.31
　　,吉利里,42,24,9,2,625,429,"1,089",19,"1,108",0,"1,108",286,"1,394",79.48
　　,吉利里,43,18,21,3,646,396,"1,084",10,"1,094",0,"1,094",271,"1,365",80.15
　　,吉利里,44,22,9,5,694,369,"1,099",12,"1,111",0,"1,111",282,"1,393",79.76
　　,吉慶里,45,24,13,3,542,525,"1,107",16,"1,123",0,"1,123",286,"1,409",79.70
　　,吉慶里,46,27,10,4,570,460,"1,071",13,"1,084",0,"1,084",302,"1,386",78.21
　　,吉慶里,47,28,6,2,614,447,"1,097",17,"1,114",0,"1,114",258,"1,372",81.20
　　,尊賢里,48,24,9,2,504,437,976,15,991,0,991,269,"1,260",78.65
　　,尊賢里,49,14,12,5,535,452,"1,018",9,"1,027",0,"1,027",286,"1,313",78.22
　　,尊賢里,50,20,8,4,480,491,"1,003",7,"1,010",0,"1,010",262,"1,272",79.40
　　,立賢里,51,24,15,1,626,522,"1,188",8,"1,196",0,"1,196",321,"1,517",78.84
　　,立賢里,52,20,12,2,549,456,"1,039",14,"1,053",0,"1,053",320,"1,373",76.69
　　,立賢里,53,23,9,0,641,496,"1,169",14,"1,183",0,"1,183",374,"1,557",75.98
　　,立農里,54,29,12,4,670,380,"1,095",9,"1,104",0,"1,104",298,"1,402",78.74
　　,立農里,55,25,16,3,699,556,"1,299",17,"1,316",0,"1,316",370,"1,686",78.05
　　,立農里,56,21,11,3,616,566,"1,217",12,"1,229",0,"1,229",337,"1,566",78.48
　　,立農里,57,24,8,7,526,436,"1,001",11,"1,012",0,"1,012",274,"1,286",78.69
　　,立農里,58,22,13,1,521,445,"1,002",8,"1,010",0,"1,010",247,"1,257",80.35
　　,八仙里,59,30,16,6,607,474,"1,133",14,"1,147",0,"1,147",323,"1,470",78.03
　　,八仙里,60,22,12,4,443,617,"1,098",18,"1,116",0,"1,116",351,"1,467",76.07
　　,八仙里,61,29,13,7,743,417,"1,209",8,"1,217",0,"1,217",333,"1,550",78.52
　　,洲美里,62,29,10,8,434,826,"1,307",18,"1,325",0,"1,325",425,"1,750",75.71
　　,奇岩里,63,27,9,5,644,518,"1,203",8,"1,211",0,"1,211",352,"1,563",77.48
　　,奇岩里,64,22,18,2,680,465,"1,187",12,"1,199",0,"1,199",389,"1,588",75.50
　　,奇岩里,65,38,10,4,652,471,"1,175",17,"1,192",0,"1,192",340,"1,532",77.81
　　,奇岩里,66,29,17,2,647,566,"1,261",13,"1,274",0,"1,274",333,"1,607",79.28
　　,奇岩里,67,25,12,5,649,456,"1,147",10,"1,157",0,"1,157",401,"1,558",74.26
　　,清江里,68,11,10,5,315,356,697,11,708,0,708,988,"1,696",41.75
　　,清江里,69,22,11,4,516,624,"1,177",16,"1,193",0,"1,193",332,"1,525",78.23
　　,清江里,70,34,19,8,604,621,"1,286",13,"1,299",1,"1,300",430,"1,730",75.09
