第8屆區域立法委員選舉臺北市第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
簡余晏
民主進步黨","2
楊長燕
台灣國民會議","3
羅淑蕾
中國國民黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"89,417","3,423","118,503","211,343","2,901","214,244",7,"214,251","66,060","280,311",76.43
　中山區,,,"60,983","2,161","71,044","134,188","1,714","135,902",5,"135,907","43,632","179,539",75.69
　　,正守里,353,469,17,558,"1,044",11,"1,055",0,"1,055",371,"1,426",73.98
　　,正守里,354,469,13,463,945,9,954,0,954,262,"1,216",78.45
　　,正義里,355,390,21,553,964,9,973,0,973,386,"1,359",71.60
　　,正義里,356,439,19,538,996,16,"1,012",0,"1,012",394,"1,406",71.98
　　,正義里,357,390,18,503,911,17,928,0,928,358,"1,286",72.16
　　,正得里,358,424,25,630,"1,079",14,"1,093",0,"1,093",412,"1,505",72.62
　　,正得里,359,467,19,606,"1,092",18,"1,110",0,"1,110",410,"1,520",73.03
　　,民安里,360,534,15,525,"1,074",18,"1,092",0,"1,092",342,"1,434",76.15
　　,民安里,361,449,9,403,861,10,871,0,871,326,"1,197",72.77
　　,民安里,362,487,9,526,"1,022",11,"1,033",0,"1,033",336,"1,369",75.46
　　,康樂里,363,272,15,385,672,6,678,0,678,278,956,70.92
　　,康樂里,364,336,15,488,839,14,853,0,853,328,"1,181",72.23
　　,中山里,365,524,17,588,"1,129",18,"1,147",0,"1,147",428,"1,575",72.83
　　,中山里,366,551,32,577,"1,160",26,"1,186",0,"1,186",461,"1,647",72.01
　　,中山里,367,567,27,659,"1,253",14,"1,267",0,"1,267",483,"1,750",72.40
　　,聚盛里,368,513,30,625,"1,168",16,"1,184",0,"1,184",439,"1,623",72.95
　　,聚盛里,369,456,19,734,"1,209",15,"1,224",0,"1,224",469,"1,693",72.30
　　,集英里,370,584,13,435,"1,032",12,"1,044",0,"1,044",291,"1,335",78.20
　　,集英里,371,526,13,396,935,10,945,0,945,307,"1,252",75.48
　　,集英里,372,587,26,483,"1,096",19,"1,115",0,"1,115",377,"1,492",74.73
　　,集英里,373,489,15,535,"1,039",13,"1,052",0,"1,052",356,"1,408",74.72
　　,聚葉里,374,571,22,630,"1,223",10,"1,233",1,"1,234",453,"1,687",73.09
　　,聚葉里,375,494,10,591,"1,095",12,"1,107",0,"1,107",398,"1,505",73.55
　　,圓山里,376,649,26,693,"1,368",15,"1,383",0,"1,383",455,"1,838",75.24
　　,圓山里,377,588,13,579,"1,180",12,"1,192",0,"1,192",413,"1,605",74.27
　　,晴光里,378,451,18,589,"1,058",10,"1,068",0,"1,068",457,"1,525",70.03
　　,晴光里,379,398,16,548,962,9,971,0,971,404,"1,375",70.62
　　,晴光里,380,458,23,479,960,16,976,0,976,362,"1,338",72.94
　　,恆安里,381,598,16,598,"1,212",18,"1,230",0,"1,230",409,"1,639",75.05
　　,恆安里,382,561,32,780,"1,373",19,"1,392",0,"1,392",523,"1,915",72.69
　　,新庄里,383,429,18,617,"1,064",11,"1,075",0,"1,075",377,"1,452",74.04
　　,新庄里,384,585,19,514,"1,118",7,"1,125",0,"1,125",275,"1,400",80.36
　　,新庄里,385,566,14,449,"1,029",6,"1,035",0,"1,035",282,"1,317",78.59
　　,劍潭里,386,170,19,910,"1,099",14,"1,113",0,"1,113",315,"1,428",77.94
　　,劍潭里,387,247,24,"1,059","1,330",27,"1,357",0,"1,357",360,"1,717",79.03
　　,大直里,388,429,16,626,"1,071",8,"1,079",0,"1,079",299,"1,378",78.30
　　,大直里,389,438,21,708,"1,167",19,"1,186",0,"1,186",302,"1,488",79.70
　　,大直里,390,481,22,726,"1,229",18,"1,247",0,"1,247",311,"1,558",80.04
　　,大直里,391,471,18,808,"1,297",21,"1,318",1,"1,319",353,"1,672",78.83
　　,大直里,392,472,18,724,"1,214",17,"1,231",0,"1,231",362,"1,593",77.28
　　,成功里,393,458,17,565,"1,040",12,"1,052",1,"1,053",285,"1,338",78.62
　　,成功里,394,499,22,723,"1,244",15,"1,259",0,"1,259",384,"1,643",76.63
　　,成功里,395,515,28,815,"1,358",23,"1,381",0,"1,381",434,"1,815",76.09
　　,永安里,396,457,10,622,"1,089",17,"1,106",0,"1,106",305,"1,411",78.38
　　,永安里,397,480,12,589,"1,081",11,"1,092",0,"1,092",300,"1,392",78.45
　　,永安里,398,499,18,629,"1,146",19,"1,165",0,"1,165",354,"1,519",76.70
　　,永安里,399,502,19,568,"1,089",18,"1,107",0,"1,107",318,"1,425",77.68
　　,永安里,400,504,17,668,"1,189",18,"1,207",0,"1,207",348,"1,555",77.62
　　,大佳里,401,429,7,263,699,9,708,0,708,219,927,76.38
　　,金泰里,402,544,29,764,"1,337",17,"1,354",0,"1,354",395,"1,749",77.42
　　,金泰里,403,593,27,853,"1,473",21,"1,494",0,"1,494",424,"1,918",77.89
　　,金泰里,404,485,27,801,"1,313",12,"1,325",0,"1,325",423,"1,748",75.80
　　,北安里,405,314,10,582,906,19,925,0,925,233,"1,158",79.88
　　,北安里,406,261,12,536,809,13,822,0,822,211,"1,033",79.57
　　,新喜里,407,527,16,508,"1,051",4,"1,055",0,"1,055",330,"1,385",76.17
　　,新喜里,408,590,13,476,"1,079",11,"1,090",0,"1,090",310,"1,400",77.86
　　,新喜里,409,536,22,588,"1,146",20,"1,166",0,"1,166",397,"1,563",74.60
　　,新福里,410,629,21,446,"1,096",15,"1,111",0,"1,111",284,"1,395",79.64
　　,新福里,411,632,20,469,"1,121",8,"1,129",0,"1,129",308,"1,437",78.57
　　,新福里,412,466,19,507,992,14,"1,006",0,"1,006",385,"1,391",72.32
　　,松江里,413,685,19,732,"1,436",15,"1,451",0,"1,451",386,"1,837",78.99
　　,松江里,414,789,15,664,"1,468",20,"1,488",0,"1,488",423,"1,911",77.86
　　,松江里,415,568,18,644,"1,230",13,"1,243",0,"1,243",340,"1,583",78.52
　　,新生里,416,505,13,496,"1,014",14,"1,028",0,"1,028",278,"1,306",78.71
　　,新生里,417,508,11,532,"1,051",13,"1,064",0,"1,064",310,"1,374",77.44
　　,新生里,418,588,12,494,"1,094",11,"1,105",0,"1,105",316,"1,421",77.76
　　,中庄里,419,567,12,491,"1,070",6,"1,076",0,"1,076",350,"1,426",75.46
　　,中庄里,420,570,14,529,"1,113",14,"1,127",0,"1,127",318,"1,445",77.99
　　,中庄里,421,514,26,478,"1,018",12,"1,030",0,"1,030",378,"1,408",73.15
　　,行政里,422,529,14,628,"1,171",12,"1,183",0,"1,183",301,"1,484",79.72
　　,行政里,423,601,28,618,"1,247",11,"1,258",0,"1,258",374,"1,632",77.08
　　,行政里,424,665,30,753,"1,448",20,"1,468",0,"1,468","2,054","3,522",41.68
　　,行仁里,425,664,17,626,"1,307",14,"1,321",0,"1,321",388,"1,709",77.30
　　,行仁里,426,670,9,574,"1,253",3,"1,256",0,"1,256",388,"1,644",76.40
　　,行仁里,427,636,22,592,"1,250",23,"1,273",0,"1,273",371,"1,644",77.43
　　,行仁里,428,699,22,649,"1,370",17,"1,387",1,"1,388",410,"1,798",77.14
　　,行孝里,429,660,17,571,"1,248",9,"1,257",0,"1,257",361,"1,618",77.69
　　,行孝里,430,643,18,629,"1,290",20,"1,310",0,"1,310",434,"1,744",75.11
　　,下埤里,431,586,17,614,"1,217",23,"1,240",0,"1,240",354,"1,594",77.79
　　,下埤里,432,564,15,624,"1,203",13,"1,216",0,"1,216",306,"1,522",79.89
　　,下埤里,433,589,11,554,"1,154",17,"1,171",0,"1,171",319,"1,490",78.59
　　,下埤里,434,638,23,629,"1,290",12,"1,302",0,"1,302",370,"1,672",77.87
　　,江寧里,435,431,16,471,918,7,925,1,926,228,"1,154",80.16
　　,江寧里,436,402,12,571,985,15,"1,000",0,"1,000",272,"1,272",78.62
　　,江寧里,437,396,6,397,799,13,812,0,812,241,"1,053",77.11
　　,江寧里,438,347,9,386,742,14,756,0,756,202,958,78.91
　　,江寧里,439,380,13,459,852,13,865,0,865,293,"1,158",74.70
　　,江山里,440,565,18,585,"1,168",10,"1,178",0,"1,178",336,"1,514",77.81
　　,江山里,441,589,15,547,"1,151",6,"1,157",0,"1,157",340,"1,497",77.29
　　,江山里,442,586,11,564,"1,161",18,"1,179",0,"1,179",385,"1,564",75.38
　　,江山里,443,646,14,654,"1,314",16,"1,330",0,"1,330",391,"1,721",77.28
　　,中吉里,444,515,19,524,"1,058",21,"1,079",0,"1,079",350,"1,429",75.51
