第8屆區域立法委員選舉臺北市第4選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
臧家宜
人民最大黨","2
黃珊珊
親民黨","3
李建昌
民主進步黨","4
蔡正元
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"1,745","39,593","78,097","111,260","230,695","2,866","233,561",24,"233,585","65,942","299,527",77.98
　內湖區,,,"1,087","29,329","53,675","77,190","161,281","1,887","163,168",23,"163,191","45,767","208,958",78.09
　　,西湖里,543,15,220,458,541,"1,234",16,"1,250",0,"1,250",318,"1,568",79.72
　　,西湖里,544,11,190,502,505,"1,208",10,"1,218",0,"1,218",371,"1,589",76.65
　　,西湖里,545,11,216,465,544,"1,236",20,"1,256",0,"1,256",363,"1,619",77.58
　　,西湖里,546,7,193,443,543,"1,186",16,"1,202",0,"1,202",351,"1,553",77.40
　　,西康里,547,5,208,410,515,"1,138",20,"1,158",0,"1,158",317,"1,475",78.51
　　,西康里,548,8,191,407,544,"1,150",18,"1,168",0,"1,168",298,"1,466",79.67
　　,西康里,549,8,277,379,605,"1,269",10,"1,279",0,"1,279",321,"1,600",79.94
　　,西康里,550,9,197,342,500,"1,048",21,"1,069",0,"1,069",319,"1,388",77.02
　　,西康里,551,5,222,219,642,"1,088",12,"1,100",0,"1,100",294,"1,394",78.91
　　,西安里,552,11,171,370,514,"1,066",8,"1,074",12,"1,086",261,"1,347",79.73
　　,西安里,553,3,169,339,508,"1,019",13,"1,032",0,"1,032",292,"1,324",77.95
　　,西安里,554,9,163,398,467,"1,037",22,"1,059",0,"1,059",239,"1,298",81.59
　　,西安里,555,8,205,361,542,"1,116",21,"1,137",0,"1,137",321,"1,458",77.98
　　,港墘里,556,10,227,449,574,"1,260",10,"1,270",0,"1,270",309,"1,579",80.43
　　,港墘里,557,7,251,439,571,"1,268",15,"1,283",0,"1,283",351,"1,634",78.52
　　,港墘里,558,14,220,455,504,"1,193",15,"1,208",0,"1,208",340,"1,548",78.04
　　,港都里,559,8,185,460,481,"1,134",12,"1,146",0,"1,146",279,"1,425",80.42
　　,港都里,560,9,235,396,512,"1,152",19,"1,171",0,"1,171",294,"1,465",79.93
　　,港都里,561,7,199,382,496,"1,084",10,"1,094",0,"1,094",289,"1,383",79.10
　　,港富里,562,11,176,476,481,"1,144",8,"1,152",0,"1,152",307,"1,459",78.96
　　,港富里,563,11,257,454,483,"1,205",6,"1,211",0,"1,211",326,"1,537",78.79
