第8屆區域立法委員選舉臺北市第5選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳彥甫
健保免費連線","2
楊煌
無黨籍及未經政黨推薦","3
劉美娟
中華民國臺灣基本法連線","4
顏聖冠
民主進步黨","5
葉玫
台灣國民會議","6
周志文
人民民主陣線","7
林郁方
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
總　計,,,"1,461",703,572,"77,013","1,014",461,"100,292","181,516","3,208","184,724",5,"184,729","57,312","242,041",76.32
　萬華區,,,971,469,385,"52,809",609,302,"61,481","117,026","2,035","119,061",5,"119,066","36,476","155,542",76.55
　　,福星里,740,7,10,5,456,3,3,583,"1,067",19,"1,086",0,"1,086",410,"1,496",72.59
　　,福星里,741,11,6,9,374,2,1,682,"1,085",29,"1,114",0,"1,114",393,"1,507",73.92
　　,福星里,742,13,4,4,500,5,6,575,"1,107",19,"1,126",0,"1,126",440,"1,566",71.90
　　,萬壽里,743,8,2,2,403,1,2,546,964,15,979,0,979,481,"1,460",67.05
　　,萬壽里,744,8,4,8,384,8,9,579,"1,000",22,"1,022",0,"1,022",445,"1,467",69.67
　　,西門里,745,13,4,7,450,10,3,707,"1,194",21,"1,215",0,"1,215",555,"1,770",68.64
　　,西門里,746,7,5,4,413,3,4,648,"1,084",19,"1,103",0,"1,103",479,"1,582",69.72
　　,新起里,747,6,6,4,544,3,3,470,"1,036",21,"1,057",0,"1,057",313,"1,370",77.15
　　,新起里,748,10,6,3,446,2,1,583,"1,051",13,"1,064",0,"1,064",311,"1,375",77.38
　　,新起里,749,5,6,2,414,9,1,507,944,19,963,0,963,422,"1,385",69.53
　　,新起里,750,10,6,2,507,7,2,598,"1,132",19,"1,151",0,"1,151",354,"1,505",76.48
　　,菜園里,751,9,8,5,559,4,4,646,"1,235",21,"1,256",0,"1,256",415,"1,671",75.16
　　,菜園里,752,11,4,7,644,8,6,549,"1,229",26,"1,255",0,"1,255",345,"1,600",78.44
　　,菜園里,753,8,8,6,733,10,0,579,"1,344",22,"1,366",0,"1,366",415,"1,781",76.70
　　,青山里,754,12,2,4,649,12,2,722,"1,403",24,"1,427",0,"1,427",468,"1,895",75.30
　　,青山里,755,10,8,5,612,5,2,548,"1,190",20,"1,210",0,"1,210",433,"1,643",73.65
　　,青山里,756,13,2,2,528,6,1,490,"1,042",19,"1,061",0,"1,061",345,"1,406",75.46
　　,富民里,757,12,7,6,616,2,1,530,"1,174",29,"1,203",0,"1,203",341,"1,544",77.91
　　,富民里,758,9,6,7,548,3,5,470,"1,048",25,"1,073",0,"1,073",350,"1,423",75.40
　　,富民里,759,12,4,2,636,6,3,537,"1,200",24,"1,224",0,"1,224",307,"1,531",79.95
　　,福音里,760,7,3,3,579,7,2,586,"1,187",29,"1,216",0,"1,216",328,"1,544",78.76
　　,福音里,761,7,5,3,581,2,2,536,"1,136",17,"1,153",0,"1,153",307,"1,460",78.97
　　,仁德里,762,9,2,4,425,12,5,534,991,16,"1,007",0,"1,007",308,"1,315",76.58
　　,仁德里,763,5,6,6,427,2,2,534,982,18,"1,000",0,"1,000",246,"1,246",80.26
　　,仁德里,764,7,9,4,483,1,0,455,959,23,982,0,982,244,"1,226",80.10
　　,富福里,765,7,4,2,488,7,2,391,901,27,928,0,928,"1,490","2,418",38.38
　　,富福里,766,12,4,4,524,3,5,574,"1,126",17,"1,143",2,"1,145",298,"1,443",79.21
　　,富福里,767,6,3,1,559,3,0,487,"1,059",19,"1,078",0,"1,078",268,"1,346",80.09
　　,柳鄉里,768,14,4,2,699,8,2,489,"1,218",20,"1,238",0,"1,238",431,"1,669",74.18
　　,柳鄉里,769,11,2,3,560,3,3,451,"1,033",11,"1,044",0,"1,044",297,"1,341",77.85
　　,柳鄉里,770,7,9,5,606,3,3,516,"1,149",22,"1,171",0,"1,171",364,"1,535",76.29
　　,華江里,771,9,4,3,442,3,1,583,"1,045",22,"1,067",0,"1,067",299,"1,366",78.11
　　,華江里,772,9,4,3,521,5,1,542,"1,085",12,"1,097",0,"1,097",262,"1,359",80.72
　　,華江里,773,11,1,3,574,10,2,552,"1,153",16,"1,169",0,"1,169",298,"1,467",79.69
　　,華江里,774,12,6,5,574,4,2,559,"1,162",21,"1,183",0,"1,183",319,"1,502",78.76
　　,華江里,775,8,5,7,492,5,2,455,974,12,986,0,986,368,"1,354",72.82
