第8屆區域立法委員選舉臺北市第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
葉邦宗
無黨籍及未經政黨推薦","2
周佩民
台灣主義黨","3
陳振盛
親民黨","4
趙衍慶
無黨籍及未經政黨推薦","5
王雲怡
台灣國民會議","6
陳福民
無黨籍及未經政黨推薦","7
趙士強
民主進步黨","8
蔣乃辛
中國國民黨","9
王秀珠
人民最大黨",,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
總　計,,,354,469,"11,966",181,"2,128","2,286","54,113","108,488",747,"180,732","2,798","183,530",8,"183,538","59,661","243,199",75.46
　大安區,,,354,469,"11,966",181,"2,128","2,286","54,113","108,488",747,"180,732","2,798","183,530",8,"183,538","59,661","243,199",75.46
　　,德安里,912,2,2,79,1,7,37,319,777,6,"1,230",15,"1,245",0,"1,245",390,"1,635",76.15
　　,德安里,913,2,2,96,2,8,32,353,630,3,"1,128",18,"1,146",0,"1,146",412,"1,558",73.56
　　,德安里,914,2,2,92,0,10,31,360,613,1,"1,111",20,"1,131",0,"1,131",409,"1,540",73.44
　　,仁慈里,915,0,2,57,0,19,19,378,585,3,"1,063",22,"1,085",0,"1,085",332,"1,417",76.57
　　,仁慈里,916,0,1,63,2,10,17,324,498,9,924,13,937,0,937,318,"1,255",74.66
　　,仁慈里,917,2,2,88,0,15,13,348,650,4,"1,122",25,"1,147",0,"1,147",389,"1,536",74.67
　　,和安里,918,0,0,53,3,19,21,287,606,4,993,10,"1,003",0,"1,003",332,"1,335",75.13
　　,和安里,919,2,1,71,3,8,10,277,657,4,"1,033",17,"1,050",0,"1,050",317,"1,367",76.81
　　,和安里,920,2,5,76,2,12,12,332,684,10,"1,135",19,"1,154",0,"1,154",315,"1,469",78.56
　　,和安里,921,1,5,67,0,7,11,247,608,4,950,11,961,0,961,253,"1,214",79.16
　　,民炤里,922,2,4,88,1,20,14,420,629,6,"1,184",23,"1,207",0,"1,207",463,"1,670",72.28
　　,民炤里,923,3,3,103,2,14,11,362,626,4,"1,128",18,"1,146",0,"1,146",366,"1,512",75.79
　　,民炤里,924,1,3,93,0,13,17,427,694,7,"1,255",15,"1,270",0,"1,270",427,"1,697",74.84
　　,民炤里,925,3,4,94,3,16,16,506,665,4,"1,311",9,"1,320",0,"1,320",402,"1,722",76.66
　　,仁愛里,926,1,2,85,0,11,19,377,657,2,"1,154",19,"1,173",0,"1,173",445,"1,618",72.50
　　,仁愛里,927,2,1,69,0,11,29,338,600,2,"1,052",11,"1,063",0,"1,063",467,"1,530",69.48
　　,仁愛里,928,0,3,67,1,8,42,309,603,8,"1,041",9,"1,050",0,"1,050",439,"1,489",70.52
　　,義村里,929,2,1,53,0,13,10,132,665,0,876,10,886,0,886,312,"1,198",73.96
　　,義村里,930,1,4,46,0,3,10,85,825,2,976,16,992,0,992,309,"1,301",76.25
　　,義村里,931,0,4,44,0,5,6,252,660,8,979,13,992,0,992,292,"1,284",77.26
　　,義村里,932,4,0,68,2,11,10,394,521,7,"1,017",17,"1,034",0,"1,034",351,"1,385",74.66
　　,民輝里,933,1,3,78,1,11,13,401,574,11,"1,093",19,"1,112",0,"1,112",441,"1,553",71.60
　　,民輝里,934,2,1,86,3,18,15,371,737,6,"1,239",19,"1,258",0,"1,258",423,"1,681",74.84
　　,民輝里,935,1,5,59,1,16,14,309,455,7,867,21,888,0,888,316,"1,204",73.75
　　,民輝里,936,2,0,55,6,17,7,323,474,12,896,15,911,0,911,353,"1,264",72.07
　　,昌隆里,937,5,5,53,1,8,10,382,490,3,957,12,969,0,969,352,"1,321",73.35
　　,昌隆里,938,0,2,46,1,8,7,389,530,4,987,22,"1,009",0,"1,009",350,"1,359",74.25
　　,誠安里,939,0,0,75,0,8,9,313,488,4,897,14,911,0,911,289,"1,200",75.92
　　,誠安里,940,0,1,64,1,18,15,335,514,4,952,19,971,1,972,316,"1,288",75.39
　　,誠安里,941,1,3,59,1,14,7,283,444,8,820,14,834,0,834,286,"1,120",74.46
　　,光武里,942,0,7,77,0,15,10,378,687,4,"1,178",15,"1,193",0,"1,193",496,"1,689",70.63
　　,光武里,943,1,0,80,1,9,9,330,717,2,"1,149",15,"1,164",1,"1,165",411,"1,576",73.86
　　,光武里,944,3,3,101,2,16,16,494,662,4,"1,301",21,"1,322",0,"1,322",404,"1,726",76.59
　　,光武里,945,4,1,69,3,15,10,406,608,9,"1,125",20,"1,145",0,"1,145",429,"1,574",72.74
　　,龍坡里,946,3,5,88,2,20,21,391,640,5,"1,175",12,"1,187",0,"1,187",401,"1,588",74.75
　　,龍坡里,947,0,3,87,1,26,12,319,701,3,"1,152",21,"1,173",0,"1,173",387,"1,560",75.19
　　,龍坡里,948,3,2,83,2,17,6,290,825,5,"1,233",25,"1,258",0,"1,258",373,"1,631",77.13
　　,龍泉里,949,2,3,53,0,12,11,295,490,5,871,26,897,0,897,316,"1,213",73.95
　　,龍泉里,950,1,2,76,1,14,11,360,555,3,"1,023",15,"1,038",0,"1,038",286,"1,324",78.40
　　,龍泉里,951,2,4,75,0,15,13,260,547,2,918,12,930,1,931,303,"1,234",75.36
　　,古風里,952,1,4,94,1,10,13,383,750,7,"1,263",24,"1,287",0,"1,287",406,"1,693",76.02
　　,古風里,953,4,1,76,4,9,20,443,768,5,"1,330",19,"1,349",0,"1,349",424,"1,773",76.09
　　,古莊里,954,0,6,78,2,13,5,354,661,5,"1,124",14,"1,138",0,"1,138",341,"1,479",76.94
　　,古莊里,955,1,1,80,1,15,13,331,689,5,"1,136",21,"1,157",0,"1,157",356,"1,513",76.47
　　,古莊里,956,2,4,55,0,9,11,258,485,6,830,15,845,0,845,307,"1,152",73.35
　　,古莊里,957,4,5,79,0,13,8,383,566,3,"1,061",19,"1,080",1,"1,081",382,"1,463",73.82
　　,龍安里,958,0,2,38,1,13,8,211,423,6,702,14,716,0,716,"1,495","2,211",32.38
　　,龍安里,959,2,1,56,1,12,13,291,553,2,931,18,949,0,949,272,"1,221",77.72
