第8屆區域立法委員選舉新北市第10選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
楊木萬
綠黨","2
莊碩漢
民主進步黨","3
盧嘉辰
中國國民黨","4
游俊文
台灣主義黨","5
王金芬
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"8,598","81,520","89,570","1,324","6,873","187,885","3,407","191,292",12,"191,304","66,440","257,744",74.22
　土城區,,,"5,999","58,166","62,738",612,"5,422","132,937","2,356","135,293",8,"135,301","45,983","181,284",74.63
　　,祖田里,"1,687",72,533,375,4,37,"1,021",20,"1,041",0,"1,041",331,"1,372",75.87
　　,頂新里,"1,688",28,202,420,8,31,689,19,708,0,708,222,930,76.13
　　,頂新里,"1,689",31,226,554,5,36,852,31,883,0,883,260,"1,143",77.25
　　,頂福里,"1,690",46,338,359,4,34,781,18,799,0,799,284,"1,083",73.78
　　,頂福里,"1,691",62,407,411,4,48,932,22,954,0,954,306,"1,260",75.71
　　,頂福里,"1,692",51,514,512,6,52,"1,135",21,"1,156",0,"1,156",361,"1,517",76.20
　　,頂埔里,"1,693",24,431,444,12,32,943,13,956,0,956,310,"1,266",75.51
　　,頂埔里,"1,694",39,296,596,8,35,974,15,989,0,989,384,"1,373",72.03
　　,頂埔里,"1,695",53,451,379,11,44,938,22,960,0,960,318,"1,278",75.12
　　,沛陂里,"1,696",35,428,341,8,38,850,12,862,0,862,308,"1,170",73.68
　　,沛陂里,"1,697",24,348,345,4,42,763,14,777,1,778,324,"1,102",70.51
　　,沛陂里,"1,698",37,413,380,11,50,891,20,911,0,911,270,"1,181",77.14
　　,永寧里,"1,699",50,430,390,7,38,915,21,936,0,936,386,"1,322",70.80
　　,永寧里,"1,700",38,407,443,13,43,944,22,966,0,966,376,"1,342",71.98
　　,永寧里,"1,701",32,449,364,7,50,902,18,920,0,920,305,"1,225",75.10
　　,永寧里,"1,702",38,362,416,7,46,869,12,881,0,881,286,"1,167",75.49
　　,永寧里,"1,703",31,378,457,4,32,902,10,912,0,912,347,"1,259",72.44
　　,大安里,"1,704",36,512,392,5,45,990,16,"1,006",0,"1,006",307,"1,313",76.62
　　,大安里,"1,705",31,359,312,2,32,736,6,742,0,742,201,943,78.69
　　,大安里,"1,706",42,469,617,5,26,"1,159",28,"1,187",0,"1,187",458,"1,645",72.16
　　,員仁里,"1,707",35,402,370,3,45,855,27,882,0,882,323,"1,205",73.20
　　,員仁里,"1,708",25,363,377,6,58,829,11,840,0,840,255,"1,095",76.71
　　,員仁里,"1,709",30,260,418,3,43,754,17,771,0,771,317,"1,088",70.86
　　,員仁里,"1,710",31,372,323,1,45,772,8,780,0,780,303,"1,083",72.02
　　,埤塘里,"1,711",104,524,461,6,48,"1,143",30,"1,173",0,"1,173","1,709","2,882",40.70
　　,埤塘里,"1,712",54,463,470,4,55,"1,046",17,"1,063",0,"1,063",339,"1,402",75.82
　　,土城里,"1,713",26,255,308,7,48,644,18,662,0,662,194,856,77.34
　　,土城里,"1,714",30,282,292,2,38,644,14,658,0,658,220,878,74.94
　　,長風里,"1,715",45,253,950,2,101,"1,351",26,"1,377",0,"1,377",302,"1,679",82.01
　　,員信里,"1,716",41,345,384,2,73,845,28,873,0,873,269,"1,142",76.44
　　,員信里,"1,717",46,355,426,4,37,868,11,879,0,879,280,"1,159",75.84
　　,員信里,"1,718",29,352,439,7,59,886,34,920,0,920,332,"1,252",73.48
　　,員林里,"1,719",36,365,440,4,52,897,10,907,0,907,324,"1,231",73.68
　　,員林里,"1,720",35,410,430,3,44,922,16,938,0,938,309,"1,247",75.22
　　,員林里,"1,721",31,324,384,2,42,783,15,798,0,798,303,"1,101",72.48
　　,員林里,"1,722",35,280,386,3,45,749,10,759,0,759,255,"1,014",74.85
　　,員福里,"1,723",44,461,346,2,59,912,16,928,1,929,261,"1,190",77.98
　　,員福里,"1,724",32,375,309,0,56,772,13,785,0,785,290,"1,075",73.02
　　,員福里,"1,725",39,341,418,7,41,846,11,857,0,857,286,"1,143",74.98
　　,員福里,"1,726",24,371,331,0,32,758,17,775,0,775,304,"1,079",71.83
　　,日和里,"1,727",44,592,448,1,67,"1,152",21,"1,173",0,"1,173",411,"1,584",74.05
　　,日和里,"1,728",49,531,486,3,54,"1,123",22,"1,145",0,"1,145",376,"1,521",75.28
　　,日和里,"1,729",55,600,465,2,63,"1,185",18,"1,203",0,"1,203",354,"1,557",77.26
　　,日新里,"1,730",31,512,400,7,60,"1,010",10,"1,020",0,"1,020",307,"1,327",76.87
　　,日新里,"1,731",40,446,453,2,71,"1,012",9,"1,021",0,"1,021",326,"1,347",75.80
　　,日新里,"1,732",25,445,386,4,50,910,19,929,0,929,288,"1,217",76.34
