第8屆區域立法委員選舉新北市第11選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
高建智
民主進步黨","2
羅明才
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"66,506","132,426","198,932","6,956","205,888",2,"205,890","64,448","270,338",76.16
　新店區,,,"54,296","120,662","174,958","6,255","181,213",2,"181,215","56,130","237,345",76.35
　　,新店里,"1,894",502,650,"1,152",40,"1,192",0,"1,192",319,"1,511",78.89
　　,張南里,"1,895",402,870,"1,272",43,"1,315",0,"1,315",354,"1,669",78.79
　　,國校里,"1,896",286,462,748,24,772,0,772,236,"1,008",76.59
　　,國校里,"1,897",294,572,866,38,904,0,904,297,"1,201",75.27
　　,文中里,"1,898",309,833,"1,142",40,"1,182",0,"1,182",380,"1,562",75.67
　　,廣明里,"1,899",258,224,482,24,506,0,506,133,639,79.19
　　,文明里,"1,900",308,494,802,30,832,0,832,240,"1,072",77.61
　　,文明里,"1,901",262,523,785,21,806,0,806,196,"1,002",80.44
　　,中興里,"1,902",271,774,"1,045",45,"1,090",0,"1,090",290,"1,380",78.99
　　,中興里,"1,903",192,467,659,19,678,0,678,"1,865","2,543",26.66
　　,中興里,"1,904",280,769,"1,049",46,"1,095",0,"1,095",264,"1,359",80.57
　　,中興里,"1,905",310,662,972,46,"1,018",0,"1,018",293,"1,311",77.65
　　,新生里,"1,906",261,"1,122","1,383",61,"1,444",0,"1,444",386,"1,830",78.91
　　,新生里,"1,907",482,795,"1,277",35,"1,312",0,"1,312",343,"1,655",79.27
　　,新生里,"1,908",431,845,"1,276",47,"1,323",0,"1,323",340,"1,663",79.56
　　,新德里,"1,909",323,553,876,29,905,0,905,310,"1,215",74.49
　　,新德里,"1,910",304,520,824,22,846,0,846,305,"1,151",73.50
　　,張北里,"1,911",342,612,954,43,997,0,997,325,"1,322",75.42
　　,張北里,"1,912",341,742,"1,083",37,"1,120",0,"1,120",347,"1,467",76.35
　　,張北里,"1,913",266,736,"1,002",36,"1,038",0,"1,038",318,"1,356",76.55
　　,張北里,"1,914",302,957,"1,259",42,"1,301",0,"1,301",360,"1,661",78.33
　　,五峰里,"1,915",313,735,"1,048",55,"1,103",0,"1,103",278,"1,381",79.87
　　,五峰里,"1,916",387,769,"1,156",60,"1,216",0,"1,216",372,"1,588",76.57
　　,五峰里,"1,917",285,877,"1,162",52,"1,214",0,"1,214",325,"1,539",78.88
　　,五峰里,"1,918",416,696,"1,112",41,"1,153",0,"1,153",375,"1,528",75.46
　　,長春里,"1,919",244,570,814,55,869,0,869,243,"1,112",78.15
　　,長春里,"1,920",192,556,748,54,802,0,802,216,"1,018",78.78
　　,新安里,"1,921",253,619,872,40,912,0,912,296,"1,208",75.50
　　,新安里,"1,922",251,642,893,37,930,0,930,262,"1,192",78.02
　　,新安里,"1,923",251,663,914,40,954,0,954,282,"1,236",77.18
　　,忠誠里,"1,924",257,612,869,17,886,0,886,224,"1,110",79.82
　　,忠誠里,"1,925",251,601,852,43,895,0,895,228,"1,123",79.70
　　,中正里,"1,926",375,714,"1,089",50,"1,139",0,"1,139",286,"1,425",79.93
　　,中正里,"1,927",362,802,"1,164",51,"1,215",0,"1,215",334,"1,549",78.44
　　,中正里,"1,928",204,691,895,50,945,0,945,242,"1,187",79.61
　　,中正里,"1,929",243,599,842,27,869,0,869,260,"1,129",76.97
　　,中華里,"1,930",169,575,744,36,780,0,780,234,"1,014",76.92
　　,中華里,"1,931",218,606,824,48,872,0,872,235,"1,107",78.77
　　,中華里,"1,932",212,481,693,36,729,0,729,244,973,74.92
　　,仁愛里,"1,933",214,454,668,28,696,0,696,212,908,76.65
　　,仁愛里,"1,934",188,514,702,30,732,0,732,193,925,79.14
　　,建國里,"1,935",287,829,"1,116",51,"1,167",0,"1,167",330,"1,497",77.96
　　,建國里,"1,936",237,707,944,32,976,0,976,267,"1,243",78.52
　　,百忍里,"1,937",204,503,707,30,737,0,737,213,950,77.58
　　,百忍里,"1,938",232,587,819,40,859,0,859,251,"1,110",77.39
　　,百忍里,"1,939",289,751,"1,040",34,"1,074",0,"1,074",293,"1,367",78.57
　　,百和里,"1,940",377,758,"1,135",44,"1,179",0,"1,179",313,"1,492",79.02
　　,百和里,"1,941",317,676,993,57,"1,050",0,"1,050",348,"1,398",75.11
　　,福德里,"1,942",259,543,802,30,832,0,832,290,"1,122",74.15
　　,福德里,"1,943",298,710,"1,008",39,"1,047",0,"1,047",255,"1,302",80.41
　　,福德里,"1,944",224,531,755,16,771,1,772,253,"1,025",75.22
　　,百福里,"1,945",263,616,879,51,930,0,930,259,"1,189",78.22
　　,百福里,"1,946",282,667,949,46,995,0,995,293,"1,288",77.25
　　,福民里,"1,947",257,987,"1,244",63,"1,307",0,"1,307",320,"1,627",80.33
　　,福民里,"1,948",313,900,"1,213",56,"1,269",0,"1,269",429,"1,698",74.73
　　,中山里,"1,949",308,653,961,23,984,0,984,278,"1,262",77.97
　　,中山里,"1,950",332,"1,009","1,341",49,"1,390",0,"1,390",350,"1,740",79.89
　　,中山里,"1,951",220,718,938,41,979,0,979,256,"1,235",79.27
　　,和平里,"1,952",141,422,563,13,576,0,576,184,760,75.79
　　,中央里,"1,953",390,985,"1,375",52,"1,427",0,"1,427",375,"1,802",79.19
　　,中央里,"1,954",270,770,"1,040",69,"1,109",0,"1,109",305,"1,414",78.43
　　,中央里,"1,955",335,756,"1,091",53,"1,144",0,"1,144",326,"1,470",77.82
　　,國豐里,"1,956",202,527,729,26,755,0,755,234,989,76.34
　　,國豐里,"1,957",203,511,714,37,751,0,751,205,956,78.56
　　,國豐里,"1,958",204,579,783,27,810,0,810,224,"1,034",78.34
　　,明德里,"1,959",278,649,927,48,975,0,975,255,"1,230",79.27
　　,明德里,"1,960",260,552,812,30,842,0,842,237,"1,079",78.04
　　,明德里,"1,961",291,607,898,39,937,0,937,280,"1,217",76.99
　　,大豐里,"1,962",373,848,"1,221",50,"1,271",0,"1,271",365,"1,636",77.69
　　,大豐里,"1,963",389,836,"1,225",44,"1,269",0,"1,269",356,"1,625",78.09
　　,大同里,"1,964",461,874,"1,335",65,"1,400",0,"1,400",350,"1,750",80.00
　　,大同里,"1,965",444,951,"1,395",41,"1,436",0,"1,436",382,"1,818",78.99
　　,江陵里,"1,966",376,901,"1,277",47,"1,324",0,"1,324",366,"1,690",78.34
　　,江陵里,"1,967",309,893,"1,202",49,"1,251",0,"1,251",327,"1,578",79.28
　　,江陵里,"1,968",371,794,"1,165",41,"1,206",0,"1,206",295,"1,501",80.35
　　,復興里,"1,969",421,614,"1,035",33,"1,068",0,"1,068",404,"1,472",72.55
