第8屆區域立法委員選舉新北市第3選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
李乾龍
中國國民黨","2
吳清
中華民國臺灣基本法連線","3
高志鵬
民主進步黨","4
蕭炳賢
健保免費連線",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"94,634","1,059","95,649","2,836","194,178","3,263","197,441",8,"197,449","57,473","254,922",77.45
　三重區,,,"94,634","1,059","95,649","2,836","194,178","3,263","197,441",8,"197,449","57,473","254,922",77.45
　　,大有里,409,575,7,545,20,"1,147",17,"1,164",0,"1,164",290,"1,454",80.06
　　,大有里,410,562,7,616,23,"1,208",18,"1,226",0,"1,226",326,"1,552",78.99
　　,大有里,411,512,9,563,14,"1,098",20,"1,118",0,"1,118",300,"1,418",78.84
　　,博愛里,412,411,2,458,10,881,20,901,0,901,281,"1,182",76.23
　　,博愛里,413,708,6,412,11,"1,137",14,"1,151",0,"1,151",262,"1,413",81.46
　　,博愛里,414,431,7,571,16,"1,025",14,"1,039",0,"1,039",261,"1,300",79.92
　　,二重里,415,274,5,358,5,642,10,652,0,652,202,854,76.35
　　,二重里,416,287,7,332,10,636,3,639,0,639,224,863,74.04
　　,頂崁里,417,353,4,407,19,783,15,798,0,798,191,989,80.69
　　,頂崁里,418,313,2,389,10,714,8,722,0,722,202,924,78.14
　　,谷王里,419,361,6,479,34,880,24,904,0,904,231,"1,135",79.65
　　,五谷里,420,314,1,259,21,595,10,605,0,605,168,773,78.27
　　,五谷里,421,396,2,383,4,785,16,801,0,801,212,"1,013",79.07
　　,中興里,422,607,8,669,26,"1,310",24,"1,334",0,"1,334",343,"1,677",79.55
　　,中興里,423,515,4,563,28,"1,110",34,"1,144",0,"1,144",333,"1,477",77.45
　　,德厚里,424,141,4,155,2,302,3,305,0,305,80,385,79.22
　　,成功里,425,370,3,384,15,772,15,787,0,787,214,"1,001",78.62
　　,成功里,426,369,6,366,12,753,13,766,1,767,241,"1,008",75.99
　　,成功里,427,643,8,540,21,"1,212",20,"1,232",1,"1,233",298,"1,531",80.47
　　,成功里,428,693,2,388,20,"1,103",15,"1,118",0,"1,118",310,"1,428",78.29
　　,福祉里,429,516,6,430,16,968,9,977,0,977,249,"1,226",79.69
　　,福祉里,430,575,5,544,13,"1,137",18,"1,155",0,"1,155",268,"1,423",81.17
　　,福祉里,431,689,5,531,22,"1,247",26,"1,273",0,"1,273",419,"1,692",75.24
　　,福德里,432,598,3,609,16,"1,226",23,"1,249",0,"1,249",355,"1,604",77.87
　　,福德里,433,667,3,595,23,"1,288",12,"1,300",0,"1,300",405,"1,705",76.25
　　,福民里,434,546,8,581,17,"1,152",16,"1,168",0,"1,168",295,"1,463",79.84
　　,福民里,435,529,5,528,15,"1,077",9,"1,086",0,"1,086",322,"1,408",77.13
　　,過田里,436,644,5,549,26,"1,224",17,"1,241",0,"1,241","2,297","3,538",35.08
　　,過田里,437,792,10,588,17,"1,407",39,"1,446",0,"1,446",385,"1,831",78.97
　　,過田里,438,796,10,518,25,"1,349",24,"1,373",0,"1,373",369,"1,742",78.82
　　,錦田里,439,324,4,374,14,716,11,727,0,727,195,922,78.85
　　,錦田里,440,308,2,318,6,634,13,647,0,647,227,874,74.03
　　,重明里,441,604,9,481,10,"1,104",21,"1,125",0,"1,125",275,"1,400",80.36
　　,重明里,442,589,2,486,10,"1,087",22,"1,109",0,"1,109",258,"1,367",81.13
　　,光田里,443,420,5,368,10,803,8,811,0,811,257,"1,068",75.94
　　,光田里,444,582,8,529,11,"1,130",20,"1,150",0,"1,150",270,"1,420",80.99
　　,光田里,445,558,11,441,13,"1,023",17,"1,040",0,"1,040",271,"1,311",79.33
　　,光陽里,446,742,8,660,14,"1,424",11,"1,435",0,"1,435",388,"1,823",78.72
　　,光陽里,447,663,5,639,16,"1,323",16,"1,339",0,"1,339",394,"1,733",77.26
　　,光陽里,448,688,8,672,15,"1,383",22,"1,405",0,"1,405",323,"1,728",81.31
　　,田心里,449,362,4,498,12,876,17,893,0,893,295,"1,188",75.17
　　,田心里,450,431,2,446,8,887,16,903,0,903,228,"1,131",79.84
　　,田心里,451,462,7,380,9,858,4,862,2,864,247,"1,111",77.59
　　,福田里,452,561,8,612,22,"1,203",15,"1,218",0,"1,218",277,"1,495",81.47
　　,福田里,453,553,5,658,20,"1,236",18,"1,254",0,"1,254",318,"1,572",79.77
　　,田中里,454,416,6,529,10,961,15,976,0,976,256,"1,232",79.22
　　,田中里,455,426,5,495,8,934,17,951,0,951,202,"1,153",82.48
　　,田中里,456,434,7,617,15,"1,073",13,"1,086",0,"1,086",308,"1,394",77.91
　　,田中里,457,453,8,532,9,"1,002",17,"1,019",0,"1,019",294,"1,313",77.61
　　,田安里,458,794,8,684,21,"1,507",31,"1,538",0,"1,538",405,"1,943",79.16
　　,田安里,459,657,4,642,8,"1,311",21,"1,332",0,"1,332",368,"1,700",78.35
　　,田安里,460,543,6,617,19,"1,185",24,"1,209",0,"1,209",291,"1,500",80.60
　　,三民里,461,476,2,551,10,"1,039",9,"1,048",0,"1,048",307,"1,355",77.34
　　,三民里,462,542,4,507,12,"1,065",14,"1,079",0,"1,079",304,"1,383",78.02
　　,光明里,463,540,8,495,9,"1,052",12,"1,064",0,"1,064",332,"1,396",76.22
　　,光明里,464,565,3,403,5,976,19,995,0,995,306,"1,301",76.48
　　,光明里,465,626,8,491,17,"1,142",21,"1,163",0,"1,163",323,"1,486",78.26
　　,光明里,466,658,6,674,12,"1,350",17,"1,367",0,"1,367",261,"1,628",83.97
　　,光正里,467,744,7,553,17,"1,321",31,"1,352",0,"1,352",423,"1,775",76.17
　　,同安里,468,504,6,408,16,934,13,947,0,947,304,"1,251",75.70
　　,同慶里,469,656,7,516,18,"1,197",20,"1,217",0,"1,217",347,"1,564",77.81
　　,菜寮里,470,372,4,368,11,755,11,766,1,767,219,986,77.69
　　,菜寮里,471,388,6,294,10,698,7,705,0,705,167,872,80.85
　　,永春里,472,676,1,591,22,"1,290",23,"1,313",0,"1,313",373,"1,686",77.88
　　,中正里,473,528,1,421,10,960,16,976,0,976,249,"1,225",79.67
　　,吉利里,474,518,5,419,11,953,26,979,0,979,315,"1,294",75.66
　　,大同里,475,651,5,529,23,"1,208",23,"1,231",0,"1,231",405,"1,636",75.24
　　,中民里,476,506,6,346,18,876,17,893,0,893,287,"1,180",75.68
　　,平和里,477,512,6,484,8,"1,010",21,"1,031",0,"1,031",341,"1,372",75.15
　　,大安里,478,587,1,454,21,"1,063",22,"1,085",0,"1,085",329,"1,414",76.73
　　,仁德里,479,320,5,297,6,628,7,635,0,635,221,856,74.18
　　,仁德里,480,333,3,382,8,726,15,741,0,741,211,952,77.84
　　,忠孝里,481,556,7,582,12,"1,157",22,"1,179",0,"1,179",360,"1,539",76.61
　　,仁義里,482,388,2,360,5,755,16,771,0,771,232,"1,003",76.87
　　,光榮里,483,507,3,448,10,968,17,985,0,985,269,"1,254",78.55
　　,光輝里,484,592,3,462,17,"1,074",17,"1,091",0,"1,091",285,"1,376",79.29
　　,福星里,485,308,3,322,8,641,13,654,0,654,137,791,82.68
　　,福利里,486,705,8,639,19,"1,371",27,"1,398",0,"1,398",424,"1,822",76.73
　　,清和里,487,638,11,575,20,"1,244",8,"1,252",0,"1,252",387,"1,639",76.39
　　,清和里,488,636,9,553,21,"1,219",16,"1,235",0,"1,235",342,"1,577",78.31
　　,永興里,489,484,5,420,18,927,13,940,0,940,256,"1,196",78.60
　　,中山里,490,417,1,443,8,869,7,876,1,877,269,"1,146",76.44
　　,中山里,491,429,5,392,7,833,13,846,0,846,232,"1,078",78.48
　　,大園里,492,375,2,392,13,782,14,796,0,796,238,"1,034",76.98
　　,大園里,493,410,2,470,11,893,21,914,0,914,257,"1,171",78.05
　　,國隆里,494,427,2,378,14,821,21,842,0,842,252,"1,094",76.97
　　,國隆里,495,498,2,433,18,951,18,969,0,969,226,"1,195",81.09
　　,重陽里,496,632,9,567,23,"1,231",17,"1,248",0,"1,248",371,"1,619",77.08
　　,重陽里,497,583,2,508,13,"1,106",20,"1,126",0,"1,126",293,"1,419",79.35
　　,民生里,498,402,2,468,12,884,15,899,0,899,269,"1,168",76.97
　　,民生里,499,491,6,519,10,"1,026",14,"1,040",0,"1,040",258,"1,298",80.12
　　,民生里,500,426,5,471,14,916,14,930,0,930,226,"1,156",80.45
　　,重新里,501,418,8,565,20,"1,011",18,"1,029",0,"1,029",296,"1,325",77.66
　　,正德里,502,356,6,389,5,756,10,766,0,766,227,993,77.14
