第8屆區域立法委員選舉新北市第7選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
江惠貞
中國國民黨","2
羅致政
民主進步黨","3
曾文振
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"73,686","71,207","21,411","166,304","3,007","169,311",7,"169,318","48,957","218,275",77.57
　板橋區,,,"73,686","71,207","21,411","166,304","3,007","169,311",7,"169,318","48,957","218,275",77.57
　　,振興里,"1,141",422,524,155,"1,101",14,"1,115",0,"1,115",298,"1,413",78.91
　　,振興里,"1,142",408,560,176,"1,144",25,"1,169",0,"1,169",279,"1,448",80.73
　　,振興里,"1,143",264,349,111,724,13,737,0,737,190,927,79.50
　　,振義里,"1,144",466,574,129,"1,169",19,"1,188",0,"1,188",341,"1,529",77.70
　　,振義里,"1,145",339,427,96,862,24,886,0,886,256,"1,142",77.58
　　,振義里,"1,146",215,414,75,704,9,713,0,713,207,920,77.50
　　,光復里,"1,147",387,478,225,"1,090",24,"1,114",0,"1,114",267,"1,381",80.67
　　,光復里,"1,148",354,431,170,955,19,974,0,974,301,"1,275",76.39
　　,埔墘里,"1,149",613,554,182,"1,349",32,"1,381",0,"1,381",333,"1,714",80.57
　　,埔墘里,"1,150",494,553,161,"1,208",22,"1,230",0,"1,230",316,"1,546",79.56
　　,埔墘里,"1,151",397,383,67,847,15,862,0,862,257,"1,119",77.03
　　,埔墘里,"1,152",260,334,69,663,6,669,0,669,185,854,78.34
　　,富貴里,"1,153",266,354,99,719,10,729,0,729,186,915,79.67
　　,富貴里,"1,154",410,348,96,854,9,863,0,863,192,"1,055",81.80
　　,長壽里,"1,155",346,412,273,"1,031",13,"1,044",0,"1,044",246,"1,290",80.93
　　,長壽里,"1,156",309,407,185,901,22,923,0,923,193,"1,116",82.71
　　,福壽里,"1,157",530,412,144,"1,086",27,"1,113",0,"1,113",295,"1,408",79.05
　　,福壽里,"1,158",388,459,229,"1,076",25,"1,101",0,"1,101",333,"1,434",76.78
　　,居仁里,"1,159",428,466,200,"1,094",15,"1,109",0,"1,109",262,"1,371",80.89
　　,居仁里,"1,160",370,438,167,975,17,992,0,992,319,"1,311",75.67
　　,海山里,"1,161",375,317,80,772,15,787,0,787,206,993,79.25
　　,海山里,"1,162",346,337,105,788,9,797,0,797,203,"1,000",79.70
　　,海山里,"1,163",420,497,186,"1,103",16,"1,119",0,"1,119",294,"1,413",79.19
　　,海山里,"1,164",233,307,81,621,14,635,0,635,224,859,73.92
　　,海山里,"1,165",826,568,127,"1,521",21,"1,542",0,"1,542",333,"1,875",82.24
　　,九如里,"1,166",350,536,172,"1,058",21,"1,079",0,"1,079",292,"1,371",78.70
　　,九如里,"1,167",286,363,186,835,16,851,0,851,236,"1,087",78.29
　　,正泰里,"1,168",415,529,146,"1,090",23,"1,113",0,"1,113",315,"1,428",77.94
　　,正泰里,"1,169",396,401,161,958,23,981,0,981,209,"1,190",82.44
　　,玉光里,"1,170",590,507,370,"1,467",27,"1,494",0,"1,494",361,"1,855",80.54
　　,玉光里,"1,171",279,375,325,979,24,"1,003",0,"1,003",267,"1,270",78.98
　　,玉光里,"1,172",336,385,249,970,19,989,1,990,268,"1,258",78.62
　　,光仁里,"1,173",390,462,180,"1,032",19,"1,051",0,"1,051",260,"1,311",80.17
　　,光仁里,"1,174",335,389,219,943,20,963,0,963,228,"1,191",80.86
　　,雙玉里,"1,175",473,600,214,"1,287",23,"1,310",0,"1,310",364,"1,674",78.26
　　,雙玉里,"1,176",508,531,137,"1,176",24,"1,200",0,"1,200",348,"1,548",77.52
　　,廣新里,"1,177",255,261,127,643,15,658,0,658,201,859,76.60
　　,廣新里,"1,178",294,318,144,756,18,774,0,774,231,"1,005",77.01
　　,廣新里,"1,179",329,394,113,836,10,846,0,846,235,"1,081",78.26
　　,深丘里,"1,180",730,474,117,"1,321",26,"1,347",0,"1,347",410,"1,757",76.66
　　,深丘里,"1,181",642,469,166,"1,277",23,"1,300",0,"1,300",346,"1,646",78.98
　　,深丘里,"1,182",570,508,175,"1,253",23,"1,276",0,"1,276",354,"1,630",78.28
　　,深丘里,"1,183",426,336,93,855,16,871,0,871,201,"1,072",81.25
　　,香丘里,"1,184",365,365,106,836,23,859,0,859,227,"1,086",79.10
　　,香丘里,"1,185",305,408,89,802,10,812,0,812,227,"1,039",78.15
　　,香丘里,"1,186",370,324,118,812,16,828,0,828,212,"1,040",79.62
　　,西安里,"1,187",377,398,139,914,17,931,0,931,248,"1,179",78.97
　　,西安里,"1,188",367,349,140,856,15,871,0,871,212,"1,083",80.42
　　,東丘里,"1,189",317,422,175,914,32,946,0,946,220,"1,166",81.13
　　,東丘里,"1,190",475,534,182,"1,191",18,"1,209",0,"1,209",315,"1,524",79.33
　　,東丘里,"1,191",269,454,171,894,12,906,1,907,252,"1,159",78.17
　　,民生里,"1,192",258,332,90,680,9,689,0,689,182,871,79.10
　　,民生里,"1,193",326,363,86,775,12,787,0,787,217,"1,004",78.39
　　,長安里,"1,194",290,336,114,740,11,751,0,751,220,971,77.34
　　,長安里,"1,195",364,391,170,925,20,945,0,945,203,"1,148",82.32
　　,長安里,"1,196",436,450,209,"1,095",17,"1,112",1,"1,113",292,"1,405",79.15
　　,東安里,"1,197",272,347,161,780,27,807,0,807,224,"1,031",78.27
　　,東安里,"1,198",299,365,175,839,16,855,0,855,214,"1,069",79.98
　　,福丘里,"1,199",558,428,114,"1,100",24,"1,124",0,"1,124",299,"1,423",78.99
　　,福丘里,"1,200",763,478,123,"1,364",30,"1,394",0,"1,394",395,"1,789",77.92
　　,福祿里,"1,201",654,444,175,"1,273",27,"1,300",0,"1,300",412,"1,712",75.93
　　,福祿里,"1,202",580,449,194,"1,223",26,"1,249",0,"1,249",292,"1,541",81.05
　　,民族里,"1,203",471,391,104,966,18,984,0,984,255,"1,239",79.42
　　,民族里,"1,204",351,413,80,844,15,859,0,859,231,"1,090",78.81
　　,民族里,"1,205",355,346,56,757,14,771,0,771,196,967,79.73
　　,國泰里,"1,206",509,373,122,"1,004",16,"1,020",0,"1,020",278,"1,298",78.58
　　,國泰里,"1,207",615,506,132,"1,253",31,"1,284",0,"1,284",348,"1,632",78.68
　　,後埔里,"1,208",622,493,88,"1,203",23,"1,226",0,"1,226",337,"1,563",78.44
　　,後埔里,"1,209",626,521,93,"1,240",25,"1,265",1,"1,266",353,"1,619",78.13
　　,福德里,"1,210",439,438,98,975,11,986,0,986,283,"1,269",77.70
　　,福德里,"1,211",468,456,165,"1,089",19,"1,108",0,"1,108",264,"1,372",80.76
　　,福德里,"1,212",602,504,206,"1,312",18,"1,330",0,"1,330",383,"1,713",77.64
　　,景星里,"1,213",543,411,134,"1,088",18,"1,106",0,"1,106",292,"1,398",79.11
　　,景星里,"1,214",517,432,140,"1,089",23,"1,112",0,"1,112",323,"1,435",77.49
