第8屆區域立法委員選舉臺東縣候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
謝文漢
綠黨","2
吳俊立
無黨籍及未經政黨推薦","3
林正杰
無黨籍及未經政黨推薦","4
饒慶鈴
中國國民黨","5
劉櫂豪
民主進步黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,551,"19,016","2,365","22,553","31,685","76,170","1,391","77,561",6,"77,567","41,349","118,916",65.22
　臺東市,,,345,"11,060","1,618","13,665","19,103","45,791",828,"46,619",4,"46,623","21,080","67,703",68.86
　　,文化里,1,1,95,21,165,208,490,17,507,0,507,303,810,62.59
　　,民族里,2,9,228,28,266,464,995,13,"1,008",0,"1,008",314,"1,322",76.25
　　,自強里,3,4,139,28,278,317,766,7,773,0,773,328,"1,101",70.21
　　,自強里,4,11,138,28,301,415,893,18,911,0,911,397,"1,308",69.65
　　,自強里,5,8,148,42,316,359,873,18,891,0,891,330,"1,221",72.97
　　,民生里,6,6,159,42,328,467,"1,002",21,"1,023",0,"1,023",490,"1,513",67.61
　　,民生里,7,11,229,39,275,409,963,18,981,0,981,433,"1,414",69.38
　　,寶桑里,8,6,153,14,91,176,440,6,446,0,446,202,648,68.83
　　,民權里,9,2,109,25,151,241,528,12,540,0,540,287,827,65.30
　　,四維里,10,0,49,9,80,92,230,3,233,2,235,92,327,71.25
　　,中華里,11,4,262,34,272,437,"1,009",17,"1,026",0,"1,026",504,"1,530",67.06
　　,仁愛里,12,1,146,14,116,210,487,8,495,0,495,198,693,71.43
　　,強國里,13,4,123,10,103,162,402,9,411,0,411,189,600,68.50
　　,大同里,14,2,123,20,149,197,491,9,500,0,500,224,724,69.06
　　,成功里,15,7,109,14,142,262,534,11,545,0,545,228,773,70.50
　　,建國里,16,5,286,32,195,321,839,18,857,0,857,402,"1,259",68.07
　　,中正里,17,5,102,22,169,266,564,6,570,0,570,264,834,68.35
　　,中山里,18,4,103,19,195,267,588,9,597,0,597,235,832,71.75
　　,興國里,19,2,178,10,98,238,526,9,535,0,535,205,740,72.30
　　,鐵花里,20,1,64,9,82,131,287,5,292,0,292,115,407,71.74
　　,東海里,21,6,134,40,280,339,799,19,818,0,818,399,"1,217",67.21
　　,東海里,22,9,200,37,325,403,974,26,"1,000",0,"1,000",415,"1,415",70.67
　　,復國里,23,3,106,15,152,156,432,7,439,0,439,221,660,66.52
　　,復興里,24,0,70,14,91,101,276,3,279,0,279,141,420,66.43
　　,新興里,25,6,199,16,163,261,645,11,656,0,656,310,966,67.91
　　,新生里,26,2,172,37,245,308,764,13,777,0,777,369,"1,146",67.80
　　,新生里,27,14,165,35,257,350,821,9,830,0,830,388,"1,218",68.14
　　,新生里,28,8,189,34,282,328,841,18,859,0,859,432,"1,291",66.54
