第8屆區域立法委員選舉臺中市第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
陳添旺
中國國民黨","2
王憲堂
無黨籍及未經政黨推薦","3
蔡其昌
民主進步黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"65,438","2,628","81,669","149,735","3,280","153,015",1,"153,016","51,787","204,803",74.71
　大甲區,,,"19,520",742,"22,342","42,604",960,"43,564",0,"43,564","14,753","58,317",74.70
　　,朝陽里,1,460,12,526,998,22,"1,020",0,"1,020",320,"1,340",76.12
　　,大甲里,2,342,6,400,748,25,773,0,773,340,"1,113",69.45
　　,順天里,3,236,7,281,524,11,535,0,535,174,709,75.46
　　,順天里,4,268,8,331,607,10,617,0,617,199,816,75.61
　　,孔門里,5,262,7,258,527,17,544,0,544,183,727,74.83
　　,平安里,6,306,12,343,661,17,678,0,678,173,851,79.67
　　,平安里,7,411,10,431,852,27,879,0,879,269,"1,148",76.57
　　,庄美里,8,294,14,367,675,13,688,0,688,235,923,74.54
　　,庄美里,9,394,17,476,887,12,899,0,899,251,"1,150",78.17
　　,新美里,10,351,16,396,763,13,776,0,776,271,"1,047",74.12
　　,新美里,11,436,17,400,853,20,873,0,873,282,"1,155",75.58
　　,新美里,12,357,13,390,760,14,774,0,774,243,"1,017",76.11
　　,岷山里,13,311,15,330,656,21,677,0,677,236,913,74.15
　　,岷山里,14,425,13,349,787,17,804,0,804,224,"1,028",78.21
　　,中山里,15,378,9,392,779,21,800,0,800,301,"1,101",72.66
　　,中山里,16,543,9,318,870,22,892,0,892,293,"1,185",75.27
　　,中山里,17,524,15,493,"1,032",32,"1,064",0,"1,064",356,"1,420",74.93
　　,南陽里,18,305,9,271,585,18,603,0,603,193,796,75.75
　　,薰風里,19,287,11,356,654,23,677,0,677,216,893,75.81
　　,義和里,20,458,21,557,"1,036",20,"1,056",0,"1,056",397,"1,453",72.68
　　,義和里,21,476,31,540,"1,047",21,"1,068",0,"1,068",375,"1,443",74.01
　　,武陵里,22,442,25,360,827,32,859,0,859,288,"1,147",74.89
　　,文曲里,23,321,13,422,756,21,777,0,777,329,"1,106",70.25
　　,武曲里,24,319,20,307,646,21,667,0,667,189,856,77.92
　　,武曲里,25,301,12,322,635,15,650,0,650,180,830,78.31
　　,文武里,26,450,22,518,990,21,"1,011",0,"1,011",267,"1,278",79.11
　　,文武里,27,358,15,409,782,14,796,0,796,281,"1,077",73.91
　　,文武里,28,409,14,433,856,20,876,0,876,286,"1,162",75.39
　　,文武里,29,457,25,494,976,23,999,0,999,351,"1,350",74.00
　　,奉化里,30,381,10,358,749,18,767,0,767,238,"1,005",76.32
　　,奉化里,31,274,12,244,530,13,543,0,543,192,735,73.88
　　,德化里,32,198,6,365,569,16,585,0,585,198,783,74.71
　　,德化里,33,246,9,350,605,11,616,0,616,227,843,73.07
　　,江南里,34,381,17,526,924,21,945,0,945,319,"1,264",74.76
　　,頂店里,35,337,14,518,869,14,883,0,883,344,"1,227",71.96
　　,頂店里,36,326,14,502,842,18,860,0,860,262,"1,122",76.65
　　,頂店里,37,539,20,579,"1,138",26,"1,164",0,"1,164",355,"1,519",76.63
　　,太白里,38,329,15,555,899,20,919,0,919,305,"1,224",75.08
　　,孟春里,39,475,14,530,"1,019",20,"1,039",0,"1,039",308,"1,347",77.13
　　,孟春里,40,302,9,507,818,10,828,0,828,326,"1,154",71.75
　　,孟春里,41,301,14,441,756,17,773,0,773,326,"1,099",70.34
　　,幸福里,42,272,7,561,840,16,856,0,856,310,"1,166",73.41
　　,幸福里,43,405,25,550,980,16,996,0,996,335,"1,331",74.83
　　,日南里,44,332,4,425,761,9,770,0,770,308,"1,078",71.43
　　,日南里,45,371,10,379,760,18,778,0,778,340,"1,118",69.59
　　,日南里,46,378,11,432,821,19,840,0,840,337,"1,177",71.37
　　,日南里,47,484,17,440,941,20,961,0,961,355,"1,316",73.02
　　,龍泉里,48,223,12,247,482,7,489,0,489,178,667,73.31
　　,龍泉里,49,226,10,357,593,11,604,0,604,195,799,75.59
　　,西岐里,50,304,10,318,632,8,640,0,640,195,835,76.65
　　,西岐里,51,281,8,242,531,11,542,0,542,163,705,76.88
　　,銅安里,52,426,23,500,949,19,968,0,968,319,"1,287",75.21
　　,福德里,53,421,8,341,770,27,797,0,797,282,"1,079",73.86
　　,建興里,54,427,25,605,"1,057",12,"1,069",0,"1,069",334,"1,403",76.19
　大安區,,,"5,232",177,"6,200","11,609",241,"11,850",0,"11,850","3,988","15,838",74.82
　　,南埔里,55,351,7,390,748,9,757,0,757,249,"1,006",75.25
　　,南庄里,56,307,6,474,787,18,805,0,805,235,"1,040",77.40
　　,中庄里,57,384,9,467,860,17,877,0,877,336,"1,213",72.30
　　,中庄里,58,414,19,438,871,16,887,0,887,410,"1,297",68.39
　　,東安里,59,392,11,498,901,19,920,0,920,283,"1,203",76.48
　　,福興里,60,314,17,524,855,18,873,0,873,285,"1,158",75.39
　　,龜里,61,369,10,288,667,13,680,0,680,180,860,79.07
　　,龜里,62,222,8,255,485,11,496,0,496,193,689,71.99
　　,頂安里,63,263,7,379,649,12,661,0,661,215,876,75.46
　　,永安里,64,369,10,499,878,18,896,0,896,317,"1,213",73.87
