第8屆區域立法委員選舉臺中市第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
李順涼
民主進步黨","2
顏清標
無黨團結聯盟",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"79,730","118,585","198,315","6,839","205,154",4,"205,158","65,180","270,338",75.89
　沙鹿區,,,"15,963","28,705","44,668","1,836","46,504",0,"46,504","14,657","61,161",76.04
　　,居仁里,180,421,562,983,30,"1,013",0,"1,013",294,"1,307",77.51
　　,洛泉里,181,260,381,641,33,674,0,674,225,899,74.97
　　,洛泉里,182,349,516,865,61,926,0,926,213,"1,139",81.30
　　,沙鹿里,183,353,364,717,41,758,0,758,218,976,77.66
　　,美仁里,184,137,307,444,18,462,0,462,102,564,81.91
　　,興仁里,185,337,552,889,40,929,0,929,277,"1,206",77.03
　　,興仁里,186,325,454,779,30,809,0,809,241,"1,050",77.05
　　,興安里,187,401,635,"1,036",48,"1,084",0,"1,084",322,"1,406",77.10
　　,興安里,188,480,638,"1,118",56,"1,174",0,"1,174",375,"1,549",75.79
　　,斗抵里,189,328,598,926,32,958,0,958,293,"1,251",76.58
　　,斗抵里,190,427,562,989,45,"1,034",0,"1,034",296,"1,330",77.74
　　,斗抵里,191,391,604,995,39,"1,034",0,"1,034",295,"1,329",77.80
　　,鹿峰里,192,500,466,966,51,"1,017",0,"1,017",348,"1,365",74.51
　　,鹿峰里,193,534,613,"1,147",53,"1,200",0,"1,200",366,"1,566",76.63
　　,鹿峰里,194,464,642,"1,106",43,"1,149",0,"1,149",379,"1,528",75.20
　　,鹿寮里,195,360,384,744,33,777,0,777,299,"1,076",72.21
　　,鹿寮里,196,376,462,838,48,886,0,886,310,"1,196",74.08
　　,鹿寮里,197,433,471,904,42,946,0,946,251,"1,197",79.03
　　,鹿寮里,198,407,392,799,30,829,0,829,241,"1,070",77.48
　　,鹿寮里,199,393,579,972,54,"1,026",0,"1,026",276,"1,302",78.80
　　,竹林里,200,332,625,957,45,"1,002",0,"1,002",326,"1,328",75.45
　　,竹林里,201,283,498,781,39,820,0,820,284,"1,104",74.28
　　,竹林里,202,214,557,771,32,803,0,803,259,"1,062",75.61
　　,竹林里,203,308,558,866,47,913,0,913,328,"1,241",73.57
　　,竹林里,204,467,789,"1,256",63,"1,319",0,"1,319",393,"1,712",77.04
　　,犁分里,205,255,454,709,33,742,0,742,245,987,75.18
　　,福興里,206,353,751,"1,104",37,"1,141",0,"1,141",387,"1,528",74.67
　　,福興里,207,258,753,"1,011",35,"1,046",0,"1,046",369,"1,415",73.92
　　,北勢里,208,356,700,"1,056",46,"1,102",0,"1,102",337,"1,439",76.58
　　,北勢里,209,312,676,988,38,"1,026",0,"1,026",345,"1,371",74.84
　　,北勢里,210,263,553,816,24,840,0,840,298,"1,138",73.81
　　,晉江里,211,382,640,"1,022",39,"1,061",0,"1,061",306,"1,367",77.62
　　,六路里,212,288,589,877,25,902,0,902,335,"1,237",72.92
　　,六路里,213,296,655,951,34,985,0,985,307,"1,292",76.24
　　,六路里,214,259,539,798,32,830,0,830,310,"1,140",72.81
　　,南勢里,215,256,568,824,35,859,0,859,298,"1,157",74.24
　　,南勢里,216,292,717,"1,009",28,"1,037",0,"1,037",348,"1,385",74.87
　　,埔子里,217,353,949,"1,302",41,"1,343",0,"1,343",461,"1,804",74.45
　　,埔子里,218,308,952,"1,260",34,"1,294",0,"1,294",411,"1,705",75.89
　　,三鹿里,219,390,"1,010","1,400",68,"1,468",0,"1,468",476,"1,944",75.51
　　,三鹿里,220,301,"1,102","1,403",36,"1,439",0,"1,439",483,"1,922",74.87
　　,公明里,221,352,666,"1,018",31,"1,049",0,"1,049",345,"1,394",75.25
　　,公明里,222,67,476,543,18,561,0,561,174,735,76.33
　　,公明里,223,397,685,"1,082",36,"1,118",0,"1,118",325,"1,443",77.48
　　,清泉里,224,305,580,885,22,907,0,907,231,"1,138",79.70
　　,清泉里,225,150,495,645,15,660,0,660,180,840,78.57
　　,西勢里,226,285,485,770,40,810,0,810,244,"1,054",76.85
　　,西勢里,227,205,501,706,36,742,0,742,231,973,76.26
　龍井區,,,"14,374","24,892","39,266","1,323","40,589",0,"40,589","14,342","54,931",73.89
　　,竹坑里,228,332,675,"1,007",39,"1,046",0,"1,046",467,"1,513",69.13
　　,竹坑里,229,233,555,788,18,806,0,806,286,"1,092",73.81
　　,龍東里,230,349,619,968,21,989,0,989,338,"1,327",74.53
　　,龍東里,231,297,601,898,25,923,0,923,310,"1,233",74.86
　　,龍西里,232,408,806,"1,214",32,"1,246",0,"1,246",438,"1,684",73.99
　　,田中里,233,430,737,"1,167",33,"1,200",0,"1,200",405,"1,605",74.77
　　,田中里,234,378,623,"1,001",25,"1,026",0,"1,026",344,"1,370",74.89
　　,福田里,235,215,464,679,21,700,0,700,275,975,71.79
　　,麗水里,236,223,629,852,21,873,0,873,287,"1,160",75.26
　　,麗水里,237,198,427,625,11,636,0,636,252,888,71.62
　　,龍津里,238,358,661,"1,019",52,"1,071",0,"1,071",413,"1,484",72.17
　　,龍津里,239,272,534,806,9,815,0,815,291,"1,106",73.69
　　,龍津里,240,319,524,843,28,871,0,871,279,"1,150",75.74
　　,龍津里,241,320,317,637,25,662,0,662,231,893,74.13
　　,三德里,242,435,675,"1,110",36,"1,146",0,"1,146",447,"1,593",71.94
　　,三德里,243,342,510,852,27,879,0,879,298,"1,177",74.68
　　,忠和里,244,319,645,964,37,"1,001",0,"1,001",313,"1,314",76.18
　　,忠和里,245,406,680,"1,086",39,"1,125",0,"1,125",433,"1,558",72.21
　　,忠和里,246,426,639,"1,065",23,"1,088",0,"1,088",349,"1,437",75.71
　　,山腳里,247,318,703,"1,021",28,"1,049",0,"1,049",413,"1,462",71.75
　　,山腳里,248,447,734,"1,181",23,"1,204",0,"1,204",452,"1,656",72.71
　　,山腳里,249,399,706,"1,105",22,"1,127",0,"1,127",419,"1,546",72.90
　　,龍泉里,250,344,592,936,63,999,0,999,322,"1,321",75.62
　　,龍泉里,251,395,577,972,29,"1,001",0,"1,001",510,"1,511",66.25
　　,龍泉里,252,347,616,963,32,995,0,995,309,"1,304",76.30
　　,龍泉里,253,372,798,"1,170",42,"1,212",0,"1,212",453,"1,665",72.79
　　,龍崗里,254,388,613,"1,001",28,"1,029",0,"1,029",383,"1,412",72.88
　　,龍崗里,255,219,417,636,15,651,0,651,187,838,77.68
　　,新庄里,256,459,757,"1,216",37,"1,253",0,"1,253",482,"1,735",72.22
　　,新庄里,257,469,710,"1,179",33,"1,212",0,"1,212",434,"1,646",73.63
　　,新庄里,258,626,870,"1,496",55,"1,551",0,"1,551",534,"2,085",74.39
　　,南寮里,259,385,749,"1,134",31,"1,165",0,"1,165",293,"1,458",79.90
　　,東海里,260,415,786,"1,201",63,"1,264",0,"1,264",436,"1,700",74.35
　　,東海里,261,490,772,"1,262",85,"1,347",0,"1,347",436,"1,783",75.55
　　,東海里,262,382,745,"1,127",70,"1,197",0,"1,197",395,"1,592",75.19
　　,東海里,263,469,686,"1,155",48,"1,203",0,"1,203",404,"1,607",74.86
　　,新東里,264,601,734,"1,335",41,"1,376",0,"1,376",452,"1,828",75.27
　　,新東里,265,589,"1,006","1,595",56,"1,651",0,"1,651",572,"2,223",74.27
　大肚區,,,"12,311","18,432","30,743","1,130","31,873",3,"31,876","9,931","41,807",76.24
　　,王田里,266,387,559,946,30,976,1,977,316,"1,293",75.48
　　,王田里,267,325,506,831,45,876,0,876,357,"1,233",71.05
　　,王田里,268,482,595,"1,077",32,"1,109",0,"1,109",324,"1,433",77.39
　　,中和里,269,281,324,605,29,634,0,634,181,815,77.79
　　,福山里,270,363,475,838,42,880,0,880,250,"1,130",77.88
