第8屆區域立法委員選舉臺中市第6選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
黃義交
中國國民黨","2
王名江
中華民國臺灣基本法連線","3
曾坤炳
健保免費連線","4
林佳龍
民主進步黨","5
賀姿華
無黨籍及未經政黨推薦","6
林幸杰
無黨籍及未經政黨推薦","7
蔡和興
無黨籍及未經政黨推薦",,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
總　計,,,"84,937",507,"1,322","96,685","2,307",354,607,"186,719","2,433","189,152",4,"189,156","59,306","248,462",76.13
　西區,,,"30,725",137,453,"33,631",912,97,217,"66,172",910,"67,082",1,"67,083","21,109","88,192",76.06
　　,三民里,968,317,2,3,277,11,0,1,611,5,616,0,616,624,"1,240",49.68
　　,三民里,969,342,0,2,266,8,1,1,620,8,628,0,628,194,822,76.40
　　,平和里,970,355,0,4,314,11,3,2,689,10,699,0,699,252,951,73.50
　　,平和里,971,290,0,2,327,13,1,4,637,2,639,0,639,236,875,73.03
　　,利民里,972,682,3,11,430,21,2,4,"1,153",11,"1,164",0,"1,164",372,"1,536",75.78
　　,公民里,973,534,3,5,479,8,1,3,"1,033",14,"1,047",0,"1,047",332,"1,379",75.92
　　,公民里,974,517,4,8,581,16,0,3,"1,129",20,"1,149",0,"1,149",337,"1,486",77.32
　　,公民里,975,502,3,8,651,12,1,6,"1,183",27,"1,210",0,"1,210",364,"1,574",76.87
　　,廣民里,976,522,2,10,520,12,5,4,"1,075",19,"1,094",0,"1,094",389,"1,483",73.77
　　,東昇里,977,444,2,5,427,17,0,1,896,12,908,0,908,263,"1,171",77.54
　　,東昇里,978,395,2,3,389,15,1,4,809,12,821,0,821,217,"1,038",79.09
　　,民生里,979,468,0,5,347,10,1,4,835,13,848,0,848,238,"1,086",78.08
　　,民生里,980,308,0,3,335,9,3,1,659,7,666,0,666,196,862,77.26
　　,藍興里,981,358,6,10,516,14,1,2,907,9,916,0,916,262,"1,178",77.76
　　,藍興里,982,491,3,8,525,14,6,4,"1,051",16,"1,067",0,"1,067",339,"1,406",75.89
　　,藍興里,983,405,2,3,426,17,1,3,857,17,874,0,874,223,"1,097",79.67
　　,公館里,984,441,1,5,560,9,1,4,"1,021",22,"1,043",0,"1,043",294,"1,337",78.01
　　,公館里,985,410,0,4,532,22,2,5,975,13,988,0,988,254,"1,242",79.55
　　,公館里,986,424,4,8,449,14,1,1,901,22,923,0,923,394,"1,317",70.08
　　,公館里,987,366,1,7,562,15,1,1,953,8,961,0,961,232,"1,193",80.55
　　,和龍里,988,295,3,5,435,10,3,0,751,10,761,0,761,236,997,76.33
　　,和龍里,989,399,4,4,450,9,0,2,868,10,878,0,878,320,"1,198",73.29
　　,民龍里,990,630,2,13,604,23,3,4,"1,279",13,"1,292",0,"1,292",492,"1,784",72.42
　　,民龍里,991,429,1,7,423,14,0,5,879,8,887,0,887,268,"1,155",76.80
　　,安龍里,992,476,3,6,518,20,0,0,"1,023",19,"1,042",0,"1,042",303,"1,345",77.47
　　,安龍里,993,368,1,11,512,15,3,4,914,5,919,0,919,279,"1,198",76.71
