第8屆區域立法委員選舉臺中市第7選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
何欣純
民主進步黨","2
鄭麗文
中國國民黨","3
段緯宇
親民黨","4
郭庭萓
台灣主義黨",,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
總　計,,,"101,006","92,369","6,965",459,"200,799","1,750","202,549",6,"202,555","65,487","268,042",75.57
　大里區,,,"54,298","44,446","4,363",210,"103,317",854,"104,171",4,"104,175","32,641","136,816",76.14
　　,大里里,"1,236",675,477,35,2,"1,189",11,"1,200",0,"1,200",318,"1,518",79.05
　　,大里里,"1,237",710,551,48,4,"1,313",13,"1,326",0,"1,326",389,"1,715",77.32
　　,新里里,"1,238",660,492,42,3,"1,197",6,"1,203",0,"1,203",377,"1,580",76.14
　　,新里里,"1,239",398,401,37,0,836,7,843,0,843,754,"1,597",52.79
　　,新里里,"1,240",640,652,52,4,"1,348",12,"1,360",0,"1,360",311,"1,671",81.39
　　,新里里,"1,241",622,549,42,2,"1,215",15,"1,230",0,"1,230",392,"1,622",75.83
　　,新里里,"1,242",834,571,34,4,"1,443",9,"1,452",0,"1,452",374,"1,826",79.52
　　,國光里,"1,243",518,595,71,3,"1,187",21,"1,208",0,"1,208",303,"1,511",79.95
　　,國光里,"1,244",656,592,86,4,"1,338",12,"1,350",0,"1,350",391,"1,741",77.54
　　,國光里,"1,245",636,637,46,3,"1,322",9,"1,331",0,"1,331",324,"1,655",80.42
　　,樹王里,"1,246",733,425,36,4,"1,198",14,"1,212",0,"1,212",278,"1,490",81.34
　　,樹王里,"1,247",741,413,41,0,"1,195",16,"1,211",0,"1,211",317,"1,528",79.25
　　,祥興里,"1,248",414,328,29,1,772,5,777,0,777,239,"1,016",76.48
　　,祥興里,"1,249",491,337,38,3,869,7,876,1,877,316,"1,193",73.43
　　,祥興里,"1,250",497,404,48,1,950,12,962,0,962,336,"1,298",74.11
　　,祥興里,"1,251",531,556,43,6,"1,136",9,"1,145",0,"1,145",406,"1,551",73.82
　　,祥興里,"1,252",426,279,30,2,737,8,745,0,745,228,973,76.57
　　,內新里,"1,253",417,489,56,2,964,14,978,0,978,261,"1,239",78.93
　　,內新里,"1,254",551,565,61,3,"1,180",12,"1,192",0,"1,192",396,"1,588",75.06
　　,內新里,"1,255",587,528,53,2,"1,170",6,"1,176",0,"1,176",383,"1,559",75.43
　　,內新里,"1,256",462,482,63,5,"1,012",10,"1,022",0,"1,022",310,"1,332",76.73
　　,內新里,"1,257",359,406,49,3,817,3,820,0,820,299,"1,119",73.28
　　,中新里,"1,258",437,385,72,0,894,6,900,0,900,313,"1,213",74.20
　　,中新里,"1,259",495,450,65,3,"1,013",2,"1,015",0,"1,015",305,"1,320",76.89
　　,中新里,"1,260",592,590,71,2,"1,255",7,"1,262",0,"1,262",397,"1,659",76.07
　　,東昇里,"1,261",680,421,57,7,"1,165",15,"1,180",0,"1,180",377,"1,557",75.79
　　,東昇里,"1,262",510,473,64,1,"1,048",10,"1,058",0,"1,058",325,"1,383",76.50
　　,大元里,"1,263",416,266,41,2,725,9,734,0,734,202,936,78.42
　　,大元里,"1,264",843,406,48,3,"1,300",11,"1,311",0,"1,311",279,"1,590",82.45
　　,大元里,"1,265",481,384,56,3,924,4,928,0,928,278,"1,206",76.95
　　,夏田里,"1,266",468,261,33,1,763,11,774,0,774,168,942,82.17
　　,仁化里,"1,267",649,510,54,1,"1,214",8,"1,222",0,"1,222",448,"1,670",73.17
　　,仁化里,"1,268",861,617,43,4,"1,525",9,"1,534",0,"1,534",565,"2,099",73.08
　　,仁化里,"1,269",756,501,51,4,"1,312",8,"1,320",0,"1,320",457,"1,777",74.28
　　,仁化里,"1,270",769,628,35,1,"1,433",9,"1,442",0,"1,442",430,"1,872",77.03
　　,仁德里,"1,271",716,570,38,3,"1,327",6,"1,333",0,"1,333",453,"1,786",74.64
　　,仁德里,"1,272",735,601,44,4,"1,384",14,"1,398",0,"1,398",459,"1,857",75.28
　　,仁德里,"1,273",683,542,40,3,"1,268",12,"1,280",0,"1,280",416,"1,696",75.47
　　,健民里,"1,274",443,337,17,0,797,6,803,1,804,252,"1,056",76.04
　　,健民里,"1,275",717,446,57,1,"1,221",10,"1,231",0,"1,231",366,"1,597",77.08
