第8屆區域立法委員選舉臺中市第8選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
郭俊銘
民主進步黨","2
車淑娟
無黨籍及未經政黨推薦","3
齊蓮生
無黨籍及未經政黨推薦","4
陳清龍
親民黨","5
江啟臣
中國國民黨",,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
總　計,,,"60,964","8,761",770,"14,789","69,136","154,420","1,842","156,262",5,"156,267","47,041","203,308",76.86
　豐原區,,,"38,691","6,043",406,"9,879","40,552","95,571",966,"96,537",1,"96,538","27,285","123,823",77.96
　　,豐原里,"1,325",253,30,3,51,260,597,11,608,0,608,217,825,73.70
　　,豐原里,"1,326",270,46,4,109,489,918,13,931,0,931,254,"1,185",78.57
　　,豐榮里,"1,327",377,33,7,43,338,798,11,809,0,809,248,"1,057",76.54
　　,頂街里,"1,328",339,28,3,49,241,660,2,662,0,662,214,876,75.57
　　,中山里,"1,329",321,39,1,46,311,718,2,720,0,720,129,849,84.81
　　,下街里,"1,330",241,29,1,67,286,624,7,631,0,631,157,788,80.08
　　,中陽里,"1,331",490,99,2,87,536,"1,214",17,"1,231",0,"1,231",320,"1,551",79.37
　　,中陽里,"1,332",409,55,4,82,566,"1,116",9,"1,125",0,"1,125",270,"1,395",80.65
　　,中陽里,"1,333",556,58,9,108,754,"1,485",14,"1,499",0,"1,499",353,"1,852",80.94
　　,大湳里,"1,334",371,52,5,96,345,869,6,875,0,875,257,"1,132",77.30
　　,大湳里,"1,335",373,63,3,100,377,916,9,925,0,925,295,"1,220",75.82
　　,北湳里,"1,336",396,74,3,111,531,"1,115",6,"1,121",0,"1,121",311,"1,432",78.28
　　,北湳里,"1,337",350,60,5,80,438,933,15,948,0,948,273,"1,221",77.64
　　,東湳里,"1,338",548,68,4,106,328,"1,054",12,"1,066",0,"1,066",313,"1,379",77.30
　　,東湳里,"1,339",483,66,4,90,373,"1,016",11,"1,027",0,"1,027",305,"1,332",77.10
　　,東湳里,"1,340",362,46,5,129,334,876,11,887,0,887,226,"1,113",79.69
　　,西湳里,"1,341",597,73,9,109,387,"1,175",9,"1,184",0,"1,184",333,"1,517",78.05
　　,西湳里,"1,342",559,104,7,137,407,"1,214",20,"1,234",0,"1,234",347,"1,581",78.05
　　,西湳里,"1,343",478,74,3,75,370,"1,000",15,"1,015",0,"1,015",269,"1,284",79.05
　　,西湳里,"1,344",484,50,2,70,338,944,14,958,0,958,319,"1,277",75.02
　　,西湳里,"1,345",669,85,7,176,583,"1,520",13,"1,533",0,"1,533",355,"1,888",81.20
　　,豐西里,"1,346",473,66,2,111,571,"1,223",18,"1,241",0,"1,241",371,"1,612",76.99
　　,圳寮里,"1,347",386,55,4,72,383,900,17,917,0,917,191,"1,108",82.76
　　,豐圳里,"1,348",361,70,2,124,498,"1,055",14,"1,069",0,"1,069",280,"1,349",79.24
　　,豐圳里,"1,349",467,100,3,118,548,"1,236",14,"1,250",0,"1,250",352,"1,602",78.03
　　,富春里,"1,350",271,35,2,59,303,670,3,673,0,673,141,814,82.68
　　,葫蘆里,"1,351",241,48,1,62,209,561,5,566,0,566,140,706,80.17
　　,西安里,"1,352",505,52,9,151,461,"1,178",4,"1,182",0,"1,182",267,"1,449",81.57
　　,西安里,"1,353",537,71,9,199,607,"1,423",15,"1,438",0,"1,438",381,"1,819",79.05
　　,西安里,"1,354",490,63,4,148,542,"1,247",7,"1,254",0,"1,254",324,"1,578",79.47
　　,西勢里,"1,355",389,47,3,95,410,944,10,954,0,954,570,"1,524",62.60
　　,西勢里,"1,356",269,30,8,74,326,707,10,717,0,717,205,922,77.77
　　,中興里,"1,357",339,34,6,96,447,922,9,931,0,931,282,"1,213",76.75
　　,中興里,"1,358",354,61,7,135,572,"1,129",11,"1,140",0,"1,140",339,"1,479",77.08
　　,社皮里,"1,359",479,68,7,253,518,"1,325",14,"1,339",1,"1,340",377,"1,717",77.98
　　,社皮里,"1,360",448,58,4,205,564,"1,279",11,"1,290",0,"1,290",362,"1,652",78.09
　　,社皮里,"1,361",450,57,5,192,497,"1,201",14,"1,215",0,"1,215",400,"1,615",75.23
　　,社皮里,"1,362",418,62,4,185,541,"1,210",14,"1,224",0,"1,224",490,"1,714",71.41
　　,社皮里,"1,363",542,69,4,219,629,"1,463",18,"1,481",0,"1,481",410,"1,891",78.32
　　,三村里,"1,364",423,41,1,282,434,"1,181",8,"1,189",0,"1,189",291,"1,480",80.34
　　,三村里,"1,365",415,70,3,252,460,"1,200",9,"1,209",0,"1,209",384,"1,593",75.89
　　,三村里,"1,366",448,37,6,169,339,999,10,"1,009",0,"1,009",230,"1,239",81.44
　　,三村里,"1,367",359,44,8,222,420,"1,053",10,"1,063",0,"1,063",333,"1,396",76.15
　　,東勢里,"1,368",493,69,4,91,429,"1,086",10,"1,096",0,"1,096",308,"1,404",78.06
　　,民生里,"1,369",374,43,2,73,339,831,12,843,0,843,225,"1,068",78.93
　　,田心里,"1,370",540,84,7,102,636,"1,369",9,"1,378",0,"1,378",363,"1,741",79.15
　　,田心里,"1,371",454,82,2,121,512,"1,171",12,"1,183",0,"1,183",368,"1,551",76.27
　　,田心里,"1,372",621,66,2,154,634,"1,477",11,"1,488",0,"1,488",399,"1,887",78.86
　　,豐田里,"1,373",628,62,2,124,657,"1,473",11,"1,484",0,"1,484",398,"1,882",78.85
　　,豐田里,"1,374",560,93,5,144,500,"1,302",10,"1,312",0,"1,312",392,"1,704",77.00
　　,豐田里,"1,375",621,78,4,111,506,"1,320",12,"1,332",0,"1,332",421,"1,753",75.98
　　,豐田里,"1,376",531,85,9,100,651,"1,376",18,"1,394",0,"1,394",401,"1,795",77.66
　　,豐田里,"1,377",697,106,9,147,695,"1,654",11,"1,665",0,"1,665",447,"2,112",78.84
　　,鎌村里,"1,378",445,108,1,72,375,"1,001",13,"1,014",0,"1,014",273,"1,287",78.79
　　,鎌村里,"1,379",390,82,4,62,449,987,15,"1,002",0,"1,002",289,"1,291",77.61
　　,鎌村里,"1,380",455,94,2,124,549,"1,224",17,"1,241",0,"1,241",322,"1,563",79.40
　　,陽明里,"1,381",353,56,1,88,448,946,12,958,0,958,228,"1,186",80.78
　　,陽明里,"1,382",358,68,5,79,521,"1,031",11,"1,042",0,"1,042",294,"1,336",77.99
　　,南陽里,"1,383",530,104,7,108,651,"1,400",14,"1,414",0,"1,414",413,"1,827",77.39
　　,南陽里,"1,384",534,109,4,135,587,"1,369",11,"1,380",0,"1,380",478,"1,858",74.27
　　,南陽里,"1,385",443,87,5,162,703,"1,400",13,"1,413",0,"1,413",383,"1,796",78.67
　　,南陽里,"1,386",552,89,4,91,537,"1,273",13,"1,286",0,"1,286",326,"1,612",79.78
　　,南陽里,"1,387",481,97,5,119,682,"1,384",7,"1,391",0,"1,391",362,"1,753",79.35
　　,北陽里,"1,388",511,84,4,109,575,"1,283",5,"1,288",0,"1,288",369,"1,657",77.73
　　,北陽里,"1,389",640,90,6,162,711,"1,609",16,"1,625",0,"1,625",437,"2,062",78.81
