第8屆區域立法委員選舉雲林縣第1選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
李進勇
民主進步黨","2
張嘉郡
中國國民黨",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
總　計,,,"89,213","90,811","180,024","4,133","184,157",4,"184,161","94,272","278,433",66.14
　麥寮鄉,,,"7,450","10,005","17,455",436,"17,891",0,"17,891","10,356","28,247",63.34
　　,麥豐村,1,480,732,"1,212",26,"1,238",0,"1,238",596,"1,834",67.50
　　,麥豐村,2,371,631,"1,002",18,"1,020",0,"1,020",530,"1,550",65.81
　　,麥豐村,3,353,594,947,24,971,0,971,479,"1,450",66.97
　　,麥津村,4,386,524,910,39,949,0,949,503,"1,452",65.36
　　,麥津村,5,404,637,"1,041",29,"1,070",0,"1,070",643,"1,713",62.46
　　,瓦村,6,154,179,333,9,342,0,342,216,558,61.29
　　,瓦村,7,325,275,600,16,616,0,616,301,917,67.18
　　,興華村,8,248,285,533,5,538,0,538,282,820,65.61
　　,興華村,9,422,306,728,23,751,0,751,462,"1,213",61.91
　　,海豐村,10,145,425,570,13,583,0,583,367,950,61.37
　　,海豐村,11,164,285,449,8,457,0,457,304,761,60.05
　　,後安村,12,201,467,668,10,678,0,678,410,"1,088",62.32
　　,後安村,13,236,518,754,21,775,0,775,519,"1,294",59.89
　　,三盛村,14,287,406,693,14,707,0,707,432,"1,139",62.07
　　,三盛村,15,527,371,898,19,917,0,917,580,"1,497",61.26
　　,崙後村,16,189,353,542,17,559,0,559,369,928,60.24
　　,崙後村,17,229,391,620,8,628,0,628,352,980,64.08
　　,橋頭村,18,274,377,651,16,667,0,667,407,"1,074",62.10
　　,橋頭村,19,558,636,"1,194",28,"1,222",0,"1,222",703,"1,925",63.48
