第8屆區域立法委員選舉雲林縣第2選舉區候選人在各投開票所得票數一覽表,,,,,,,,,,,,,
鄉(鎮、市、區)別,村里別,投票所別,各候選人得票情形,,,"有效票數A
A=1+2+...+N",無效票數B,"投票數C
C=A+B","已領未投票數D
D=E-C","發出票數E
E=C+D",用餘票數F,"選舉人數G
G=E+F","發票率H
H=C÷G"
,,,"1
許舒博
中國國民黨","2
王美心
人民最大黨","3
劉建國
民主進步黨",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
總　計,,,"73,832","3,817","121,368","199,017","3,281","202,298",2,"202,300","78,995","281,295",71.92
　崙背鄉,,,"5,327",323,"8,511","14,161",264,"14,425",0,"14,425","6,979","21,404",67.39
　　,東明村,283,446,23,408,877,26,903,0,903,340,"1,243",72.65
　　,西榮村,284,421,22,533,976,13,989,0,989,430,"1,419",69.70
　　,南陽村,285,286,6,410,702,19,721,0,721,289,"1,010",71.39
　　,南陽村,286,439,21,422,882,12,894,0,894,348,"1,242",71.98
　　,崙前村,287,216,14,475,705,12,717,0,717,324,"1,041",68.88
　　,崙前村,288,171,16,419,606,10,616,0,616,374,990,62.22
　　,羅厝村,289,205,9,428,642,12,654,0,654,302,956,68.41
　　,羅厝村,290,223,28,517,768,23,791,0,791,261,"1,052",75.19
　　,港尾村,291,199,24,614,837,12,849,0,849,460,"1,309",64.86
　　,阿勸村,292,267,19,346,632,10,642,0,642,388,"1,030",62.33
　　,阿勸村,293,208,16,459,683,16,699,0,699,279,978,71.47
　　,五魁村,294,361,16,183,560,6,566,0,566,295,861,65.74
　　,大有村,295,180,13,310,503,4,507,0,507,258,765,66.27
　　,大有村,296,197,8,312,517,15,532,0,532,326,858,62.00
　　,豐榮村,297,205,12,353,570,6,576,0,576,352,928,62.07
　　,豐榮村,298,226,10,362,598,16,614,0,614,357,971,63.23
　　,草湖村,299,397,20,522,939,17,956,0,956,509,"1,465",65.26
　　,舊庄村,300,209,18,452,679,11,690,0,690,506,"1,196",57.69
　　,水尾村,301,241,14,657,912,16,928,0,928,328,"1,256",73.89
　　,枋南村,302,230,14,329,573,8,581,0,581,253,834,69.66
　二崙鄉,,,"4,749",308,"11,032","16,089",221,"16,310",0,"16,310","7,208","23,518",69.35
　　,崙東村,303,399,20,582,"1,001",17,"1,018",0,"1,018",397,"1,415",71.94
　　,崙西村,304,465,17,687,"1,169",16,"1,185",0,"1,185",447,"1,632",72.61
　　,來惠村,305,109,7,303,419,9,428,0,428,226,654,65.44
　　,來惠村,306,164,5,493,662,15,677,0,677,330,"1,007",67.23
　　,三和村,307,95,9,253,357,5,362,0,362,140,502,72.11
　　,三和村,308,173,16,523,712,12,724,0,724,378,"1,102",65.70
　　,湳仔村,309,275,21,487,783,11,794,0,794,377,"1,171",67.81
　　,田尾村,310,217,22,444,683,11,694,0,694,288,982,70.67
　　,田尾村,311,217,19,399,635,8,643,0,643,242,885,72.66
　　,定安村,312,154,14,492,660,11,671,0,671,253,924,72.62
　　,永定村,313,256,17,731,"1,004",11,"1,015",0,"1,015",380,"1,395",72.76
　　,大華村,314,116,13,480,609,8,617,0,617,278,895,68.94
　　,義庄村,315,104,11,411,526,4,530,0,530,221,751,70.57
　　,楊賢村,316,283,28,733,"1,044",12,"1,056",0,"1,056",462,"1,518",69.57
　　,港後村,317,148,9,620,777,10,787,0,787,358,"1,145",68.73
　　,港後村,318,181,9,311,501,4,505,0,505,195,700,72.14
　　,大義村,319,173,8,420,601,10,611,0,611,284,895,68.27
　　,油車村,320,295,15,439,749,7,756,0,756,295,"1,051",71.93
　　,油車村,321,113,2,321,436,5,441,0,441,248,689,64.01
　　,大庄村,322,223,16,640,879,17,896,0,896,445,"1,341",66.82
　　,庄西村,323,194,11,448,653,9,662,0,662,330,992,66.73
　　,大同村,324,155,10,379,544,5,549,0,549,275,824,66.63
　　,復興村,325,240,9,436,685,4,689,0,689,359,"1,048",65.74
　西螺鎮,,,"8,019",522,"17,207","25,748",465,"26,213",0,"26,213","10,452","36,665",71.49
　　,振興里,326,275,20,786,"1,081",22,"1,103",0,"1,103",462,"1,565",70.48
　　,大園里,327,385,32,710,"1,127",29,"1,156",0,"1,156",453,"1,609",71.85
　　,廣福里,328,272,18,408,698,17,715,0,715,210,925,77.30
　　,廣福里,329,244,10,330,584,13,597,0,597,291,888,67.23
　　,正興里,330,414,23,534,971,19,990,0,990,343,"1,333",74.27
　　,正興里,331,477,21,585,"1,083",13,"1,096",0,"1,096",440,"1,536",71.35
　　,永安里,332,95,8,166,269,11,280,0,280,102,382,73.30
　　,中和里,333,181,12,243,436,4,440,0,440,159,599,73.46
　　,福興里,334,172,7,233,412,2,414,0,414,162,576,71.88
　　,光華里,335,273,21,446,740,12,752,0,752,283,"1,035",72.66
　　,中興里,336,297,13,442,752,24,776,0,776,288,"1,064",72.93
